Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,MasonCrosby,GB,K,2016,10,TEN,1.9,2.1,100,0,2.6,2.6,8.3,8.3
2,CalebSturgis,PHI,K,2016,10,ATL,1.8,2.1,100,0,2.7,2.7,8.1,8.1
2,StephenGostkowski,NE,K,2016,10,SEA,1.9,2.1,100,0,2.4,2.4,8.1,8.1
4,DanBailey,DAL,K,2016,10,PIT,1.5,1.7,100,0,3.4,3.4,7.9,7.9
5,MattBryant,ATL,K,2016,10,PHI,1.8,2,100,0,2.3,2.3,7.7,7.7
6,JustinTucker,BAL,K,2016,10,CLE,1.8,1.9,100,0,1.9,1.9,7.3,7.3
7,StevenHauschka,SEA,K,2016,10,NE,1.7,1.9,100,0,2.1,2.1,7.2,7.2
8,DustinHopkins,WAS,K,2016,10,MIN,1.6,1.9,100,0,2.3,2.3,7.1,7.1
9,JoshLamboP,LAC,K,2016,10,MIA,1.5,1.9,100,0,2.5,2.5,7,7
10,RyanSuccopP,TEN,K,2016,10,GB,1.4,1.6,50,0,2.7,2.7,6.9,6.9
11,NickNovak,HOU,K,2016,10,JAX,1.7,2,100,0,1.7,1.7,6.8,6.8
11,ChrisBoswell,PIT,K,2016,10,DAL,1.5,2,100,0,2.3,2.3,6.8,6.8
11,ChandlerCatanzaro,ARI,K,2016,10,SF,1.4,1.8,50,0,2.6,2.6,6.8,6.8
14,BlairWalsh,MIN,K,2016,10,WAS,1.6,2,100,0,1.9,1.9,6.7,6.7
15,GregZuerlein,LAR,K,2016,10,NYJ,1.6,1.8,100,0,1.8,1.8,6.6,6.6
15,MikeNugentIR,CIN,K,2016,10,NYG,1.5,1.9,100,0,2.1,2.1,6.6,6.6
17,ConnorBarth,CHI,K,2016,10,TB,1.5,2.1,100,0,2,2,6.5,6.5
17,NickFolk,NYJ,K,2016,10,LAR,1.4,1.8,50,0,2.3,2.3,6.5,6.5
17,WilLutz,NO,K,2016,10,DEN,1.3,1.7,50,0,2.6,2.6,6.5,6.5
17,BrandonMcManus,DEN,K,2016,10,NO,1.4,1.9,50,0,2.3,2.3,6.5,6.5
17,RobbieGould,NYG,K,2016,10,CIN,1.5,1.7,100,0,2,2,6.5,6.5
22,PhilDawson,SF,K,2016,10,ARI,1.5,1.6,100,0,1.9,1.9,6.4,6.4
23,GrahamGano,CAR,K,2016,10,KC,1.4,1.6,50,0,2.1,2.1,6.3,6.3
24,AndrewFranks,MIA,K,2016,10,LAC,1.4,1.9,50,0,1.9,1.9,6.1,6.1
25,CairoSantos,KC,K,2016,10,CAR,1.4,1.8,50,0,1.8,1.8,6,6
25,JasonMyers,JAX,K,2016,10,HOU,1.5,1.8,100,0,1.5,1.5,6,6
27,CodyParkey,CLE,K,2016,10,BAL,1.4,1.6,50,0,1.5,1.5,5.7,5.7
27,RobertoAguayo,TB,K,2016,10,CHI,1.2,1.8,50,0,2.1,2.1,5.7,5.7
29,PatrickMurray,CLE,K,2016,10,BAL,0,0,0,0,0,0,0,0
29,JoshBrown,NYG,K,2016,10,CIN,0,0,0,0,0,0,0,0
