Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,PeytonManning,DEN,QB,2014,6,NYJ,27,39,69.2,334,8.6,2,0,112.55,2,-1,-0.5,0,21.3,21.26
2,AaronRodgersQ,GB,QB,2014,6,MIA,23,32,71.9,267,8.3,2,0,117.58,2,14,7,0,20.1,20.08
3,AndrewLuckP,IND,QB,2014,6,HOU,28,41,68.3,290,7.1,2,1,94.56,4,21,5.2,0,19.7,19.7
4,MattRyan,ATL,QB,2014,6,CHI,26,39,66.7,329,8.4,2,1,99.2,2,5,2.5,0,19.7,19.66
5,PhilipRivers,LAC,QB,2014,6,OAK,23,31,74.2,218,7,2,0,114.72,2,5,2.5,0,17.2,17.22
6,EliManning,NYG,QB,2014,6,PHI,24,37,64.9,260,7,2,1,92.17,2,1,0.5,0,16.5,16.5
7,MatthewStafford,DET,QB,2014,6,MIN,23,36,63.9,284,7.9,1,0,97.45,2,7,3.5,0,16.1,16.06
8,ColinKaepernick,SF,QB,2014,6,LAR,19,28,67.9,180,6.4,1,0,97.32,8,47,5.9,0,15.9,15.9
9,CamNewton,CAR,QB,2014,6,CIN,21,35,60,260,7.4,1,1,80.65,3,29,9.7,0,15.3,15.3
9,RussellWilson,SEA,QB,2014,6,DAL,19,28,67.9,190,6.8,1,0,98.81,7,37,5.3,0,15.3,15.3
11,KirkCousins,WAS,QB,2014,6,ARI,24,38,63.2,312,8.2,1,1,86.73,1,7,7,0,15.2,15.18
12,TonyRomo,DAL,QB,2014,6,SEA,25,38,65.8,274,7.2,1,0,95.72,2,2,1,0,15.2,15.16
13,TomBrady,NE,QB,2014,6,BUF,23,36,63.9,278,7.7,1,0,96.76,2,0,0,0,15.1,15.12
14,BenRoethlisberger,PIT,QB,2014,6,CLE,25,36,69.4,265,7.4,1,0,99.88,2,5,2.5,0,15.1,15.1
15,CharlieWhitehurst,TEN,QB,2014,6,JAX,21,33,63.6,255,7.7,1,0,97.41,2,7,3.5,0,14.9,14.9
16,BrianHoyer,CLE,QB,2014,6,PIT,22,35,62.9,256,7.3,1,0,94.46,1,3,3,0,14.5,14.54
17,DrewStanton,ARI,QB,2014,6,WAS,10,15,66.7,229,15.3,1,0,131.94,1,11,11,0,14.3,14.26
18,BlakeBortles,JAX,QB,2014,6,TEN,21,37,56.8,273,7.4,1,1,77.87,3,12,4,0,14.1,14.12
19,NickFoles,PHI,QB,2014,6,NYG,24,38,63.2,267,7,1,1,81.8,3,11,3.7,0,13.8,13.78
20,KyleOrton,BUF,QB,2014,6,NE,22,39,56.4,234,6,1,0,82.64,2,4,2,0,13.8,13.76
21,JoeFlacco,BAL,QB,2014,6,TB,24,37,64.9,276,7.5,1,1,84.97,2,5,2.5,0,13.5,13.54
22,JayCutler,CHI,QB,2014,6,ATL,24,36,66.7,248,6.9,1,1,84.03,3,15,5,0,13.4,13.42
22,AndyDalton,CIN,QB,2014,6,CAR,21,31,67.7,208,6.7,1,0,97.24,3,11,3.7,0,13.4,13.42
24,RyanTannehillP,MIA,QB,2014,6,GB,23,37,62.2,244,6.6,1,1,79.11,3,15,5,0,13.3,13.26
25,AustinDavisP,LAR,QB,2014,6,SF,23,38,60.5,261,6.9,1,1,78.95,1,6,6,0,13,13.04
26,DerekCarr,OAK,QB,2014,6,LAC,22,37,59.5,238,6.4,1,1,76.18,2,11,5.5,0,12.6,12.62
27,CarsonPalmer,ARI,QB,2014,6,WAS,17,32,53.1,199,6.2,1,0,82.68,1,5,5,0,12.5,12.46
28,RyanFitzpatrick,HOU,QB,2014,6,IND,19,31,61.3,223,7.2,1,1,80.44,3,12,4,0,12.1,12.12
29,TeddyBridgewater,MIN,QB,2014,6,DET,19,32,59.4,201,6.3,0,0,77.73,5,19,3.8,0,9.9,9.94
30,MikeGlennon,TB,QB,2014,6,BAL,21,35,60,235,6.7,0,0,80.06,1,2,2,0,9.6,9.6
31,GenoSmith,NYJ,QB,2014,6,DEN,19,33,57.6,229,6.9,0,1,66.35,5,18,3.6,0,9,8.96
32,MattSchaub,OAK,QB,2014,6,LAC,21,34,61.8,50,1.5,0,0,66.05,1,0,0,0,2,2
33,MichaelVick,NYJ,QB,2014,6,DEN,2,3,66.7,11,3.7,0,0,72.92,1,4,4,0,0.8,0.84
34,MattHasselbeck,IND,QB,2014,6,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,BruceGradkowski,PIT,QB,2014,6,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DanOrlovsky,DET,QB,2014,6,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,MattCassel,MIN,QB,2014,6,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,JasonCampbell,CIN,QB,2014,6,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DerekAnderson,CAR,QB,2014,6,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,KellenClemens,LAC,QB,2014,6,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,TarvarisJackson,SEA,QB,2014,6,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,MattBarkley,PHI,QB,2014,6,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,ShaunHill,LAR,QB,2014,6,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
