Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,ToddGurley,LAR,RB,2015,10,CHI,20,99,5,1,3,2,17,0,0,0,17.6,17.6
2,DeAngeloWilliams,PIT,RB,2015,10,CLE,20,93,4.6,1,4,3,20,0,0,0,17.3,17.3
3,AdrianPetersonQ,MIN,RB,2015,10,OAK,21,94,4.5,1,3,2,13,0,0,0,16.7,16.7
4,MarkIngramSUS,NO,RB,2015,10,WAS,18,80,4.4,1,4,3,24,0,0,0,16.4,16.4
5,DeMarcoMurray,PHI,RB,2015,10,MIA,18,78,4.3,1,4,3,22,0,0,0,16,16
6,DarrenMcFadden,DAL,RB,2015,10,TB,18,77,4.3,1,4,3,20,0,0,0,15.7,15.7
7,DougMartin,TB,RB,2015,10,DAL,18,71,3.9,1,4,3,21,0,0,0,15.2,15.2
8,JustinForsett,BAL,RB,2015,10,JAX,18,64,3.6,1,5,4,27,0,0,0,15.1,15.1
9,JamesStarks,GB,RB,2015,10,DET,14,65,4.6,1,4,3,22,0,0,0,14.7,14.7
10,JonathanStewartIR,CAR,RB,2015,10,TEN,18,78,4.3,1,1,1,8,0,0,0,14.6,14.6
10,LamarMiller,MIA,RB,2015,10,PHI,13,62,4.8,1,4,3,24,0,0,0,14.6,14.6
12,ChrisIvory,NYJ,RB,2015,10,BUF,17,70,4.1,1,3,2,14,0,0,0,14.4,14.4
12,LeGarretteBlount,NE,RB,2015,10,NYG,16,79,4.9,1,1,1,5,0,0,0,14.4,14.4
14,LataviusMurray,OAK,RB,2015,10,MIN,15,70,4.7,1,3,2,10,0,0,0,14,14
15,MarshawnLynchP,SEA,RB,2015,10,ARI,16,68,4.2,1,1,1,11,0,0,0,13.9,13.9
16,GiovaniBernardP,CIN,RB,2015,10,HOU,11,48,4.4,1,4,3,26,0,0,0,13.4,13.4
17,JeremyHillIR,CIN,RB,2015,10,HOU,14,60,4.3,1,1,1,9,0,0,0,12.9,12.9
18,MattJones,WAS,RB,2015,10,NO,11,46,4.2,1,3,2,12,0,0,0,11.8,11.8
19,RyanMathews,PHI,RB,2015,10,MIA,7,38,5.4,1,1,1,11,0,0,0,10.9,10.9
20,JeremyLangford,CHI,RB,2015,10,LAR,15,56,3.7,0,4,3,24,0,0,0,8,8
20,TJYeldonP,JAX,RB,2015,10,BAL,15,59,3.9,0,4,3,21,0,0,0,8,8
22,CharcandrickWest,KC,RB,2015,10,DEN,14,54,3.9,0,4,3,21,0,0,0,7.5,7.5
