Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,JimmyGrahamP,NO,TE,2013,5,CHI,11,7,63.6,103,1,46,9.4,14.7,0,0,0,0,0,0,16.3,16.3
2,JuliusThomas,DEN,TE,2013,5,DAL,7,6,85.7,74,1,33,10.6,12.3,0,0,0,0,0,0,13.4,13.4
3,AntonioGates,LAC,TE,2013,5,OAK,8,7,87.5,97,0,43,12.1,13.9,0,0,0,0,0,0,9.7,9.7
4,GregOlsenO,CAR,TE,2013,5,ARI,11,9,81.8,95,0,42,8.6,10.6,0,0,0,0,0,0,9.5,9.5
5,JermaineGreshamQ,CIN,TE,2013,5,NE,10,8,80,77,0,34,7.7,9.6,0,0,0,0,0,0,7.7,7.7
5,JasonWittenIR,DAL,TE,2013,5,DEN,11,9,81.8,77,0,34,7,8.6,0,0,0,0,0,0,7.7,7.7
7,JordanCameron,CLE,TE,2013,5,BUF,8,6,75,73,0,33,9.1,12.2,0,0,0,0,0,0,7.3,7.3
8,BrandonPettigrew,DET,TE,2013,5,GB,11,8,72.7,69,0,31,6.3,8.6,0,0,0,0,0,0,6.9,6.9
9,CharlesClayQ,MIA,TE,2013,5,BAL,7,6,85.7,68,0,30,9.7,11.3,0,0,0,0,0,0,6.8,6.8
10,TonyGonzalez,ATL,TE,2013,5,NYJ,8,6,75,66,0,29,8.2,11,0,0,0,0,0,0,6.6,6.6
11,MartellusBennett,CHI,TE,2013,5,NO,9,6,66.7,65,0,29,7.2,10.8,0,0,0,0,0,0,6.5,6.5
12,DallasClark,BAL,TE,2013,5,MIA,9,6,66.7,64,0,28,7.1,10.7,0,0,0,0,0,0,6.4,6.4
13,BrandonMyers,NYG,TE,2013,5,PHI,8,6,75,60,0,27,7.5,10,0,0,0,0,0,0,6,6
14,JaredCook,LAR,TE,2013,5,JAX,8,5,62.5,58,0,26,7.2,11.6,0,0,0,0,0,0,5.8,5.8
14,VernonDavis,SF,TE,2013,5,HOU,6,4,66.7,58,0,26,9.7,14.5,0,0,0,0,0,0,5.8,5.8
16,JermichaelFinley,GB,TE,2013,5,DET,7,6,85.7,57,0,25,8.1,9.5,0,0,0,0,0,0,5.7,5.7
16,KellenWinslow,NYJ,TE,2013,5,ATL,8,6,75,57,0,25,7.1,9.5,0,0,0,0,0,0,5.7,5.7
18,TylerEifert,CIN,TE,2013,5,NE,5,4,80,56,0,25,11.2,14,0,0,0,0,0,0,5.6,5.6
19,OwenDaniels,HOU,TE,2013,5,SF,9,5,55.6,55,0,24,6.1,11,0,0,0,0,0,0,5.5,5.5
20,CobyFleener,IND,TE,2013,5,SEA,5,4,80,52,0,23,10.4,13,0,0,0,0,0,0,5.2,5.2
21,BrentCelek,PHI,TE,2013,5,NYG,4,3,75,48,0,21,12,16,0,0,0,0,0,0,4.8,4.8
22,ScottChandler,BUF,TE,2013,5,CLE,5,4,80,43,0,19,8.6,10.8,0,0,0,0,0,0,4.3,4.3
23,SeanMcGrath,KC,TE,2013,5,TEN,4,4,100,42,0,18,10.5,10.5,0,0,0,0,0,0,4.2,4.2
24,RobHousler,ARI,TE,2013,5,CAR,7,6,85.7,39,0,17,5.6,6.5,0,0,0,0,0,0,3.9,3.9
25,MychalRivera,OAK,TE,2013,5,LAC,3,2,66.7,31,0,14,10.3,15.5,0,0,0,0,0,0,3.1,3.1
26,ZachErtz,PHI,TE,2013,5,NYG,1,1,100,30,0,13,30,30,0,0,0,0,0,0,3,3
26,DelanieWalkerIR,TEN,TE,2013,5,KC,4,3,75,30,0,13,7.5,10,0,0,0,0,0,0,3,3
28,GarrettGraham,HOU,TE,2013,5,SF,2,2,100,23,0,10,11.5,11.5,0,0,0,0,0,0,2.3,2.3
29,LanceKendricks,LAR,TE,2013,5,JAX,3,3,100,22,0,10,7.3,7.3,0,0,0,0,0,0,2.2,2.2
29,TonyScheffler,DET,TE,2013,5,GB,3,2,66.7,22,0,9,7.3,11,0,0,0,0,0,0,2.2,2.2
29,VanceMcDonald,SF,TE,2013,5,HOU,3,2,66.7,22,0,10,7.3,11,0,0,0,0,0,0,2.2,2.2
32,ClayHarbor,JAX,TE,2013,5,LAR,3,2,66.7,20,0,9,6.7,10,0,0,0,0,0,0,2,2
32,LukeWillson,SEA,TE,2013,5,IND,1,1,100,20,0,9,20,20,0,0,0,0,0,0,2,2
34,BenjaminWatson,NO,TE,2013,5,CHI,4,2,50,18,0,8,4.5,9,0,0,0,0,0,0,1.8,1.8
35,JeffCumberland,NYJ,TE,2013,5,ATL,2,1,50,13,0,6,6.5,13,0,0,0,0,0,0,1.3,1.3
36,GavinEscobar,DAL,TE,2013,5,DEN,1,1,100,10,0,4,10,10,0,0,0,0,0,0,1,1
37,BearPascoe,NYG,TE,2013,5,PHI,1,1,100,9,0,4,9,9,0,0,0,0,0,0,0.9,0.9
38,LeeSmith,BUF,TE,2013,5,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,GaryBarnidge,CLE,TE,2013,5,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,MichaelHoomanawanuiIR,NE,TE,2013,5,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,OrsonCharles,CIN,TE,2013,5,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,AlexSmith,CIN,TE,2013,5,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,DJWilliams,JAX,TE,2013,5,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,AllenReisner,JAX,TE,2013,5,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CoryHarkey,LAR,TE,2013,5,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,MichaelEgnew,MIA,TE,2013,5,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,DionSims,MIA,TE,2013,5,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,EdDickson,BAL,TE,2013,5,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,BillyBajema,BAL,TE,2013,5,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,LarryDonnell,NYG,TE,2013,5,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JamesCasey,PHI,TE,2013,5,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JosephFauria,DET,TE,2013,5,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,AndrewQuarless,GB,TE,2013,5,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,RyanTaylor,GB,TE,2013,5,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CraigStevens,TEN,TE,2013,5,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TaylorThompson,TEN,TE,2013,5,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,KevinBrock,KC,TE,2013,5,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,DominiqueJones,IND,TE,2013,5,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,BenHartsock,CAR,TE,2013,5,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,KorySperry,ARI,TE,2013,5,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JimDray,ARI,TE,2013,5,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JamesHannaIR,DAL,TE,2013,5,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JoelDreessen,DEN,TE,2013,5,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JacobTamme,DEN,TE,2013,5,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,VirgilGreen,DEN,TE,2013,5,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JohnPhillips,LAC,TE,2013,5,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,LadariusGreen,LAC,TE,2013,5,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JeronMastrud,OAK,TE,2013,5,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,NickKasa,OAK,TE,2013,5,LAC,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
38,GarrettCelek,SF,TE,2013,5,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,RyanGriffin,HOU,TE,2013,5,SF,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
38,LevineToilolo,ATL,TE,2013,5,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
