Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,WesWelker,DEN,WR,2013,4,PHI,11,8,72.7,94,1,42,8.5,11.8,0,0,0,0,0,0,15.4,15.4
2,CalvinJohnson,DET,WR,2013,4,CHI,14,9,64.3,148,0,66,10.6,16.4,0,0,0,0,0,0,14.8,14.8
3,CecilShorts,JAX,WR,2013,4,IND,16,10,62.5,133,0,59,8.3,13.3,0,0,0,0,0,0,13.3,13.3
4,TorreySmith,BAL,WR,2013,4,BUF,12,8,66.7,131,0,58,10.9,16.4,0,0,0,0,0,0,13.1,13.1
5,JulioJonesP,ATL,WR,2013,4,NE,11,9,81.8,129,0,58,11.7,14.3,0,1,0,0,0,0,13,13
6,AndreJohnson,HOU,WR,2013,4,SEA,14,11,78.6,124,0,55,8.9,11.3,0,0,0,0,0,0,12.4,12.4
7,VincentJackson,TB,WR,2013,4,ARI,12,7,58.3,116,0,52,9.7,16.6,0,0,0,0,0,0,11.6,11.6
7,DezBryant,DAL,WR,2013,4,LAC,10,7,70,116,0,52,11.6,16.6,0,0,0,0,0,0,11.6,11.6
7,PierreGarcon,WAS,WR,2013,4,OAK,12,9,75,113,0,51,9.4,12.6,0,3,0,0,0,0,11.6,11.6
10,JoshGordonQ,CLE,WR,2013,4,CIN,13,9,69.2,105,0,47,8.1,11.7,0,7,0,0,0,0,11.2,11.2
11,EmmanuelSanders,PIT,WR,2013,4,MIN,13,10,76.9,110,0,49,8.5,11,0,0,0,0,0,0,11,11
12,AJGreenP,CIN,WR,2013,4,CLE,12,8,66.7,107,0,48,8.9,13.4,0,0,0,0,0,0,10.7,10.7
12,ReggieWayne,IND,WR,2013,4,JAX,13,9,69.2,106,0,47,8.2,11.8,0,1,0,0,0,0,10.7,10.7
12,DemaryiusThomas,DEN,WR,2013,4,PHI,9,7,77.8,107,0,48,11.9,15.3,0,0,0,0,0,0,10.7,10.7
12,DeSeanJackson,PHI,WR,2013,4,DEN,9,6,66.7,107,0,48,11.9,17.8,0,0,0,0,0,0,10.7,10.7
16,BrandonMarshall,CHI,WR,2013,4,DET,14,9,64.3,106,0,47,7.6,11.8,0,0,0,0,0,0,10.6,10.6
17,EricDecker,DEN,WR,2013,4,PHI,10,8,80,99,0,44,9.9,12.4,0,0,0,0,0,0,9.9,9.9
18,NateWashington,TEN,WR,2013,4,NYJ,9,7,77.8,97,0,43,10.8,13.9,0,0,0,0,0,0,9.7,9.7
19,LarryFitzgeraldQ,ARI,WR,2013,4,TB,11,8,72.7,95,0,42,8.6,11.9,0,0,0,0,0,0,9.5,9.5
20,SteveJohnson,BUF,WR,2013,4,BAL,10,6,60,94,0,42,9.4,15.7,0,0,0,0,0,0,9.4,9.4
21,ChrisGivens,LAR,WR,2013,4,SF,7,5,71.4,94,0,42,13.4,18.8,0,-1,0,0,0,0,9.3,9.3
22,AntonioBrown,PIT,WR,2013,4,MIN,8,6,75,92,0,41,11.5,15.3,0,0,0,0,0,0,9.2,9.2
22,MikeWallaceIR,MIA,WR,2013,4,NO,9,6,66.7,92,0,41,10.2,15.3,0,0,0,0,0,0,9.2,9.2
24,AlshonJefferyQ,CHI,WR,2013,4,DET,9,7,77.8,80,0,36,8.9,11.4,0,11,0,0,0,0,9.1,9.1
24,HakeemNicks,NYG,WR,2013,4,KC,9,6,66.7,91,0,41,10.1,15.2,0,0,0,0,0,0,9.1,9.1
26,AnquanBoldin,SF,WR,2013,4,LAR,9,6,66.7,88,0,39,9.8,14.7,0,0,0,0,0,0,8.8,8.8
26,SantonioHolmes,NYJ,WR,2013,4,TEN,8,5,62.5,88,0,40,11,17.6,0,0,0,0,0,0,8.8,8.8
28,RyanBroyles,DET,WR,2013,4,CHI,6,5,83.3,86,0,38,14.3,17.2,0,0,0,0,0,0,8.6,8.6
29,DwayneBowe,KC,WR,2013,4,NYG,8,6,75,85,0,38,10.6,14.2,0,0,0,0,0,0,8.5,8.5
30,AndreRoberts,ARI,WR,2013,4,TB,11,8,72.7,84,0,38,7.6,10.5,0,0,0,0,0,0,8.4,8.4
31,MarquesColston,NO,WR,2013,4,MIA,8,6,75,81,0,36,10.1,13.5,0,0,0,0,0,0,8.1,8.1
32,RodStreater,OAK,WR,2013,4,WAS,6,5,83.3,78,0,35,13,15.6,0,2,0,0,0,0,8,8
33,BrianHartline,MIA,WR,2013,4,NO,9,6,66.7,78,0,35,8.7,13,0,0,0,0,0,0,7.8,7.8
34,T.Y.Hilton,IND,WR,2013,4,JAX,8,5,62.5,77,0,35,9.6,15.4,0,0,0,0,0,0,7.7,7.7
35,DeAndreHopkinsQ,HOU,WR,2013,4,SEA,8,6,75,76,0,34,9.5,12.7,0,0,0,0,0,0,7.6,7.6
35,GoldenTateQ,SEA,WR,2013,4,HOU,7,5,71.4,70,0,31,10,14,0,6,0,0,0,0,7.6,7.6
35,TerranceWilliams,DAL,WR,2013,4,LAC,8,7,87.5,80,0,36,10,11.4,0,-4,0,0,0,0,7.6,7.6
38,JulianEdelmanSUS,NE,WR,2013,4,ATL,10,8,80,74,0,33,7.4,9.2,0,1,0,0,0,0,7.5,7.5
39,DavoneBess,CLE,WR,2013,4,CIN,11,8,72.7,74,0,33,6.7,9.2,0,0,0,0,0,0,7.4,7.4
39,VictorCruz,NYG,WR,2013,4,KC,8,5,62.5,74,0,33,9.2,14.8,0,0,0,0,0,0,7.4,7.4
39,GregJennings,MIN,WR,2013,4,PIT,8,6,75,74,0,33,9.2,12.3,0,0,0,0,0,0,7.4,7.4
42,StephenHill,NYJ,WR,2013,4,TEN,7,5,71.4,73,0,33,10.4,14.6,0,0,0,0,0,0,7.3,7.3
42,AaronDobsonIR,NE,WR,2013,4,ATL,12,7,58.3,73,0,33,6.1,10.4,0,0,0,0,0,0,7.3,7.3
44,MichaelFloyd,ARI,WR,2013,4,TB,8,5,62.5,70,0,31,8.8,14,0,0,0,0,0,0,7,7
45,MikeWilliams,TB,WR,2013,4,ARI,10,5,50,69,0,31,6.9,13.8,0,0,0,0,0,0,6.9,6.9
46,JeromeSimpson,MIN,WR,2013,4,PIT,7,4,57.1,68,0,30,9.7,17,0,0,0,0,0,0,6.8,6.8
46,JasonAvant,PHI,WR,2013,4,DEN,8,6,75,68,0,30,8.5,11.3,0,0,0,0,0,0,6.8,6.8
48,AceSanders,JAX,WR,2013,4,IND,10,7,70,67,0,30,6.7,9.6,0,0,0,0,0,0,6.7,6.7
49,DonnieAvery,KC,WR,2013,4,NYG,7,4,57.1,59,0,26,8.4,14.8,0,4,0,0,0,0,6.3,6.3
49,KendallWright,TEN,WR,2013,4,NYJ,7,6,85.7,63,0,28,9,10.5,0,0,0,0,0,0,6.3,6.3
51,JeremyKerley,NYJ,WR,2013,4,TEN,5,3,60,57,0,26,11.4,19,0,0,0,0,0,0,6.3,6.26
52,BrandonGibson,MIA,WR,2013,4,NO,7,5,71.4,62,0,27,8.9,12.4,0,0,0,0,0,0,6.2,6.2
