ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1988,1988-09-04,1,23.175,RAM,@,GNB,W 34-7,,1,24,24.00,0,,,0,0
2,1988,1988-09-11,2,23.182,RAM,,DET,W 17-10,,4,43,10.75,0,,,0,0
3,1988,1988-09-18,3,23.189,RAM,@,RAI,W 22-17,,1,54,54.00,1,,,1,6
4,1988,1988-09-25,4,23.196,RAM,@,NYG,W 45-31,,1,69,69.00,1,,,1,6
5,1988,1988-10-02,5,23.203,RAM,,PHO,L 27-41,,4,74,18.50,0,,,0,0
6,1988,1988-10-09,6,23.210,RAM,@,ATL,W 33-0,,0,0,,0,,,,
7,1988,1988-10-16,7,23.217,RAM,,SFO,L 21-24,,1,44,44.00,1,,,1,6
8,1988,1988-10-23,8,23.224,RAM,,SEA,W 31-10,,3,66,22.00,1,,,1,6
9,1988,1988-10-30,9,23.231,RAM,@,NOR,W 12-10,,2,69,34.50,0,,,0,0
10,1988,1988-11-06,10,23.238,RAM,@,PHI,L 24-30,,0,0,,0,,,,
11,1988,1988-11-13,11,23.245,RAM,,NOR,L 10-14,,1,25,25.00,0,,,0,0
12,1988,1988-11-20,12,23.252,RAM,,SDG,L 24-38,,3,50,16.67,1,,,1,6
13,1988,1988-11-27,13,23.259,RAM,@,DEN,L 24-35,,1,12,12.00,0,,,0,0
14,1988,1988-12-05,14,23.267,RAM,,CHI,W 23-3,,1,10,10.00,0,,,0,0
15,1988,1988-12-11,15,23.273,RAM,,ATL,W 22-7,,1,8,8.00,0,,,0,0
16,1988,1988-12-18,16,23.280,RAM,@,SFO,W 38-16,,4,42,10.50,0,,,0,0
17,1989,1989-09-10,1,24.181,RAM,@,ATL,W 31-21,,0,0,,0,,,,
18,1989,1989-09-17,2,24.188,RAM,,IND,W 31-17,,0,0,,0,,,,
19,1989,1989-09-24,3,24.195,RAM,,GNB,W 41-38,,1,11,11.00,0,,,0,0
20,1989,1989-10-01,4,24.202,RAM,@,SFO,W 13-12,,0,0,,0,,,,
21,1989,1989-10-08,5,24.209,RAM,,ATL,W 26-14,,0,0,,0,,,,
22,1989,1989-10-16,6,24.217,RAM,@,BUF,L 20-23,,2,20,10.00,0,,,0,0
23,1989,1989-10-22,7,24.223,RAM,,NOR,L 21-40,,3,51,17.00,0,,,0,0
24,1989,1989-10-29,8,24.230,RAM,@,CHI,L 10-20,,0,0,,0,,,,
25,1989,1989-11-05,9,24.237,RAM,@,MIN,L 21-23,,0,0,,0,,,,
26,1989,1989-11-12,10,24.244,RAM,,NYG,W 31-10,,2,66,33.00,1,,,1,6
27,1989,1989-11-19,11,24.251,RAM,,PHO,W 37-14,,0,0,,0,,,,
28,1989,1989-11-26,12,24.258,RAM,@,NOR,W 20-17,,4,55,13.75,0,,,0,0
29,1989,1989-12-03,13,24.265,RAM,@,DAL,W 35-31,,5,103,20.60,2,,,2,12
30,1989,1989-12-11,14,24.273,RAM,,SFO,L 27-30,,3,34,11.33,0,,,0,0
31,1989,1989-12-17,15,24.279,RAM,,NYJ,W 38-14,,0,0,,0,,,,
32,1989,1989-12-24,16,24.286,RAM,@,NWE,W 24-20,,0,0,,0,,,,
33,1990,1990-09-09,1,25.180,RAM,@,GNB,L 24-36,,2,36,18.00,0,,,0,0
34,1990,1990-09-16,2,25.187,RAM,@,TAM,W 35-14,,1,5,5.00,0,,,0,0
35,1990,1990-09-23,3,25.194,RAM,,PHI,L 21-27,,1,26,26.00,0,,,0,0
36,1990,1990-10-14,5,25.215,RAM,@,CHI,L 9-38,,2,30,15.00,0,,,0,0
37,1990,1990-10-21,6,25.222,RAM,,ATL,W 44-24,,1,13,13.00,0,,,0,0
38,1990,1990-10-29,7,25.230,RAM,@,PIT,L 10-41,,1,20,20.00,0,,,0,0
39,1990,1990-11-04,8,25.236,RAM,,HOU,W 17-13,,0,0,,0,,,,
40,1990,1990-11-11,9,25.243,RAM,,NYG,L 7-31,,4,45,11.25,0,,,0,0
41,1990,1990-11-18,10,25.250,RAM,,DAL,L 21-24,,1,15,15.00,0,,,0,0
42,1990,1990-11-25,11,25.257,RAM,@,SFO,W 28-17,,1,21,21.00,0,,,0,0
43,1990,1990-12-09,13,25.271,RAM,,NOR,L 20-24,,0,0,,0,,,,
44,1990,1990-12-17,14,25.279,RAM,,SFO,L 10-26,,1,14,14.00,0,,,0,0
45,1990,1990-12-23,15,25.285,RAM,@,ATL,L 13-20,,1,9,9.00,0,,,0,0
46,1990,1990-12-31,16,25.293,RAM,@,NOR,L 17-20,,1,32,32.00,0,,,0,0
47,1991,1991-09-01,1,26.172,RAM,,PHO,L 14-24,,1,10,10.00,0,,,0,0
48,1991,1991-09-08,2,26.179,RAM,@,NYG,W 19-13,,0,0,,0,,,,
49,1991,1991-09-15,3,26.186,RAM,@,NOR,L 7-24,,1,32,32.00,0,,,0,0
50,1991,1991-09-22,4,26.193,RAM,@,SFO,L 10-27,,1,7,7.00,0,,,0,0
51,1991,1991-09-29,5,26.200,RAM,,GNB,W 23-21,,2,48,24.00,0,,,0,0
52,1991,1991-10-13,6,26.214,RAM,,SDG,W 30-24,,4,31,7.75,0,,,0,0
53,1991,1991-10-20,7,26.221,RAM,@,RAI,L 17-20,,0,0,,0,,,,
54,1991,1991-10-27,8,26.228,RAM,@,ATL,L 14-31,,0,0,,0,,,,
55,1991,1991-11-03,9,26.235,RAM,,NOR,L 17-24,,1,8,8.00,0,,,0,0
56,1991,1991-11-10,10,26.242,RAM,,KAN,L 20-27,,1,16,16.00,0,,,0,0
57,1991,1991-11-17,11,26.249,RAM,@,DET,L 10-21,,1,17,17.00,0,,,0,0
58,1991,1991-11-25,12,26.257,RAM,,SFO,L 10-33,,0,0,,0,,,,
59,1991,1991-12-01,13,26.263,RAM,,WAS,L 6-27,,2,25,12.50,0,,,0,0
60,1991,1991-12-08,14,26.270,RAM,,ATL,L 14-31,,1,22,22.00,0,,,0,0
61,1991,1991-12-15,15,26.277,RAM,@,MIN,L 14-20,,0,0,,0,,,,
62,1992,1992-09-06,1,27.177,RAM,@,BUF,L 7-40,2,2,25,12.50,0,100.0%,12.50,0,0
63,1992,1992-09-13,2,27.184,RAM,,NWE,W 14-0,1,1,16,16.00,0,100.0%,16.00,0,0
64,1992,1992-09-20,3,27.191,RAM,@,MIA,L 10-26,,0,0,,0,0.0%,,,
65,1992,1992-09-27,4,27.198,RAM,,NYJ,W 18-10,2,1,8,8.00,0,50.0%,4.00,0,0
66,1992,1992-10-04,5,27.205,RAM,@,SFO,L 24-27,2,1,26,26.00,0,50.0%,13.00,0,0
67,1992,1992-10-11,6,27.212,RAM,@,NOR,L 10-13,,0,0,,0,0.0%,,,
68,1992,1992-10-18,7,27.219,RAM,,NYG,W 38-17,5,5,73,14.60,0,100.0%,14.60,0,0
69,1992,1992-11-01,8,27.233,RAM,@,ATL,L 28-30,2,1,13,13.00,0,50.0%,6.50,0,0
70,1992,1992-11-08,9,27.240,RAM,,PHO,L 14-20,6,5,74,14.80,0,83.3%,12.33,0,0
71,1992,1992-11-15,10,27.247,RAM,@,DAL,W 27-23,5,2,26,13.00,0,40.0%,5.20,0,0
72,1993,1993-09-05,1,28.176,IND,,MIA,L 20-24,,0,0,,0,0.0%,,,
73,1993,1993-09-12,2,28.183,IND,@,CIN,W 9-6,,0,0,,0,0.0%,,,
