ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1991,1991-09-01,1,23.127,PIT,,SDG,W 26-20,,0,0,,0,,,,,,,,
2,1991,1991-09-08,2,23.134,PIT,@,BUF,L 34-52,,0,0,,0,,,,,,,,
3,1991,1991-09-15,3,23.141,PIT,,NWE,W 20-6,,0,0,,0,,,,,,,,
4,1991,1991-09-22,4,23.148,PIT,@,PHI,L 14-23,,0,0,,0,,,,,,,,
5,1991,1991-10-06,5,23.162,PIT,@,IND,W 21-3,,0,0,,0,,,,,,,,
6,1991,1991-10-14,6,23.170,PIT,,NYG,L 20-23,,0,0,,0,,,,,,,,
7,1991,1991-10-20,7,23.176,PIT,,SEA,L 7-27,,0,0,,0,,,,,,,,
8,1991,1991-10-27,8,23.183,PIT,@,CLE,L 14-17,,1,1,1.00,0,,,0,0,,0,0,0
9,1991,1991-11-03,9,23.190,PIT,@,DEN,L 13-20,,0,0,,0,,,,,,,,
10,1991,1991-11-10,10,23.197,PIT,@,CIN,W 33-27,,0,0,,0,,,,,,,,
11,1991,1991-11-17,11,23.204,PIT,,WAS,L 14-41,,1,5,5.00,1,,,0,0,,0,1,6
12,1991,1991-11-24,12,23.211,PIT,,HOU,W 26-14,,3,35,11.67,0,,,0,0,,0,0,0
13,1991,1991-11-28,13,23.215,PIT,@,DAL,L 10-20,,2,18,9.00,0,,,0,0,,0,0,0
14,1991,1991-12-08,14,23.225,PIT,@,HOU,L 6-31,,3,41,13.67,0,,,0,0,,0,0,0
15,1991,1991-12-15,15,23.232,PIT,,CIN,W 17-10,,1,47,47.00,1,,,0,0,,0,1,6
16,1991,1991-12-22,16,23.239,PIT,,CLE,W 17-10,,0,0,,0,,,,,,,,
