ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2001,2001-09-23,1,21.346,ARI,,DEN,L 17-38,,,,,,,,,
2,2001,2001-09-30,2,21.353,ARI,,ATL,L 14-34,,,,,,,,,
3,2001,2001-10-07,3,21.360,ARI,@,PHI,W 21-20,,,,,,,,,
4,2001,2001-10-14,4,22.002,ARI,@,CHI,L 13-20,,,,,,,,,
5,2001,2001-10-21,5,22.009,ARI,,KAN,W 24-16,,,,,,,,,
6,2001,2001-10-28,6,22.016,ARI,@,DAL,L 3-17,,0,0,0.0,,,1,36,0
7,2001,2001-11-04,7,22.023,ARI,,PHI,L 7-21,,0,0,0.5,,,0,0,0
8,2001,2001-11-11,8,22.030,ARI,,NYG,L 10-17,,,,,,,,,
9,2001,2001-11-18,9,22.037,ARI,,DET,W 45-38,,,,,,,,,
10,2001,2001-11-25,10,22.044,ARI,@,SDG,W 20-17,,,,,,,,,
11,2001,2001-12-02,11,22.051,ARI,@,OAK,W 34-31,,,,,,,,,
12,2001,2001-12-09,12,22.058,ARI,,WAS,L 10-20,,,,,,,,,
13,2001,2001-12-15,13,22.064,ARI,@,NYG,L 13-17,,,,,,,,,
14,2001,2001-12-23,14,22.072,ARI,,DAL,W 17-10,,,,,,,,,
15,2001,2001-12-30,15,22.079,ARI,@,CAR,W 30-7,,,,,,,,,
16,2001,2002-01-06,16,22.086,ARI,@,WAS,L 17-20,,1,6,0.0,,,1,61,1
17,2002,2002-09-15,2,22.338,ARI,@,SEA,W 24-13,*,,,,,,,,
18,2002,2002-09-22,3,22.345,ARI,,SDG,L 15-23,*,,,,,,,,
19,2002,2002-09-29,4,22.352,ARI,,NYG,W 21-7,*,,,,,,,,
20,2002,2002-10-06,5,22.359,ARI,@,CAR,W 16-13,*,,,,,,,,
21,2002,2002-10-20,6,23.008,ARI,,DAL,W 9-6,*,0,0,1.0,,,3,0,0
22,2002,2002-10-27,7,23.015,ARI,@,SFO,L 28-38,*,,,,,,,,
23,2002,2002-11-03,8,23.022,ARI,,STL,L 14-27,*,,,,,,,,
24,2002,2002-11-10,9,23.029,ARI,,SEA,L 6-27,*,,,,,,,,
25,2002,2002-11-17,10,23.036,ARI,@,PHI,L 14-38,*,0,0,0.5,,,1,35,0
26,2002,2002-11-24,11,23.043,ARI,,OAK,L 20-41,*,,,,,,,,
27,2002,2002-12-01,12,23.050,ARI,@,KAN,L 0-49,*,,,,,,,,
28,2002,2002-12-08,13,23.057,ARI,,DET,W 23-20,*,,,,,,,,
29,2002,2002-12-15,14,23.064,ARI,@,STL,L 28-30,*,,,,,,,,
30,2002,2002-12-21,15,23.070,ARI,,SFO,L 14-17,*,,,,,,,,
31,2003,2003-09-07,1,23.330,ARI,@,DET,L 24-42,*,,,,,,,,
32,2003,2003-09-14,2,23.337,ARI,,SEA,L 0-38,*,,,,,,,,
33,2003,2003-09-21,3,23.344,ARI,,GNB,W 20-13,*,,,,,,,,
34,2003,2003-09-28,4,23.351,ARI,@,STL,L 13-37,*,,,,,,,,
35,2003,2003-10-05,5,23.358,ARI,@,DAL,L 7-24,*,,,,,,,,
36,2003,2003-10-12,6,24.000,ARI,,BAL,L 18-26,*,,,,,,,,
37,2003,2003-10-26,7,24.014,ARI,,SFO,W 16-13,*,,,,,,,,
38,2003,2003-11-02,8,24.021,ARI,,CIN,W 17-14,*,,,,,,,,
39,2003,2003-11-09,9,24.028,ARI,@,PIT,L 15-28,*,,,,,,,,
40,2003,2003-11-16,10,24.035,ARI,@,CLE,L 6-44,*,,,,,,,,
41,2003,2003-11-23,11,24.042,ARI,,STL,L 27-30,*,,,,,,,,
42,2003,2003-11-30,12,24.049,ARI,@,CHI,L 3-28,*,,,,,,,,
43,2003,2003-12-07,13,24.056,ARI,@,SFO,L 14-50,*,,,,,,,,
44,2003,2003-12-14,14,24.063,ARI,,CAR,L 17-20,,,,,,,,,
45,2003,2003-12-21,15,24.070,ARI,@,SEA,L 10-28,*,,,,,,,,
46,2003,2003-12-28,16,24.077,ARI,,MIN,W 18-17,*,,,,,,,,
47,2004,2004-09-12,1,24.336,ARI,@,STL,L 10-17,*,,,,,,,,
48,2004,2004-09-19,2,24.343,ARI,,NWE,L 12-23,*,,,,,,,,
49,2004,2004-09-26,3,24.350,ARI,@,ATL,L 3-6,*,0,0,0.0,,,1,11,0
50,2004,2004-10-03,4,24.357,ARI,,NOR,W 34-10,*,,,,,,,,
51,2004,2004-10-10,5,24.364,ARI,@,SFO,L 28-31,*,,,,,,,,
52,2004,2004-10-24,6,25.012,ARI,,SEA,W 25-17,*,,,,,,,,
53,2004,2004-10-31,7,25.019,ARI,@,BUF,L 14-38,*,,,,,,,,
54,2004,2004-11-07,8,25.026,ARI,@,MIA,W 24-23,*,,,,,,,,
55,2004,2004-11-14,9,25.033,ARI,,NYG,W 17-14,*,,,,,,,,
56,2004,2004-11-21,10,25.040,ARI,@,CAR,L 10-35,*,0,0,0.0,,,1,27,0
57,2004,2004-11-28,11,25.047,ARI,,NYJ,L 3-13,*,,,,,,,,
58,2004,2004-12-05,12,25.054,ARI,@,DET,L 12-26,*,,,,,,,,
59,2004,2004-12-12,13,25.061,ARI,,SFO,L 28-31,*,,,,,,,,
