ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-24,3,22.194,CIN,@,PIT,W 28-20,,,,,,,,,
2,2006,2006-10-01,4,22.201,CIN,,NWE,L 13-38,,,,,,,,,
3,2006,2006-10-15,5,22.215,CIN,@,TAM,L 13-14,*,,,,,,,,
4,2006,2006-10-22,6,22.222,CIN,,CAR,W 17-14,*,0,0,1.0,,,0,0,0
5,2006,2006-10-29,7,22.229,CIN,,ATL,L 27-29,*,,,,,,,,
6,2006,2006-11-05,8,22.236,CIN,@,BAL,L 20-26,*,,,,,,,,
7,2006,2006-11-12,9,22.243,CIN,,SDG,L 41-49,*,,,,,,,,
8,2006,2006-11-26,11,22.257,CIN,@,CLE,W 30-0,,,,,,,,,
9,2006,2006-11-30,12,22.261,CIN,,BAL,W 13-7,,,,,,,,,
10,2006,2006-12-24,15,22.285,CIN,@,DEN,L 23-24,,,,,,,,,
11,2006,2006-12-31,16,22.292,CIN,,PIT,L 17-23,,,,,,,,,
12,2007,2007-09-10,1,23.180,CIN,,BAL,W 27-20,*,0,0,1.0,,,0,0,0
13,2007,2007-09-16,2,23.186,CIN,@,CLE,L 45-51,*,,,,,,,,
14,2009,2009-09-27,3,25.197,SFO,@,MIN,L 24-27,,0,0,0.0,1,0,0,0,0
15,2009,2009-10-04,4,25.204,SFO,,STL,W 35-0,,0,0,0.0,1,0,0,0,0
16,2009,2009-10-11,5,25.211,SFO,,ATL,L 10-45,,0,0,0.0,1,0,0,0,0
17,2009,2009-10-25,6,25.225,SFO,@,HOU,L 21-24,,0,0,1.0,2,0,0,0,0
18,2009,2009-11-01,7,25.232,SFO,@,IND,L 14-18,,,,,,,,,
19,2009,2009-11-08,8,25.239,SFO,,TEN,L 27-34,,,,,,,,,
20,2009,2009-11-12,9,25.243,SFO,,CHI,W 10-6,,0,0,0.0,0,0,0,0,0
21,2009,2009-11-22,10,25.253,SFO,@,GNB,L 24-30,,,,,,,,,
22,2009,2009-11-29,11,25.260,SFO,,JAX,W 20-3,,0,0,0.0,0,1,0,0,0
23,2009,2009-12-06,12,25.267,SFO,@,SEA,L 17-20,,0,0,1.0,4,0,0,0,0
24,2009,2009-12-14,13,25.275,SFO,,ARI,W 24-9,,0,0,3.0,3,0,0,0,0
25,2009,2009-12-20,14,25.281,SFO,@,PHI,L 13-27,,0,0,0.0,0,0,0,0,0
26,2009,2009-12-27,15,25.288,SFO,,DET,W 20-6,,0,0,1.0,2,0,0,0,0
27,2009,2010-01-03,16,25.295,SFO,@,STL,W 28-6,,0,0,0.0,1,0,0,0,0
28,2010,2010-09-20,2,26.190,SFO,,NOR,L 22-25,,0,0,1.0,1,0,0,0,0
29,2010,2010-09-26,3,26.196,SFO,@,KAN,L 10-31,,0,0,0.0,1,0,0,0,0
30,2010,2010-10-03,4,26.203,SFO,@,ATL,L 14-16,,0,0,0.0,3,0,0,0,0
31,2010,2010-10-10,5,26.210,SFO,,PHI,L 24-27,,0,0,0.0,0,0,0,0,0
32,2010,2010-10-17,6,26.217,SFO,,OAK,W 17-9,,0,0,0.0,2,0,0,0,0
33,2010,2010-10-24,7,26.224,SFO,@,CAR,L 20-23,,0,0,0.0,2,1,0,0,0
34,2010,2010-10-31,8,26.231,SFO,,DEN,W 24-16,,0,0,1.0,2,0,0,0,0
35,2010,2010-11-14,9,26.245,SFO,,STL,W 23-20,,0,0,0.0,1,0,0,0,0
36,2010,2010-11-21,10,26.252,SFO,,TAM,L 0-21,,,,,,,,,
37,2010,2010-11-29,11,26.260,SFO,@,ARI,W 27-6,,0,0,0.0,1,0,0,0,0
38,2010,2010-12-05,12,26.266,SFO,@,GNB,L 16-34,*,0,0,2.0,4,0,0,0,0
39,2010,2010-12-12,13,26.273,SFO,,SEA,W 40-21,,,,,,,,,
40,2010,2010-12-16,14,26.277,SFO,@,SDG,L 7-34,,0,0,0.0,2,0,0,0,0
41,2010,2010-12-26,15,26.287,SFO,@,STL,L 17-25,,0,0,0.0,2,0,0,0,0
42,2010,2011-01-02,16,26.294,SFO,,ARI,W 38-7,,0,0,1.0,3,1,1,32,0
43,2011,2011-09-11,1,27.181,SFO,,SEA,W 33-17,*,0,0,0.0,0,2,0,0,0
44,2011,2011-09-18,2,27.188,SFO,,DAL,L 24-27,*,0,0,0.0,3,0,0,0,0
45,2011,2011-09-25,3,27.195,SFO,@,CIN,W 13-8,*,0,0,1.0,1,3,0,0,0
46,2011,2011-10-02,4,27.202,SFO,@,PHI,W 24-23,*,0,0,0.0,3,0,0,0,0
47,2011,2011-10-09,5,27.209,SFO,,TAM,W 48-3,*,0,0,0.0,1,0,0,0,0
48,2011,2011-10-16,6,27.216,SFO,@,DET,W 25-19,*,0,0,1.0,4,1,0,0,0
49,2011,2011-10-30,7,27.230,SFO,,CLE,W 20-10,*,0,0,2.0,3,0,0,0,0
50,2011,2011-11-06,8,27.237,SFO,@,WAS,W 19-11,*,0,0,1.0,2,2,0,0,0
51,2011,2011-11-13,9,27.244,SFO,,NYG,W 27-20,*,0,0,0.0,2,2,0,0,0
52,2011,2011-11-20,10,27.251,SFO,,ARI,W 23-7,*,0,0,1.0,2,0,0,0,0
53,2011,2011-11-24,11,27.255,SFO,@,BAL,L 6-16,*,0,0,0.0,3,0,0,0,0
54,2011,2011-12-04,12,27.265,SFO,,STL,W 26-0,*,0,0,0.0,1,0,0,0,0
55,2011,2011-12-11,13,27.272,SFO,@,ARI,L 19-21,*,0,0,0.0,2,1,0,0,0
56,2011,2011-12-19,14,27.280,SFO,,PIT,W 20-3,*,0,0,0.0,4,2,0,0,0
57,2011,2011-12-24,15,27.285,SFO,@,SEA,W 19-17,*,0,0,0.0,1,1,0,0,0
58,2011,2012-01-01,16,27.293,SFO,@,STL,W 34-27,*,0,0,1.0,2,0,0,0,0
59,2012,2012-09-09,1,28.179,SFO,@,GNB,W 30-22,*,0,0,1.0,2,0,0,0,0
60,2012,2012-09-16,2,28.186,SFO,,DET,W 27-19,*,0,0,0.0,0,0,0,0,0
61,2012,2012-09-23,3,28.193,SFO,@,MIN,L 13-24,*,0,0,0.0,5,3,0,0,0
62,2012,2012-09-30,4,28.200,SFO,@,NYJ,W 34-0,*,0,0,1.0,1,1,0,0,0
63,2012,2012-10-07,5,28.207,SFO,,BUF,W 45-3,*,0,0,1.0,2,0,0,0,0
64,2012,2012-10-14,6,28.214,SFO,,NYG,L 3-26,*,0,0,0.0,1,1,0,0,0
65,2012,2012-10-18,7,28.218,SFO,,SEA,W 13-6,*,0,0,0.0,1,1,0,0,0
66,2012,2012-10-29,8,28.229,SFO,@,ARI,W 24-3,*,0,0,1.0,2,0,0,0,0
67,2012,2012-11-11,9,28.242,SFO,,STL,T 24-24,*,0,0,0.0,8,0,0,0,0
68,2012,2012-11-19,10,28.250,SFO,,CHI,W 32-7,*,0,0,0.0,1,0,0,0,0
69,2012,2012-11-25,11,28.256,SFO,@,NOR,W 31-21,*,0,6,1.5,4,1,1,50,1
70,2012,2012-12-02,12,28.263,SFO,@,STL,L 13-16,*,0,0,0.0,3,0,0,0,0
71,2012,2012-12-09,13,28.270,SFO,,MIA,W 27-13,*,0,0,0.0,2,1,0,0,0
72,2012,2012-12-16,14,28.277,SFO,@,NWE,W 41-34,*,0,0,0.0,0,1,0,0,0
73,2012,2012-12-23,15,28.284,SFO,@,SEA,L 13-42,*,0,0,0.0,0,3,0,0,0
74,2012,2012-12-30,16,28.291,SFO,,ARI,W 27-13,*,0,0,1.0,3,0,0,0,0
75,2013,2013-09-08,1,29.178,SFO,,GNB,W 34-28,*,0,0,0.0,1,0,0,0,0
76,2013,2013-09-15,2,29.185,SFO,@,SEA,L 3-29,*,0,0,1.0,7,2,0,0,0
77,2013,2013-09-22,3,29.192,SFO,,IND,L 7-27,*,0,0,0.0,7,1,0,0,0
78,2013,2013-09-26,4,29.196,SFO,@,STL,W 35-11,*,0,0,1.5,5,2,0,0,0
79,2013,2013-10-06,5,29.206,SFO,,HOU,W 34-3,*,0,0,0.0,3,0,0,0,0
80,2013,2013-10-13,6,29.213,SFO,,ARI,W 32-20,*,0,0,0.0,2,1,0,0,0
81,2013,2013-10-20,7,29.220,SFO,@,TEN,W 31-17,*,0,0,1.0,1,0,0,0,0
82,2013,2013-10-27,8,29.227,SFO,@,JAX,W 42-10,*,0,0,0.0,3,0,0,0,0
83,2013,2013-11-10,9,29.241,SFO,,CAR,L 9-10,*,0,0,2.0,4,1,0,0,0
84,2013,2013-11-17,10,29.248,SFO,@,NOR,L 20-23,*,0,0,1.0,2,0,1,22,0
85,2013,2013-11-25,11,29.256,SFO,@,WAS,W 27-6,*,0,0,2.0,6,1,0,0,0
86,2013,2013-12-01,12,29.262,SFO,,STL,W 23-13,*,,,,,,,,
87,2013,2013-12-08,13,29.269,SFO,,SEA,W 19-17,*,0,0,0.0,5,0,0,0,0
88,2013,2013-12-15,14,29.276,SFO,@,TAM,W 33-14,*,0,0,0.0,2,0,0,0,0
89,2013,2013-12-23,15,29.284,SFO,,ATL,W 34-24,*,0,0,0.0,1,0,0,0,0
90,2013,2013-12-29,16,29.290,SFO,@,ARI,W 23-20,*,0,0,0.0,3,0,0,0,0
91,2014,2014-09-07,1,30.177,SFO,@,DAL,W 28-17,*,0,0,1.0,1,0,0,0,0
92,2014,2014-09-14,2,30.184,SFO,,CHI,L 20-28,*,0,0,0.0,1,0,0,0,0
93,2014,2014-09-21,3,30.191,SFO,@,ARI,L 14-23,*,0,0,0.0,2,2,0,0,0
94,2014,2014-09-28,4,30.198,SFO,,PHI,W 26-21,*,0,0,0.0,1,0,0,0,0
95,2014,2014-10-05,5,30.205,SFO,,KAN,W 22-17,*,0,0,0.0,2,0,0,0,0
96,2014,2014-10-13,6,30.213,SFO,@,STL,W 31-17,*,0,0,2.0,5,0,0,0,0
97,2014,2014-10-19,7,30.219,SFO,@,DEN,L 17-42,*,0,0,0.0,2,0,0,0,0
98,2014,2014-11-02,8,30.233,SFO,,STL,L 10-13,*,0,0,0.0,0,1,0,0,0
99,2014,2014-11-09,9,30.240,SFO,@,NOR,W 27-24,*,0,0,1.0,2,1,0,0,0
100,2014,2014-11-16,10,30.247,SFO,@,NYG,W 16-10,*,0,0,0.0,0,0,0,0,0
101,2014,2014-11-23,11,30.254,SFO,,WAS,W 17-13,*,0,0,0.0,3,0,0,0,0
102,2014,2014-11-27,12,30.258,SFO,,SEA,L 3-19,*,0,0,1.0,3,1,0,0,0
103,2014,2014-12-14,14,30.275,SFO,@,SEA,L 7-17,*,0,0,1.0,3,0,0,0,0
104,2015,2015-09-14,1,31.184,SFO,,MIN,W 20-3,*,0,0,0.0,2,0,0,0,0
105,2015,2015-09-20,2,31.190,SFO,@,PIT,L 18-43,*,0,0,0.0,1,1,0,0,0
106,2015,2015-09-27,3,31.197,SFO,@,ARI,L 7-47,*,0,0,0.0,2,1,0,0,0
107,2015,2015-10-04,4,31.204,SFO,,GNB,L 3-17,*,0,0,1.0,5,0,0,0,0
108,2015,2015-10-18,6,31.218,SFO,,BAL,W 25-20,*,0,0,0.0,2,1,0,0,0
109,2015,2015-10-22,7,31.222,SFO,,SEA,L 3-20,*,0,0,2.0,2,3,0,0,0
110,2015,2015-11-01,8,31.232,SFO,@,STL,L 6-27,*,0,0,0.0,1,1,0,0,0
111,2015,2015-11-08,9,31.239,SFO,,ATL,W 17-16,*,0,0,0.0,1,0,0,0,0
112,2015,2015-11-22,10,31.253,SFO,@,SEA,L 13-29,*,0,0,1.0,2,1,0,0,0
113,2015,2015-12-06,12,31.267,SFO,@,CHI,W 26-20,*,0,0,0.0,1,1,0,0,0
114,2015,2015-12-13,13,31.274,SFO,@,CLE,L 10-24,*,0,0,0.0,4,1,0,0,0
115,2015,2015-12-20,14,31.281,SFO,,CIN,L 14-24,*,0,0,1.0,3,2,0,0,0
116,2015,2015-12-27,15,31.288,SFO,@,DET,L 17-32,*,0,0,1.5,1,2,0,0,0
117,2015,2016-01-03,16,31.295,SFO,,STL,W 19-16,*,0,0,0.0,1,0,0,0,0
118,2016,2016-09-12,1,32.182,SFO,,LAR,W 28-0,*,0,0,1.0,2,1,0,0,0
119,2016,2016-09-18,2,32.188,SFO,@,CAR,L 27-46,*,0,0,0.0,3,0,0,0,0
120,2016,2016-09-25,3,32.195,SFO,@,SEA,L 18-37,,0,0,1.0,3,1,0,0,0
121,2016,2016-10-02,4,32.202,SFO,,DAL,L 17-24,*,0,0,0.0,0,1,0,0,0
122,2016,2016-10-06,5,32.206,SFO,,ARI,L 21-33,*,0,0,0.0,0,0,0,0,0
123,2016,2016-10-16,6,32.216,SFO,@,BUF,L 16-45,*,0,0,0.0,2,2,0,0,0
124,2016,2016-10-23,7,32.223,SFO,,TAM,L 17-34,*,0,0,0.5,3,2,0,0,0
125,2016,2016-11-06,8,32.237,SFO,,NOR,L 23-41,*,0,0,0.0,3,0,0,0,0
126,2016,2016-11-13,9,32.244,SFO,@,ARI,L 20-23,*,0,0,0.0,4,1,0,0,0
127,2016,2016-11-20,10,32.251,SFO,,NWE,L 17-30,*,0,0,1.0,2,0,0,0,0
128,2016,2016-11-27,11,32.258,SFO,@,MIA,L 24-31,*,0,0,0.5,1,3,0,0,0
129,2016,2016-12-04,12,32.265,SFO,@,CHI,L 6-26,*,0,0,1.0,3,0,0,0,0
130,2016,2016-12-11,13,32.272,SFO,,NYJ,L 17-23,*,0,0,0.0,2,0,0,0,0
131,2016,2016-12-18,14,32.279,SFO,@,ATL,L 13-41,*,0,0,0.0,4,0,0,0,0
132,2016,2016-12-24,15,32.285,SFO,@,LAR,W 22-21,*,0,0,1.0,4,1,0,0,0
133,2016,2017-01-01,16,32.293,SFO,,SEA,L 23-25,*,0,0,0.0,5,0,0,0,0
