ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,22.291,HOU,,RAM,W 20-16,,,,
2,1987,1987-09-20,2,22.298,HOU,@,BUF,L 30-34,,,,
3,1987,1987-10-25,6,22.333,HOU,,ATL,W 37-33,,,,
4,1987,1987-11-01,7,22.340,HOU,@,CIN,W 31-29,,,,
5,1987,1987-11-08,8,22.347,HOU,@,SFO,L 20-27,,,,
6,1987,1987-11-15,9,22.354,HOU,@,PIT,W 23-3,,,,
7,1987,1987-11-22,10,22.361,HOU,,CLE,L 7-40,,,,
8,1987,1987-11-29,11,23.003,HOU,@,IND,L 27-51,,,,
9,1987,1987-12-06,12,23.010,HOU,,SDG,W 33-18,,,,
10,1987,1987-12-13,13,23.017,HOU,@,NOR,L 10-24,,,,
11,1987,1987-12-20,14,23.024,HOU,,PIT,W 24-16,,,,
12,1987,1987-12-27,15,23.031,HOU,,CIN,W 21-17,,,,
13,1988,1988-09-04,1,23.283,HOU,@,IND,W 17-14,,,,
14,1988,1988-09-11,2,23.290,HOU,,RAI,W 38-35,,,,
15,1988,1988-09-18,3,23.297,HOU,@,NYJ,L 3-45,,,,
16,1988,1988-09-25,4,23.304,HOU,,NWE,W 31-6,,,,
17,1988,1988-10-02,5,23.311,HOU,@,PHI,L 23-32,,,,
18,1988,1988-10-09,6,23.318,HOU,,KAN,W 7-6,,,,
19,1988,1988-10-16,7,23.325,HOU,@,PIT,W 34-14,,,,
20,1988,1988-10-23,8,23.332,HOU,@,CIN,L 21-44,,,,
21,1988,1988-10-30,9,23.339,HOU,,WAS,W 41-17,,,,
22,1988,1988-11-07,10,23.347,HOU,,CLE,W 24-17,,,,
23,1988,1988-11-13,11,23.353,HOU,@,SEA,L 24-27,,,,
24,1988,1988-11-20,12,23.360,HOU,,PHO,W 38-20,,,,
25,1988,1988-11-24,13,23.364,HOU,@,DAL,W 25-17,,,,
26,1988,1988-12-04,14,24.008,HOU,,PIT,L 34-37,,,,
27,1988,1988-12-11,15,24.015,HOU,,CIN,W 41-6,,,,
28,1988,1988-12-18,16,24.022,HOU,@,CLE,L 23-28,,,,
29,1989,1989-09-17,2,24.295,HOU,@,SDG,W 34-27,,,,
30,1989,1989-09-24,3,24.302,HOU,,BUF,L 41-47,,,,
31,1989,1989-10-01,4,24.309,HOU,,MIA,W 39-7,,,,
32,1989,1989-10-08,5,24.316,HOU,@,NWE,L 13-23,,,,
33,1989,1989-10-15,6,24.323,HOU,@,CHI,W 33-28,,,,
34,1989,1989-10-22,7,24.330,HOU,,PIT,W 27-0,,,,
35,1989,1989-10-29,8,24.337,HOU,@,CLE,L 17-28,,,,
36,1989,1989-11-05,9,24.344,HOU,,DET,W 35-31,,,,
37,1989,1989-11-13,10,24.352,HOU,,CIN,W 26-24,,,,
38,1989,1989-11-19,11,24.358,HOU,,RAI,W 23-7,,,,
39,1989,1989-11-26,12,25.000,HOU,@,KAN,L 0-34,,,,
40,1989,1989-12-03,13,25.007,HOU,@,PIT,W 23-16,,,,
41,1989,1989-12-10,14,25.014,HOU,,TAM,W 20-17,,,,
42,1989,1989-12-17,15,25.021,HOU,@,CIN,L 7-61,,,,
43,1989,1989-12-23,16,25.027,HOU,,CLE,L 20-24,,,,
44,1990,1990-09-09,1,25.287,HOU,@,ATL,L 27-47,,,,
45,1990,1990-09-16,2,25.294,HOU,@,PIT,L 9-20,,,,
46,1990,1990-09-23,3,25.301,HOU,,IND,W 24-10,,,,
47,1990,1990-09-30,4,25.308,HOU,@,SDG,W 17-7,,,,
48,1990,1990-10-07,5,25.315,HOU,,SFO,L 21-24,,,,
49,1990,1990-10-14,6,25.322,HOU,,CIN,W 48-17,1.0,0,0,0
50,1990,1990-10-21,7,25.329,HOU,,NOR,W 23-10,,,,
51,1990,1990-10-28,8,25.336,HOU,,NYJ,L 12-17,,,,
52,1990,1990-11-04,9,25.343,HOU,@,RAM,L 13-17,,,,
53,1990,1990-11-18,10,25.357,HOU,@,CLE,W 35-23,,,,
54,1990,1990-11-26,11,26.000,HOU,,BUF,W 27-24,,,,
55,1990,1990-12-02,12,26.006,HOU,@,SEA,L 10-13,,,,
56,1990,1990-12-09,13,26.013,HOU,,CLE,W 58-14,,,,
57,1990,1990-12-16,14,26.020,HOU,@,KAN,W 27-10,,,,
58,1990,1990-12-23,15,26.027,HOU,@,CIN,L 20-40,,,,
59,1991,1991-09-01,1,26.279,HOU,,RAI,W 47-17,0.0,1,16,0
60,1991,1991-09-08,2,26.286,HOU,@,CIN,W 30-7,,,,
