ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,23.133,HOU,,WAS,W 17-6,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2014,2014-09-14,2,23.140,HOU,@,OAK,W 30-14,,11,40,3.64,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2014,2014-09-21,3,23.147,HOU,@,NYG,L 17-30,*,13,78,6.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,0.0,0,0
4,2014,2014-09-28,4,23.154,HOU,,BUF,W 23-17,,9,9,1.00,0,3,2,16,8.00,0,66.7%,5.33,0,0,0.0,0,0
5,2014,2014-10-05,5,23.161,HOU,@,DAL,L 17-20,,5,16,3.20,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
6,2014,2014-10-09,6,23.165,HOU,,IND,L 28-33,,3,22,7.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2014,2014-10-20,7,23.176,HOU,@,PIT,L 23-30,,5,14,2.80,0,1,1,11,11.00,1,100.0%,11.00,1,6,0.0,0,1
8,2014,2014-10-26,8,23.182,HOU,@,TEN,W 30-16,,14,42,3.00,0,1,1,22,22.00,0,100.0%,22.00,0,0,0.0,0,0
9,2014,2014-11-02,9,23.189,HOU,,PHI,L 21-31,,7,13,1.86,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,0.0,0,0
10,2014,2014-11-16,10,23.203,HOU,@,CLE,W 23-7,*,36,156,4.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2014,2014-11-23,11,23.210,HOU,,CIN,L 13-22,*,16,46,2.88,0,4,3,20,6.67,0,75.0%,5.00,0,0,0.0,1,0
12,2014,2014-11-30,12,23.217,HOU,,TEN,W 45-21,,7,6,0.86,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2014,2014-12-07,13,23.224,HOU,@,JAX,W 27-13,,9,15,1.67,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
14,2014,2014-12-14,14,23.231,HOU,@,IND,L 10-17,,8,26,3.25,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
15,2014,2014-12-21,15,23.238,HOU,,BAL,W 25-13,,8,6,0.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2014,2014-12-28,16,23.245,HOU,,JAX,W 23-17,,17,39,2.29,1,6,6,37,6.17,0,100.0%,6.17,1,6,0.0,0,0
17,2015,2015-09-13,1,24.139,HOU,,KAN,L 20-27,*,9,42,4.67,0,2,1,7,7.00,0,50.0%,3.50,0,0,0.0,0,0
18,2015,2015-09-20,2,24.146,HOU,@,CAR,L 17-24,*,5,6,1.20,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0
19,2015,2015-09-27,3,24.153,HOU,,TAM,W 19-9,*,31,139,4.48,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
20,2015,2015-10-04,4,24.160,HOU,@,ATL,L 21-48,,6,17,2.83,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
21,2015,2015-10-08,5,24.164,HOU,,IND,L 20-27,,6,22,3.67,0,1,1,11,11.00,0,100.0%,11.00,0,0,0.0,0,0
22,2015,2015-10-25,7,24.181,HOU,@,MIA,L 26-44,,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
23,2015,2015-11-01,8,24.188,HOU,,TEN,W 20-6,*,14,39,2.79,0,5,5,33,6.60,0,100.0%,6.60,0,0,0.0,0,0
24,2015,2015-11-16,9,24.203,HOU,@,CIN,W 10-6,*,12,22,1.83,0,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0
25,2015,2015-11-22,10,24.209,HOU,,NYJ,W 24-17,*,21,58,2.76,0,3,3,34,11.33,1,100.0%,11.33,1,6,0.0,0,0
26,2015,2015-11-29,11,24.216,HOU,,NOR,W 24-6,*,16,77,4.81,1,1,1,4,4.00,0,100.0%,4.00,1,6,0.0,0,0
27,2015,2015-12-06,12,24.223,HOU,@,BUF,L 21-30,*,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
28,2015,2015-12-13,13,24.230,HOU,,NWE,L 6-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
29,2015,2015-12-20,14,24.237,HOU,@,IND,W 16-10,,20,107,5.35,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
30,2015,2015-12-27,15,24.244,HOU,@,TEN,W 34-6,*,15,45,3.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0
