ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1990,1990-10-07,5,23.261,MIN,,DET,L 27-34,,,
2,1990,1990-10-15,6,23.269,MIN,@,PHI,L 24-32,,,
3,1990,1990-10-28,7,23.282,MIN,@,GNB,L 10-24,,,
4,1990,1990-11-11,9,23.296,MIN,@,DET,W 17-7,,,
5,1990,1990-11-18,10,23.303,MIN,@,SEA,W 24-21,,,
6,1990,1990-12-02,12,23.317,MIN,,GNB,W 23-7,,,
7,1990,1990-12-09,13,23.324,MIN,@,NYG,L 15-23,,,
8,1990,1990-12-16,14,23.331,MIN,@,TAM,L 13-26,,,
9,1990,1990-12-22,15,23.337,MIN,,RAI,L 24-28,,,
10,1990,1990-12-30,16,23.345,MIN,,SFO,L 17-20,,,
11,1991,1991-09-08,2,24.232,TAM,,CHI,L 20-21,,,
12,1991,1991-09-15,3,24.239,TAM,@,GNB,L 13-15,,,
13,1991,1991-09-22,4,24.246,TAM,,BUF,L 10-17,,,
14,1991,1991-09-29,5,24.253,TAM,@,DET,L 3-31,,,
15,1991,1991-10-06,6,24.260,TAM,,PHI,W 14-13,,,
16,1991,1991-10-20,7,24.274,TAM,@,NOR,L 7-23,,,
17,1991,1991-10-27,8,24.281,TAM,,GNB,L 0-27,,,
18,1991,1991-11-03,9,24.288,TAM,@,MIN,L 13-28,,,
19,1991,1991-11-10,10,24.295,TAM,,DET,W 30-21,1,12,0
20,1991,1991-11-17,11,24.302,TAM,@,ATL,L 7-43,,,
21,1991,1991-11-24,12,24.309,TAM,,NYG,L 14-21,,,
22,1991,1991-12-01,13,24.316,TAM,@,MIA,L 14-33,,,
23,1991,1991-12-08,14,24.323,TAM,,MIN,L 24-26,,,
24,1991,1991-12-14,15,24.329,TAM,@,CHI,L 0-27,,,
25,1991,1991-12-22,16,24.337,TAM,,IND,W 17-3,,,
