ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1990,1990-09-09,1,22.085,DEN,@,RAI,L 9-14,1,24,24.00,0,0,0,0.0,0,0,0
2,1990,1990-09-17,2,22.093,DEN,,KAN,W 24-23,2,49,24.50,0,0,0,0.0,0,0,0
3,1990,1990-09-23,3,22.099,DEN,,SEA,W 34-31,3,52,17.33,0,0,0,0.0,0,0,0
4,1990,1990-09-30,4,22.106,DEN,@,BUF,L 28-29,0,0,,0,,,,,,
5,1990,1990-10-08,5,22.114,DEN,,CLE,L 29-30,0,0,,0,0,0,0.0,1,19,0
6,1990,1990-10-14,6,22.120,DEN,,PIT,L 17-34,0,0,,0,,,,,,
7,1990,1990-10-21,7,22.127,DEN,@,IND,W 27-17,0,0,,0,,,,,,
8,1990,1990-11-04,8,22.141,DEN,@,MIN,L 22-27,2,76,38.00,0,0,0,0.0,1,24,0
9,1990,1990-11-11,9,22.148,DEN,@,SDG,L 7-19,0,0,,0,,,,,,
10,1990,1990-11-22,11,22.159,DEN,@,DET,L 27-40,2,38,19.00,0,0,0,0.0,0,0,0
11,1990,1990-12-02,12,22.169,DEN,,RAI,L 20-23,1,14,14.00,0,0,0,0.0,0,0,0
12,1990,1990-12-09,13,22.176,DEN,@,KAN,L 20-31,3,33,11.00,0,0,0,0.0,0,0,0
13,1990,1990-12-16,14,22.183,DEN,,SDG,W 20-10,0,0,,0,,,,,,
14,1990,1990-12-23,15,22.190,DEN,@,SEA,L 12-17,0,0,,0,,,,,,
15,1990,1990-12-30,16,22.197,DEN,,GNB,W 22-13,0,0,,0,,,,,,
16,1991,1991-09-01,1,23.077,DEN,,CIN,W 45-14,0,0,,0,,,,,,
17,1991,1991-09-08,2,23.084,DEN,@,RAI,L 13-16,2,21,10.50,0,0,0,0.0,0,0,0
18,1991,1991-09-15,3,23.091,DEN,,SEA,W 16-10,0,0,,0,,,,,,
19,1991,1991-09-22,4,23.098,DEN,,SDG,W 27-19,1,19,19.00,0,0,0,0.0,0,0,0
20,1991,1991-09-29,5,23.105,DEN,@,MIN,W 13-6,1,19,19.00,0,0,0,0.0,0,0,0
21,1991,1991-10-06,6,23.112,DEN,@,HOU,L 14-42,5,71,14.20,0,0,0,0.0,0,0,0
22,1991,1991-10-20,7,23.126,DEN,,KAN,W 19-16,0,0,,0,,,,,,
23,1991,1991-10-27,8,23.133,DEN,@,NWE,W 9-6,2,18,9.00,0,0,0,0.0,0,0,0
24,1991,1991-11-03,9,23.140,DEN,,PIT,W 20-13,2,50,25.00,0,0,0,0.0,0,0,0
25,1991,1991-11-10,10,23.147,DEN,,RAI,L 16-17,0,0,,0,,,,,,
26,1991,1991-11-17,11,23.154,DEN,@,KAN,W 24-20,3,96,32.00,0,0,0,0.0,0,0,0
27,1991,1991-11-24,12,23.161,DEN,@,SEA,L 10-13,2,26,13.00,0,0,0,0.0,0,0,0
28,1991,1991-12-01,13,23.168,DEN,,NWE,W 20-3,1,17,17.00,0,0,0,0.0,0,0,0
29,1991,1991-12-08,14,23.175,DEN,@,CLE,W 17-7,1,29,29.00,0,0,0,0.0,0,0,0
30,1991,1991-12-15,15,23.182,DEN,,PHO,W 24-19,3,68,22.67,0,0,0,0.0,0,0,0
31,1991,1991-12-22,16,23.189,DEN,@,SDG,W 17-14,3,54,18.00,0,0,0,0.0,0,0,0
32,1992,1992-09-06,1,24.082,DEN,,RAI,W 17-13,0,0,,0,,,,,,
33,1992,1992-09-13,2,24.089,DEN,,SDG,W 21-13,1,28,28.00,0,0,0,0.0,0,0,0
34,1992,1992-09-20,3,24.096,DEN,@,PHI,L 0-30,2,27,13.50,0,0,0,0.0,0,0,0
35,1992,1992-09-27,4,24.103,DEN,@,CLE,W 12-0,1,17,17.00,0,0,0,0.0,0,0,0
36,1992,1992-10-04,5,24.110,DEN,,KAN,W 20-19,1,24,24.00,0,0,0,0.0,0,0,0
37,1992,1992-10-12,6,24.118,DEN,@,WAS,L 3-34,3,66,22.00,0,0,0,0.0,0,0,0
38,1992,1992-10-18,7,24.124,DEN,,HOU,W 27-21,2,28,14.00,0,0,0,0.0,0,0,0
39,1992,1992-10-25,8,24.131,DEN,@,SDG,L 21-24,1,32,32.00,0,0,0,0.0,0,0,0
40,1992,1992-12-06,13,24.173,DEN,,DAL,L 27-31,2,59,29.50,0,0,0,0.0,0,0,0
41,1992,1992-12-12,14,24.179,DEN,@,BUF,L 17-27,4,81,20.25,0,0,0,0.0,0,0,0
42,1992,1992-12-20,15,24.187,DEN,,SEA,W 10-6,1,64,64.00,0,0,0,0.0,0,0,0
43,1992,1992-12-27,16,24.194,DEN,@,KAN,L 20-42,3,40,13.33,0,0,0,0.0,0,0,0
44,1993,1993-09-05,1,25.081,ATL,@,DET,L 13-30,0,0,,0,,,,,,
45,1993,1993-10-24,7,25.130,ATL,@,NOR,W 26-15,0,0,,0,,,,,,
46,1993,1993-10-31,8,25.137,ATL,,TAM,L 24-31,1,20,20.00,0,0,0,0.0,0,0,0
47,1993,1993-11-14,9,25.151,ATL,@,RAM,W 13-0,0,0,,0,,,,,,
48,1993,1993-11-21,10,25.158,ATL,,DAL,W 27-14,0,0,,0,,,,,,
49,1993,1993-12-19,14,25.186,ATL,@,WAS,L 17-30,0,0,,0,,,,,,
50,1993,1993-12-26,15,25.193,ATL,@,CIN,L 17-21,1,33,33.00,0,0,0,0.0,0,0,0
51,1993,1994-01-02,16,25.200,ATL,,PHO,L 10-27,0,0,,0,,,,,,
52,1994,1994-09-04,1,26.080,ATL,@,DET,L 28-31,1,37,37.00,0,0,0,0.0,0,0,0
53,1994,1994-09-11,2,26.087,ATL,,RAM,W 31-13,1,21,21.00,0,0,0,0.0,0,0,0
54,1995,1995-09-03,1,27.079,ATL,,CAR,W 23-20,0,0,,0,0,0,2.0,0,0,0
55,1995,1995-09-10,2,27.086,ATL,@,SFO,L 10-41,,,,,,,,,,
56,1995,1995-09-17,3,27.093,ATL,@,NOR,W 27-24,,,,,,,,,,
57,1995,1995-09-24,4,27.100,ATL,,NYJ,W 13-3,,,,,,,,,,
58,1995,1995-10-01,5,27.107,ATL,,NWE,W 30-17,,,,,,,,,,
59,1995,1995-10-12,6,27.118,ATL,@,STL,L 19-21,,,,,,,,,,
60,1995,1995-10-22,7,27.128,ATL,@,TAM,W 24-21,,,,,,,,,,
61,1995,1995-10-29,8,27.135,ATL,,DAL,L 13-28,,,,,,,,,,
62,1995,1995-11-05,9,27.142,ATL,,DET,W 34-22,0,0,,0,1,6,0.0,1,71,1
63,1995,1995-11-12,10,27.149,ATL,@,BUF,L 17-23,0,0,,0,0,0,1.0,0,0,0
64,1995,1995-11-26,12,27.163,ATL,@,ARI,L 37-40,,,,,,,,,,
65,1995,1995-12-03,13,27.170,ATL,@,MIA,L 20-21,,,,,,,,,,
66,1995,1995-12-10,14,27.177,ATL,,NOR,W 19-14,,,,,,,,,,
67,1995,1995-12-17,15,27.184,ATL,@,CAR,L 17-21,,,,,,,,,,
68,1995,1995-12-24,16,27.191,ATL,,SFO,W 28-27,,,,,,,,,,
