ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1977,1977-09-18,1,23.055,DAL,@,MIN,W 16-10
2,1977,1977-09-25,2,23.062,DAL,,NYG,W 41-21
3,1977,1977-10-02,3,23.069,DAL,,TAM,W 23-7
4,1977,1977-10-09,4,23.076,DAL,@,STL,W 30-24
5,1977,1977-10-16,5,23.083,DAL,,WAS,W 34-16
6,1977,1977-10-23,6,23.090,DAL,@,PHI,W 16-10
7,1977,1977-10-30,7,23.097,DAL,,DET,W 37-0
8,1977,1977-11-06,8,23.104,DAL,@,NYG,W 24-10
9,1977,1977-11-14,9,23.112,DAL,,STL,L 17-24
10,1977,1977-11-20,10,23.118,DAL,@,PIT,L 13-28
11,1977,1977-12-04,12,23.132,DAL,,PHI,W 24-14
12,1977,1977-12-12,13,23.140,DAL,@,SFO,W 42-35
13,1977,1977-12-18,14,23.146,DAL,,DEN,W 14-6
14,1978,1978-09-04,1,24.041,DAL,,BAL,W 38-0
15,1978,1978-09-10,2,24.047,DAL,@,NYG,W 34-24
16,1978,1978-09-17,3,24.054,DAL,@,RAM,L 14-27
17,1978,1978-09-24,4,24.061,DAL,,STL,W 21-12
18,1978,1978-10-02,5,24.069,DAL,@,WAS,L 5-9
19,1978,1978-10-08,6,24.075,DAL,,NYG,W 24-3
20,1978,1978-10-15,7,24.082,DAL,@,STL,W 24-21
21,1978,1978-10-22,8,24.089,DAL,,PHI,W 14-7
22,1978,1978-10-26,9,24.093,DAL,,MIN,L 10-21
23,1978,1978-11-05,10,24.103,DAL,@,MIA,L 16-23
24,1978,1978-11-12,11,24.110,DAL,@,GNB,W 42-14
25,1978,1978-11-19,12,24.117,DAL,,NOR,W 27-7
26,1978,1978-11-23,13,24.121,DAL,,WAS,W 37-10
27,1978,1978-12-03,14,24.131,DAL,,NWE,W 17-10
28,1978,1978-12-10,15,24.138,DAL,@,PHI,W 31-13
29,1978,1978-12-17,16,24.145,DAL,@,NYJ,W 30-7
30,1979,1979-09-02,1,25.039,DAL,@,STL,W 22-21
31,1979,1979-09-09,2,25.046,DAL,@,SFO,W 21-13
32,1979,1979-09-16,3,25.053,DAL,,CHI,W 24-20
33,1979,1979-09-24,4,25.061,DAL,@,CLE,L 7-26
34,1979,1979-09-30,5,25.067,DAL,,CIN,W 38-13
35,1979,1979-10-07,6,25.074,DAL,@,MIN,W 36-20
36,1979,1979-10-14,7,25.081,DAL,,RAM,W 30-6
37,1979,1979-10-21,8,25.088,DAL,,STL,W 22-13
38,1979,1979-10-28,9,25.095,DAL,@,PIT,L 3-14
39,1979,1979-11-04,10,25.102,DAL,@,NYG,W 16-14
40,1979,1979-11-12,11,25.110,DAL,,PHI,L 21-31
41,1979,1979-11-18,12,25.116,DAL,@,WAS,L 20-34
42,1979,1979-11-22,13,25.120,DAL,,HOU,L 24-30
43,1979,1979-12-02,14,25.130,DAL,,NYG,W 28-7
44,1979,1979-12-08,15,25.136,DAL,@,PHI,W 24-17
45,1979,1979-12-16,16,25.144,DAL,,WAS,W 35-34
46,1980,1980-09-08,1,26.045,DAL,@,WAS,W 17-3
47,1980,1980-09-14,2,26.051,DAL,@,DEN,L 20-41
48,1980,1980-09-21,3,26.058,DAL,,TAM,W 28-17
49,1980,1980-09-28,4,26.065,DAL,@,GNB,W 28-7
50,1980,1980-10-05,5,26.072,DAL,,NYG,W 24-3
51,1980,1980-10-12,6,26.079,DAL,,SFO,W 59-14
52,1980,1980-10-19,7,26.086,DAL,@,PHI,L 10-17
53,1980,1980-10-26,8,26.093,DAL,,SDG,W 42-31
