ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2009,2009-09-14,1,23.122,BUF,@,NWE,L 24-25,*,,,
2,2009,2009-09-20,2,23.128,BUF,,TAM,W 33-20,*,,,
3,2009,2009-09-27,3,23.135,BUF,,NOR,L 7-27,*,,,
4,2009,2009-10-04,4,23.142,BUF,@,MIA,L 10-38,*,0.0,0,0
5,2009,2009-10-11,5,23.149,BUF,,CLE,L 3-6,*,,,
6,2009,2009-10-18,6,23.156,BUF,@,NYJ,W 16-13,*,,,
7,2009,2009-10-25,7,23.163,BUF,@,CAR,W 20-9,*,,,
8,2009,2009-11-01,8,23.170,BUF,,HOU,L 10-31,*,,,
9,2009,2009-11-15,9,23.184,BUF,@,TEN,L 17-41,*,,,
10,2009,2009-11-22,10,23.191,BUF,@,JAX,L 15-18,*,0.0,1,0
11,2009,2009-11-29,11,23.198,BUF,,MIA,W 31-14,*,,,
12,2009,2009-12-03,12,23.202,BUF,,NYJ,L 13-19,*,0.0,1,0
13,2009,2009-12-13,13,23.212,BUF,@,KAN,W 16-10,*,,,
14,2009,2009-12-20,14,23.219,BUF,,NWE,L 10-17,*,,,
15,2009,2009-12-27,15,23.226,BUF,@,ATL,L 3-31,*,,,
16,2009,2010-01-03,16,23.233,BUF,,IND,W 30-7,*,,,
17,2010,2010-09-12,1,24.120,BUF,,MIA,L 10-15,*,,,
18,2010,2010-09-19,2,24.127,BUF,@,GNB,L 7-34,*,,,
19,2010,2010-09-26,3,24.134,BUF,@,NWE,L 30-38,*,0.0,1,0
20,2010,2010-10-03,4,24.141,BUF,,NYJ,L 14-38,*,,,
21,2010,2010-10-10,5,24.148,BUF,,JAX,L 26-36,*,,,
22,2010,2010-10-24,6,24.162,BUF,@,BAL,L 34-37,*,,,
23,2010,2010-10-31,7,24.169,BUF,@,KAN,L 10-13,*,,,
24,2010,2010-11-07,8,24.176,BUF,,CHI,L 19-22,*,,,
25,2010,2010-11-14,9,24.183,BUF,,DET,W 14-12,*,,,
26,2010,2010-11-21,10,24.190,BUF,@,CIN,W 49-31,*,,,
27,2010,2010-11-28,11,24.197,BUF,,PIT,L 16-19,*,0.0,1,0
28,2010,2010-12-05,12,24.204,BUF,@,MIN,L 14-38,*,0.0,1,0
29,2010,2010-12-12,13,24.211,BUF,,CLE,W 13-6,*,,,
30,2010,2010-12-19,14,24.218,BUF,@,MIA,W 17-14,*,,,
31,2010,2010-12-26,15,24.225,BUF,,NWE,L 3-34,*,,,
32,2010,2011-01-02,16,24.232,BUF,@,NYJ,L 7-38,*,0.0,1,0
33,2011,2011-09-11,1,25.119,BUF,@,KAN,W 41-7,*,,,
34,2011,2011-09-18,2,25.126,BUF,,OAK,W 38-35,*,,,
35,2011,2011-09-25,3,25.133,BUF,,NWE,W 34-31,*,,,
36,2011,2011-10-02,4,25.140,BUF,@,CIN,L 20-23,*,,,
37,2011,2011-10-09,5,25.147,BUF,,PHI,W 31-24,*,,,
38,2011,2011-10-16,6,25.154,BUF,@,NYG,L 24-27,*,0.0,1,0
39,2011,2011-10-30,7,25.168,BUF,,WAS,W 23-0,*,,,
40,2011,2011-11-06,8,25.175,BUF,,NYJ,L 11-27,*,,,
41,2011,2011-11-13,9,25.182,BUF,@,DAL,L 7-44,*,,,
42,2011,2011-11-20,10,25.189,BUF,@,MIA,L 8-35,*,0.0,0,0
43,2011,2011-11-27,11,25.196,BUF,@,NYJ,L 24-28,*,,,
44,2011,2011-12-04,12,25.203,BUF,,TEN,L 17-23,*,,,
45,2011,2011-12-11,13,25.210,BUF,@,SDG,L 10-37,*,0.0,1,0
46,2011,2011-12-18,14,25.217,BUF,,MIA,L 23-30,*,0.0,1,0
47,2011,2011-12-24,15,25.223,BUF,,DEN,W 40-14,*,,,
48,2011,2012-01-01,16,25.231,BUF,@,NWE,L 21-49,*,,,
49,2012,2012-09-09,1,26.117,BUF,@,NYJ,L 28-48,*,0.0,0,0
50,2012,2012-09-16,2,26.124,BUF,,KAN,W 35-17,*,,,
51,2012,2012-09-23,3,26.131,BUF,@,CLE,W 24-14,*,,,
52,2012,2012-09-30,4,26.138,BUF,,NWE,L 28-52,*,,,
53,2012,2012-10-07,5,26.145,BUF,@,SFO,L 3-45,*,,,
54,2012,2012-10-14,6,26.152,BUF,@,ARI,W 19-16,*,,,
55,2012,2012-10-21,7,26.159,BUF,,TEN,L 34-35,*,,,
56,2012,2012-11-04,8,26.173,BUF,@,HOU,L 9-21,*,,,
57,2012,2012-11-11,9,26.180,BUF,@,NWE,L 31-37,*,0.0,0,0
58,2012,2012-11-15,10,26.184,BUF,,MIA,W 19-14,*,,,
59,2012,2012-11-25,11,26.194,BUF,@,IND,L 13-20,*,,,
60,2012,2012-12-02,12,26.201,BUF,,JAX,W 34-18,*,,,
61,2012,2012-12-09,13,26.208,BUF,,STL,L 12-15,*,,,
62,2012,2012-12-16,14,26.215,BUF,,SEA,L 17-50,*,0.0,0,0
63,2012,2012-12-23,15,26.222,BUF,@,MIA,L 10-24,*,0.0,0,0
64,2012,2012-12-30,16,26.229,BUF,,NYJ,W 28-9,*,,,
65,2013,2013-09-08,1,27.116,TEN,@,PIT,W 16-9,*,,,
66,2013,2013-09-15,2,27.123,TEN,@,HOU,L 24-30,*,,,
67,2013,2013-09-22,3,27.130,TEN,,SDG,W 20-17,*,,,
68,2013,2013-09-29,4,27.137,TEN,,NYJ,W 38-13,*,,,
69,2013,2013-10-06,5,27.144,TEN,,KAN,L 17-26,*,,,
70,2013,2013-10-13,6,27.151,TEN,@,SEA,L 13-20,*,,,
71,2013,2013-10-20,7,27.158,TEN,,SFO,L 17-31,*,,,
72,2013,2013-11-03,8,27.172,TEN,@,STL,W 28-21,*,,,
73,2013,2013-11-10,9,27.179,TEN,,JAX,L 27-29,*,,,
74,2013,2013-11-14,10,27.183,TEN,,IND,L 27-30,*,,,
75,2013,2013-11-24,11,27.193,TEN,@,OAK,W 23-19,*,,,
76,2013,2013-12-01,12,27.200,TEN,@,IND,L 14-22,*,,,
77,2013,2013-12-08,13,27.207,TEN,@,DEN,L 28-51,*,0.0,1,0
78,2013,2013-12-15,14,27.214,TEN,,ARI,L 34-37,*,,,
79,2013,2013-12-22,15,27.221,TEN,@,JAX,W 20-16,*,,,
80,2013,2013-12-29,16,27.228,TEN,,HOU,W 16-10,*,,,
81,2014,2014-09-07,1,28.115,TEN,@,KAN,W 26-10,*,,,
82,2014,2014-09-14,2,28.122,TEN,,DAL,L 10-26,*,,,
83,2014,2014-09-21,3,28.129,TEN,@,CIN,L 7-33,*,,,
84,2014,2014-09-28,4,28.136,TEN,@,IND,L 17-41,*,,,
85,2014,2014-10-05,5,28.143,TEN,,CLE,L 28-29,*,,,
86,2014,2014-10-12,6,28.150,TEN,,JAX,W 16-14,*,,,
87,2014,2014-10-19,7,28.157,TEN,@,WAS,L 17-19,*,,,
88,2014,2014-10-26,8,28.164,TEN,,HOU,L 16-30,*,0.0,1,0
89,2014,2014-11-09,9,28.178,TEN,@,BAL,L 7-21,*,,,
90,2014,2014-11-17,10,28.186,TEN,,PIT,L 24-27,*,,,
91,2014,2014-11-23,11,28.192,TEN,@,PHI,L 24-43,*,0.0,0,0
92,2014,2014-11-30,12,28.199,TEN,@,HOU,L 21-45,*,,,
93,2014,2014-12-07,13,28.206,TEN,,NYG,L 7-36,*,,,
94,2014,2014-12-14,14,28.213,TEN,,NYJ,L 11-16,*,,,
95,2014,2014-12-18,15,28.217,TEN,@,JAX,L 13-21,*,,,
96,2014,2014-12-28,16,28.227,TEN,,IND,L 10-27,*,,,
97,2015,2015-09-14,1,29.122,ATL,,PHI,W 26-24,*,0.0,0,0
98,2015,2015-09-20,2,29.128,ATL,@,NYG,W 24-20,*,0.0,0,0
99,2015,2015-09-27,3,29.135,ATL,@,DAL,W 39-28,*,0.0,0,0
100,2015,2015-10-04,4,29.142,ATL,,HOU,W 48-21,*,0.0,0,0
101,2015,2015-10-11,5,29.149,ATL,,WAS,W 25-19,*,0.0,0,0
102,2015,2015-10-15,6,29.153,ATL,@,NOR,L 21-31,*,0.0,0,0
103,2015,2015-10-25,7,29.163,ATL,@,TEN,W 10-7,*,0.0,0,0
104,2015,2015-11-01,8,29.170,ATL,,TAM,L 20-23,*,0.0,0,0
105,2015,2015-11-08,9,29.177,ATL,@,SFO,L 16-17,*,0.0,0,0
106,2015,2015-11-22,10,29.191,ATL,,IND,L 21-24,*,0.0,0,0
107,2015,2015-11-29,11,29.198,ATL,,MIN,L 10-20,*,0.0,0,0
108,2015,2015-12-06,12,29.205,ATL,@,TAM,L 19-23,*,0.0,0,0
109,2015,2015-12-13,13,29.212,ATL,@,CAR,L 0-38,*,0.0,0,0
110,2015,2015-12-20,14,29.219,ATL,@,JAX,W 23-17,*,0.0,0,0
111,2015,2015-12-27,15,29.226,ATL,,CAR,W 20-13,*,0.0,0,0
112,2015,2016-01-03,16,29.233,ATL,,NOR,L 17-20,*,0.0,0,0
113,2016,2016-09-11,1,30.119,ATL,,TAM,L 24-31,*,0.0,0,0
114,2016,2016-09-18,2,30.126,ATL,@,OAK,W 35-28,*,0.0,0,0
