ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,1993,1993-10-24,7,24.231,SEA,,NWE,W 10-9,,,,,
2,1993,1993-10-31,8,24.238,SEA,@,DEN,L 17-28,,,,,
3,1993,1993-11-07,9,24.245,SEA,@,HOU,L 14-24,,,,,
4,1993,1993-11-14,10,24.252,SEA,,CLE,W 22-5,,,,,
5,1993,1993-11-28,11,24.266,SEA,,DEN,L 9-17,,,,,
6,1993,1993-12-05,12,24.273,SEA,,KAN,L 16-31,,,,,
7,1993,1993-12-12,13,24.280,SEA,@,RAI,L 23-27,,,,,
8,1993,1993-12-19,14,24.287,SEA,,PHO,L 27-30,,,,,
9,1993,1993-12-26,15,24.294,SEA,,PIT,W 16-6,,,,,
10,1993,1994-01-02,16,24.301,SEA,@,KAN,L 24-34,,,,,
11,1994,1994-11-27,12,25.265,KAN,@,SEA,L 9-10,,,,,
12,1994,1994-12-04,13,25.272,KAN,,DEN,L 17-20,,,,,
13,1994,1994-12-12,14,25.280,KAN,@,MIA,L 28-45,,,,,
14,1994,1994-12-18,15,25.286,KAN,,HOU,W 31-9,,,,,
15,1994,1994-12-24,16,25.292,KAN,@,RAI,W 19-9,,,,,
16,1995,1995-09-03,1,26.180,KAN,@,SEA,W 34-10,,,,,
17,1995,1995-09-10,2,26.187,KAN,,NYG,W 20-17,,,,,
18,1995,1995-09-17,3,26.194,KAN,,OAK,W 23-17,,,,,
19,1995,1995-09-24,4,26.201,KAN,@,CLE,L 17-35,,,,,
20,1995,1995-10-01,5,26.208,KAN,@,ARI,W 24-3,,,,,
21,1995,1995-10-09,6,26.216,KAN,,SDG,W 29-23,,,,,
22,1995,1995-10-15,7,26.222,KAN,,NWE,W 31-26,,,,,
23,1995,1995-10-22,8,26.229,KAN,@,DEN,W 21-7,,,,,
24,1995,1995-11-05,9,26.243,KAN,,WAS,W 24-3,,,,,
25,1995,1995-11-12,10,26.250,KAN,@,SDG,W 22-7,,1.0,0,0,0
26,1995,1995-11-19,11,26.257,KAN,,HOU,W 20-13,,0.0,1,11,0
27,1995,1995-11-23,12,26.261,KAN,@,DAL,L 12-24,,1.0,0,0,0
28,1995,1995-12-03,13,26.271,KAN,@,OAK,W 29-23,,,,,
29,1995,1995-12-11,14,26.279,KAN,@,MIA,L 6-13,,,,,
30,1995,1995-12-17,15,26.285,KAN,,DEN,W 20-17,,,,,
31,1995,1995-12-24,16,26.292,KAN,,SEA,W 26-3,,,,,
32,1996,1996-09-01,1,27.178,KAN,@,HOU,W 20-19,,,,,
33,1996,1996-09-08,2,27.185,KAN,,OAK,W 19-3,,,,,
34,1996,1996-09-15,3,27.192,KAN,@,SEA,W 35-17,,1.5,0,0,0
35,1996,1996-09-22,4,27.199,KAN,,DEN,W 17-14,,,,,
36,1996,1996-09-29,5,27.206,KAN,@,SDG,L 19-22,,,,,
37,1996,1996-10-07,6,27.214,KAN,,PIT,L 7-17,,,,,
38,1996,1996-10-17,7,27.224,KAN,,SEA,W 34-16,,1.0,1,30,0
39,1996,1996-10-27,8,27.234,KAN,@,DEN,L 7-34,,,,,
40,1996,1996-11-03,9,27.241,KAN,@,MIN,W 21-6,,,,,
41,1996,1996-11-10,10,27.248,KAN,,GNB,W 27-20,,,,,
42,1996,1996-11-17,11,27.255,KAN,,CHI,W 14-10,,,,,
43,1996,1996-11-24,12,27.262,KAN,,SDG,L 14-28,,,,,
44,1996,1996-11-28,13,27.266,KAN,@,DET,W 28-24,,,,,
45,1996,1996-12-09,14,27.277,KAN,@,OAK,L 7-26,,,,,
46,1996,1996-12-15,15,27.283,KAN,,IND,L 19-24,,,,,
47,1996,1996-12-22,16,27.290,KAN,@,BUF,L 9-20,,0.0,1,7,0
48,1997,1997-08-31,1,28.177,KAN,@,DEN,L 3-19,,,,,
49,1997,1997-09-08,2,28.185,KAN,@,OAK,W 28-27,,,,,
50,1997,1997-09-14,3,28.191,KAN,,BUF,W 22-16,,1.0,0,0,0
51,1997,1997-09-21,4,28.198,KAN,@,CAR,W 35-14,,,,,
52,1997,1997-09-28,5,28.205,KAN,,SEA,W 20-17,,,,,
53,1997,1997-10-05,6,28.212,KAN,@,MIA,L 14-17,,,,,
54,1997,1997-10-16,7,28.223,KAN,,SDG,W 31-3,,,,,
55,1997,1997-10-26,8,28.233,KAN,@,STL,W 28-20,,,,,
56,1997,1997-11-03,9,28.241,KAN,,PIT,W 13-10,,,,,
57,1997,1997-11-09,10,28.247,KAN,@,JAX,L 10-24,,0.5,0,0,0
58,1997,1997-11-16,11,28.254,KAN,,DEN,W 24-22,,1.0,0,0,0
59,1997,1997-11-23,12,28.261,KAN,@,SEA,W 19-14,,,,,
60,1997,1997-11-30,13,28.268,KAN,,SFO,W 44-9,,,,,
61,1997,1997-12-07,14,28.275,KAN,,OAK,W 30-0,,,,,
62,1997,1997-12-14,15,28.282,KAN,@,SDG,W 29-7,,1.0,0,0,0
63,1998,1998-09-13,2,29.190,KAN,@,JAX,L 16-21,,0.5,0,0,0
64,1998,1998-09-27,4,29.204,KAN,@,PHI,W 24-21,,1.5,0,0,0
65,1998,1998-10-26,7,29.233,KAN,,PIT,L 13-20,,1.0,0,0,0
66,1998,1998-11-01,8,29.239,KAN,,NYJ,L 17-20,,0.0,1,27,0
67,1998,1998-11-08,9,29.246,KAN,@,SEA,L 12-24,,0.0,1,0,0
68,1998,1998-11-29,12,29.267,KAN,,ARI,W 34-24,,1.0,0,0,0
69,1998,1998-12-06,13,29.274,KAN,@,DEN,L 31-35,,0.5,0,0,0
70,1999,1999-09-12,1,30.189,GNB,,OAK,W 28-24,,,,,
71,1999,1999-09-19,2,30.196,GNB,@,DET,L 15-23,,,,,
72,1999,1999-09-26,3,30.203,GNB,,MIN,W 23-20,,,,,
73,1999,1999-10-17,5,30.224,GNB,@,DEN,L 10-31,,,,,
74,1999,1999-10-24,6,30.231,GNB,@,SDG,W 31-3,,,,,
75,1999,1999-11-01,7,30.239,GNB,,SEA,L 7-27,,,,,
76,1999,1999-11-07,8,30.245,GNB,,CHI,L 13-14,,,,,
77,1999,1999-11-14,9,30.252,GNB,@,DAL,L 13-27,,,,,
78,1999,1999-11-21,10,30.259,GNB,,DET,W 26-17,,,,,
79,1999,1999-11-29,11,30.267,GNB,@,SFO,W 20-3,*,,,,
80,1999,1999-12-05,12,30.273,GNB,@,CHI,W 35-19,,,,,
81,1999,1999-12-12,13,30.280,GNB,,CAR,L 31-33,,,,,
82,1999,1999-12-20,14,30.288,GNB,@,MIN,L 20-24,,,,,
83,1999,1999-12-26,15,30.294,GNB,@,TAM,L 10-29,,,,,
84,2000,2000-09-03,1,31.180,BAL,@,PIT,W 16-0,,,,,
85,2000,2000-09-10,2,31.187,BAL,,JAX,W 39-36,,,,,
86,2000,2000-09-17,3,31.194,BAL,@,MIA,L 6-19,,,,,
87,2000,2000-09-24,4,31.201,BAL,,CIN,W 37-0,,,,,
88,2000,2000-10-01,5,31.208,BAL,@,CLE,W 12-0,,,,,
89,2000,2000-10-08,6,31.215,BAL,@,JAX,W 15-10,,,,,
90,2000,2000-10-15,7,31.222,BAL,@,WAS,L 3-10,,,,,
91,2000,2000-10-22,8,31.229,BAL,,TEN,L 6-14,,,,,
92,2000,2000-10-29,9,31.236,BAL,,PIT,L 6-9,,,,,
93,2000,2000-11-19,12,31.257,BAL,,DAL,W 27-0,,,,,
94,2000,2000-11-26,13,31.264,BAL,,CLE,W 44-7,,,,,
95,2000,2000-12-10,14,31.278,BAL,,SDG,W 24-3,,,,,
96,2000,2000-12-17,15,31.285,BAL,@,ARI,W 13-7,,,,,
97,2000,2000-12-24,16,31.292,BAL,,NYJ,W 34-20,,,,,
