ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,24.207,GNB,,MIN,L 25-30,,1,0,0,,0,0.0%,0.00,0,0,,0,6,134,22.33,0,2,13,6.50,0,0,0,0.0,,
2,2003,2003-09-14,2,24.214,GNB,,DET,W 31-6,,0,0,0,,0,0.0%,,0,0,,0,2,51,25.50,0,2,7,3.50,0,0,0,0.0,,
3,2003,2003-09-21,3,24.221,GNB,@,ARI,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,4,85,21.25,0,4,60,15.00,0,0,0,0.0,,
4,2003,2003-09-29,4,24.229,GNB,@,CHI,W 38-23,,0,0,0,,0,0.0%,,0,0,,0,4,105,26.25,0,1,5,5.00,0,0,0,0.0,,
5,2003,2003-10-05,5,24.235,GNB,,SEA,W 35-13,,0,0,0,,0,0.0%,,0,0,,0,3,73,24.33,0,0,0,,0,0,0,0.0,,
6,2003,2003-10-12,6,24.242,GNB,,KAN,L 34-40,,0,0,0,,0,0.0%,,0,0,,0,5,121,24.20,0,2,17,8.50,0,0,0,0.0,,
7,2003,2003-10-19,7,24.249,GNB,@,STL,L 24-34,,0,0,0,,0,0.0%,,0,0,,0,5,89,17.80,0,1,0,0.00,0,0,0,0.0,,
8,2003,2003-11-02,8,24.263,GNB,@,MIN,W 30-27,,0,0,0,,0,0.0%,,0,0,,0,5,100,20.00,0,1,9,9.00,0,0,0,0.0,,
9,2003,2003-11-10,9,24.271,GNB,,PHI,L 14-17,,0,0,0,,0,0.0%,,0,0,,0,2,46,23.00,0,0,0,,0,0,0,0.0,,
10,2003,2003-11-16,10,24.277,GNB,@,TAM,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,61,12.20,0,0,0,0.0,,
11,2003,2003-11-23,11,24.284,GNB,,SFO,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0.0,,
12,2003,2003-11-27,12,24.288,GNB,@,DET,L 14-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0.0,,
13,2003,2003-12-07,13,24.298,GNB,,CHI,W 34-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,3,1.00,0,0,0,0.0,,
14,2003,2003-12-14,14,24.305,GNB,@,SDG,W 38-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,14,7.00,0,0,0,0.0,,
15,2003,2003-12-22,15,24.313,GNB,@,OAK,W 41-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,25,8.33,0,0,0,0.0,,
16,2003,2003-12-28,16,24.319,GNB,,DEN,W 31-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,42,14.00,0,0,0,0.0,,
17,2004,2004-09-13,1,25.214,GNB,@,CAR,W 24-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,26,8.67,0,0,0,0.0,,
18,2004,2004-09-19,2,25.220,GNB,,CHI,L 10-21,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,2,25,12.50,0,0,0,0.0,,
19,2004,2004-09-26,3,25.227,GNB,@,IND,L 31-45,,5,2,14,7.00,0,40.0%,2.80,0,0,,0,3,89,29.67,0,2,14,7.00,0,0,0,0.0,,
20,2004,2004-10-03,4,25.234,GNB,,NYG,L 7-14,,2,1,9,9.00,0,50.0%,4.50,1,4,4.00,0,2,41,20.50,0,1,1,1.00,0,0,0,0.0,,
21,2004,2004-10-11,5,25.242,GNB,,TEN,L 27-48,,4,2,32,16.00,0,50.0%,8.00,0,0,,0,8,163,20.38,0,2,1,0.50,0,0,0,0.0,,
22,2004,2004-10-17,6,25.248,GNB,@,DET,W 38-10,*,9,5,50,10.00,0,55.6%,5.56,0,0,,0,0,0,,0,3,32,10.67,0,0,0,0.0,,
23,2004,2004-10-24,7,25.255,GNB,,DAL,W 41-20,,1,1,12,12.00,0,100.0%,12.00,1,18,18.00,0,1,11,11.00,0,0,0,,0,0,0,0.0,,
24,2004,2004-10-31,8,25.262,GNB,@,WAS,W 28-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,30,10.00,0,0,0,0.0,,
25,2004,2004-11-14,9,25.276,GNB,,MIN,W 34-31,*,1,1,14,14.00,0,100.0%,14.00,1,8,8.00,0,2,27,13.50,0,2,17,8.50,0,0,0,0.0,,
26,2004,2004-11-21,10,25.283,GNB,@,HOU,W 16-13,,6,2,17,8.50,0,33.3%,2.83,0,0,,0,2,39,19.50,0,4,23,5.75,0,0,0,0.0,,
27,2004,2004-11-29,11,25.291,GNB,,STL,W 45-17,,0,0,0,,0,0.0%,,1,6,6.00,0,2,40,20.00,0,0,0,,0,0,0,0.0,,
28,2004,2004-12-05,12,25.297,GNB,@,PHI,L 17-47,,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0.0,,
29,2004,2004-12-12,13,25.304,GNB,,DET,W 16-13,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
30,2004,2004-12-19,14,25.311,GNB,,JAX,L 25-28,,6,4,48,12.00,1,66.7%,8.00,0,0,,0,0,0,,0,5,54,10.80,0,1,6,0.0,,
31,2004,2004-12-24,15,25.316,GNB,@,MIN,W 34-31,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,4,137,34.25,0,1,7,7.00,0,0,0,0.0,,
32,2004,2005-01-02,16,25.325,GNB,@,CHI,W 31-14,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,3,4,1.33,0,0,0,0.0,,
33,2005,2005-09-11,1,26.211,GNB,@,DET,L 3-17,*,4,1,11,11.00,0,25.0%,2.75,0,0,,0,1,22,22.00,0,3,19,6.33,0,0,0,0.0,,
34,2005,2005-09-18,2,26.218,GNB,,CLE,L 24-26,,5,4,71,17.75,0,80.0%,14.20,1,8,8.00,0,0,0,,0,1,9,9.00,0,0,0,0.0,,
35,2005,2005-09-25,3,26.225,GNB,,TAM,L 16-17,,2,2,37,18.50,1,100.0%,18.50,1,10,10.00,0,0,0,,0,3,23,7.67,0,1,6,0.0,,
36,2005,2005-10-03,4,26.233,GNB,@,CAR,L 29-32,,5,3,36,12.00,1,60.0%,7.20,0,0,,0,0,0,,0,4,29,7.25,0,1,6,0.0,,
