ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-09,1,23.023,PIT,@,NWE,L 14-30,,8,6,87,14.50,0,75.0%,10.88,1,9,9.00,0,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,0,0,,0,2,9,4.50,0,0,0,0.0,,
2,2002,2002-09-15,2,23.029,PIT,,OAK,L 17-30,,4,2,23,11.50,0,50.0%,5.75,1,10,10.00,0,0,0,,0,0,0,,0,,,,3,77,25.67,0,2,17,8.50,0,0,0,0.0,,
3,2002,2002-09-29,3,23.043,PIT,,CLE,W 16-13,,6,5,51,10.20,0,83.3%,8.50,2,8,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,81,27.00,0,4,14,3.50,0,0,0,0.0,,
4,2002,2002-10-06,4,23.050,PIT,@,NOR,L 29-32,,5,5,48,9.60,0,100.0%,9.60,1,-10,-10.00,0,0,0,,0,0,0,,0,,,,4,69,17.25,0,3,35,11.67,0,0,0,0.0,,
5,2002,2002-10-13,5,23.057,PIT,@,CIN,W 34-7,,2,1,25,25.00,0,50.0%,12.50,1,24,24.00,0,0,0,,0,0,0,,0,,,,1,99,99.00,1,1,-2,-2.00,0,1,6,0.0,,
6,2002,2002-10-21,6,23.065,PIT,,IND,W 28-10,,2,1,9,9.00,0,50.0%,4.50,3,27,9.00,0,0,0,,0,0,0,,0,,,,1,7,7.00,0,1,0,0.00,0,0,0,0.0,,
7,2002,2002-10-27,7,23.071,PIT,@,BAL,W 31-18,,1,1,3,3.00,0,100.0%,3.00,1,16,16.00,0,0,0,,0,0,0,,0,,,,2,55,27.50,0,2,31,15.50,0,0,0,0.0,,
8,2002,2002-11-03,8,23.078,PIT,@,CLE,W 23-20,,6,3,18,6.00,0,50.0%,3.00,1,2,2.00,0,2,2,100.00,26,0,0,118.7,0,0,13.00,13.00,1,12,12.00,0,1,11,11.00,0,0,0,0.0,,
9,2002,2002-11-10,9,23.085,PIT,,ATL,T 34-34,,3,3,51,17.00,0,100.0%,17.00,2,23,11.50,0,0,0,,0,0,0,,0,,,,2,36,18.00,0,4,23,5.75,0,0,0,0.0,,
10,2002,2002-11-17,10,23.092,PIT,@,TEN,L 23-31,,7,5,26,5.20,0,71.4%,3.71,0,0,,0,0,0,,0,0,0,,0,,,,2,32,16.00,0,1,13,13.00,0,0,0,0.0,,
11,2002,2002-11-24,11,23.099,PIT,,CIN,W 29-21,,3,2,10,5.00,0,66.7%,3.33,1,-2,-2.00,0,0,0,,0,0,0,,0,,,,1,20,20.00,0,4,27,6.75,0,0,0,0.0,,
12,2002,2002-12-01,12,23.106,PIT,@,JAX,W 25-23,,1,0,0,,0,0.0%,0.00,0,0,,0,1,1,100.00,-1,0,0,79.2,1,10,-1.00,-1.00,3,79,26.33,0,3,6,2.00,0,0,0,0.0,,
13,2002,2002-12-08,13,23.113,PIT,,HOU,L 6-24,,11,8,88,11.00,0,72.7%,8.00,1,11,11.00,0,1,1,100.00,1,0,0,79.2,0,0,1.00,1.00,2,26,13.00,0,6,40,6.67,0,0,0,0.0,,
14,2002,2002-12-15,14,23.120,PIT,,CAR,W 30-14,,1,1,5,5.00,0,100.0%,5.00,2,10,5.00,0,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,3,33,11.00,0,0,0,,0,0,0,0.0,,
15,2002,2002-12-23,15,23.128,PIT,@,TAM,W 17-7,,2,1,11,11.00,1,50.0%,5.50,1,4,4.00,0,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,1,21,21.00,0,3,33,11.00,0,1,6,0.0,,
16,2002,2002-12-29,16,23.134,PIT,,BAL,W 34-31,,3,3,34,11.33,1,100.0%,11.33,1,2,2.00,0,0,0,,0,0,0,,0,,,,3,86,28.67,0,0,0,,0,1,6,0.0,,
17,2003,2003-09-07,1,24.021,PIT,,BAL,W 34-15,,1,1,13,13.00,0,100.0%,13.00,3,-9,-3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,9,9.00,0,0,0,0.0,,
18,2003,2003-09-14,2,24.028,PIT,@,KAN,L 20-41,,6,3,15,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,5,132,26.40,0,2,9,4.50,0,0,0,0.0,,
19,2003,2003-09-21,3,24.035,PIT,@,CIN,W 17-10,,3,2,19,9.50,0,66.7%,6.33,1,5,5.00,0,0,0,,0,0,0,,0,,,,1,11,11.00,0,3,13,4.33,0,0,0,0.0,,
20,2003,2003-09-28,4,24.042,PIT,,TEN,L 13-30,*,5,5,47,9.40,0,100.0%,9.40,1,15,15.00,0,0,0,,0,0,0,,0,,,,1,23,23.00,0,3,17,5.67,0,0,0,0.0,,
21,2003,2003-10-05,5,24.049,PIT,,CLE,L 13-33,,4,3,25,8.33,0,75.0%,6.25,1,3,3.00,0,0,0,,0,0,0,,0,,,,2,32,16.00,0,4,39,9.75,0,0,0,0.0,,
22,2003,2003-10-12,6,24.056,PIT,@,DEN,L 14-17,,1,1,7,7.00,0,100.0%,7.00,2,7,3.50,0,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,1,23,23.00,0,5,36,7.20,0,0,0,0.0,,
23,2003,2003-10-26,7,24.070,PIT,,STL,L 21-33,,2,2,13,6.50,0,100.0%,6.50,2,39,19.50,0,0,0,,0,0,0,,0,,,,1,27,27.00,0,4,92,23.00,1,1,6,0.0,,
