ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,23.005,MIA,,NWE,W 39-35,,,
2,1994,1994-09-11,2,23.012,MIA,@,GNB,W 24-14,,,
3,1994,1994-09-18,3,23.019,MIA,,NYJ,W 28-14,1,0,0
4,1994,1994-09-25,4,23.026,MIA,@,MIN,L 35-38,,,
5,1994,1994-10-02,5,23.033,MIA,@,CIN,W 23-7,1,0,0
6,1994,1994-10-09,6,23.040,MIA,@,BUF,L 11-21,,,
7,1994,1994-10-16,7,23.047,MIA,,RAI,W 20-17,,,
8,1994,1994-10-30,8,23.061,MIA,@,NWE,W 23-3,,,
9,1994,1994-11-06,9,23.068,MIA,,IND,W 22-21,,,
10,1994,1994-11-13,10,23.075,MIA,,CHI,L 14-17,,,
11,1994,1994-11-20,11,23.082,MIA,@,PIT,L 13-16,,,
12,1994,1994-11-27,12,23.089,MIA,@,NYJ,W 28-24,,,
13,1994,1994-12-04,13,23.096,MIA,,BUF,L 31-42,,,
14,1994,1994-12-12,14,23.104,MIA,,KAN,W 45-28,,,
15,1994,1994-12-18,15,23.110,MIA,@,IND,L 6-10,,,
16,1994,1994-12-25,16,23.117,MIA,,DET,W 27-20,,,
17,1995,1995-09-03,1,24.004,MIA,,NYJ,W 52-14,1,8,0
18,1995,1995-09-10,2,24.011,MIA,@,NWE,W 20-3,,,
19,1995,1995-09-18,3,24.019,MIA,,PIT,W 23-10,,,
20,1995,1995-10-01,4,24.032,MIA,@,CIN,W 26-23,,,
21,1995,1995-10-08,5,24.039,MIA,,IND,L 24-27,,,
22,1995,1995-10-15,6,24.046,MIA,@,NOR,L 30-33,,,
23,1995,1995-10-22,7,24.053,MIA,@,NYJ,L 16-17,,,
24,1995,1995-10-29,8,24.060,MIA,,BUF,W 23-6,,,
25,1995,1995-11-05,9,24.067,MIA,@,SDG,W 24-14,,,
26,1995,1995-11-12,10,24.074,MIA,,NWE,L 17-34,,,
27,1995,1995-11-20,11,24.082,MIA,,SFO,L 20-44,,,
28,1995,1995-11-26,12,24.088,MIA,@,IND,L 28-36,,,
29,1995,1995-12-03,13,24.095,MIA,,ATL,W 21-20,,,
30,1995,1995-12-11,14,24.103,MIA,,KAN,W 13-6,,,
31,1995,1995-12-17,15,24.109,MIA,@,BUF,L 20-23,,,
32,1995,1995-12-24,16,24.116,MIA,@,STL,W 41-22,,,
33,1996,1996-11-10,10,25.072,NYJ,,NWE,L 27-31,,,
34,1996,1996-11-17,11,25.079,NYJ,@,IND,L 29-34,,,
35,1996,1996-11-24,12,25.086,NYJ,@,BUF,L 10-35,,,
36,1996,1996-12-01,13,25.093,NYJ,,HOU,L 10-35,,,
37,1996,1996-12-08,14,25.100,NYJ,@,NWE,L 10-34,,,
38,1996,1996-12-14,15,25.106,NYJ,,PHI,L 20-21,,,
39,1996,1996-12-22,16,25.114,NYJ,,MIA,L 28-31,,,
