ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,21.343,TAM,,CAR,L 14-20,*,2,1,26,26.00,0,50.0%,13.00,0,0,0.0,0,0
2,2014,2014-09-28,4,21.364,TAM,@,PIT,W 27-24,*,7,3,44,14.67,0,42.9%,6.29,0,0,0.0,0,0
3,2014,2014-10-05,5,22.006,TAM,@,NOR,L 31-37,*,3,1,11,11.00,0,33.3%,3.67,0,0,0.0,0,0
4,2014,2014-10-12,6,22.013,TAM,,BAL,L 17-48,*,5,4,58,14.50,0,80.0%,11.60,0,0,0.0,0,0
5,2014,2014-10-26,7,22.027,TAM,,MIN,L 13-19,*,4,3,26,8.67,1,75.0%,6.50,1,6,0.0,0,0
6,2014,2014-11-02,8,22.034,TAM,@,CLE,L 17-22,*,3,1,3,3.00,0,33.3%,1.00,0,0,0.0,0,0
7,2014,2014-11-09,9,22.041,TAM,,ATL,L 17-27,*,9,5,30,6.00,1,55.6%,3.33,1,6,0.0,0,0
8,2014,2014-11-16,10,22.048,TAM,@,WAS,W 27-7,*,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0
9,2014,2014-11-23,11,22.055,TAM,@,CHI,L 13-21,*,4,2,16,8.00,0,50.0%,4.00,0,0,0.0,1,0
10,2015,2015-09-13,1,22.349,TAM,,TEN,L 14-42,*,7,5,110,22.00,2,71.4%,15.71,2,12,0.0,0,0
11,2015,2015-09-20,2,22.356,TAM,@,NOR,W 26-19,*,3,2,29,14.50,0,66.7%,9.67,0,0,0.0,0,0
12,2015,2015-12-06,12,23.068,TAM,,ATL,W 23-19,,6,3,31,10.33,0,50.0%,5.17,0,0,0.0,0,0
13,2015,2015-12-13,13,23.075,TAM,,NOR,L 17-24,,6,3,31,10.33,0,50.0%,5.17,0,0,0.0,0,0
