ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1998,1998-12-06,13,24.351,MIA,@,OAK,W 27-17,,,,,
2,1998,1998-12-21,15,25.001,MIA,,DEN,W 31-21,,,,,
3,1998,1998-12-27,16,25.007,MIA,@,ATL,L 16-38,,,,,
4,2000,2000-09-03,1,26.258,GNB,,NYJ,L 16-20,,,,,
5,2000,2000-09-10,2,26.265,GNB,@,BUF,L 18-27,,,,,
6,2000,2000-09-17,3,26.272,GNB,,PHI,W 6-3,,,,,
7,2000,2000-09-24,4,26.279,GNB,@,ARI,W 29-3,,,,,
8,2000,2000-12-03,13,26.349,GNB,@,CHI,W 28-6,,,,,
9,2000,2000-12-10,14,26.356,GNB,,DET,W 26-13,,,,,
10,2000,2000-12-17,15,26.363,GNB,@,MIN,W 33-28,,,,,
11,2000,2000-12-24,16,27.004,GNB,,TAM,W 17-14,,,,,
12,2001,2001-09-09,1,27.263,GNB,,DET,W 28-6,,,,,
13,2001,2001-09-24,2,27.278,GNB,,WAS,W 37-0,,,,,
14,2001,2001-09-30,3,27.284,GNB,@,CAR,W 28-7,,,,,
15,2001,2001-10-07,4,27.291,GNB,@,TAM,L 10-14,,,,,
16,2001,2001-10-14,5,27.298,GNB,,BAL,W 31-23,,,,,
17,2001,2001-10-21,6,27.305,GNB,@,MIN,L 13-35,,,,,
18,2001,2001-11-04,7,27.319,GNB,,TAM,W 21-20,,,,,
19,2001,2001-11-11,8,27.326,GNB,@,CHI,W 20-12,*,,,,
20,2001,2001-11-18,9,27.333,GNB,,ATL,L 20-23,*,,,,
21,2001,2001-11-22,10,27.337,GNB,@,DET,W 29-27,*,,,,
22,2001,2001-12-03,11,27.348,GNB,@,JAX,W 28-21,,,,,
23,2001,2001-12-09,12,27.354,GNB,,CHI,W 17-7,,,,,
24,2001,2001-12-16,13,27.361,GNB,@,TEN,L 20-26,,,,,
25,2001,2001-12-23,14,28.003,GNB,,CLE,W 30-7,,,,,
26,2001,2001-12-30,15,28.010,GNB,,MIN,W 24-13,,,,,
27,2001,2002-01-06,16,28.017,GNB,@,NYG,W 34-25,,,,,
28,2002,2002-09-08,1,28.262,CLE,,KAN,L 39-40,*,,,,
29,2002,2002-09-15,2,28.269,CLE,,CIN,W 20-7,*,,,,
30,2002,2002-09-22,3,28.276,CLE,@,TEN,W 31-28,*,,,,
31,2002,2002-09-29,4,28.283,CLE,@,PIT,L 13-16,*,,,,
32,2002,2002-10-06,5,28.290,CLE,,BAL,L 21-26,*,,,,
33,2002,2002-10-13,6,28.297,CLE,@,TAM,L 3-17,*,,,,
34,2002,2002-10-20,7,28.304,CLE,,HOU,W 34-17,*,,,,
35,2002,2002-10-27,8,28.311,CLE,@,NYJ,W 24-21,*,,,,
36,2002,2002-11-03,9,28.318,CLE,,PIT,L 20-23,*,,,,
37,2002,2002-11-17,10,28.332,CLE,@,CIN,W 27-20,*,,,,
38,2002,2002-11-24,11,28.339,CLE,@,NOR,W 24-15,*,,,,
39,2002,2002-12-01,12,28.346,CLE,,CAR,L 6-13,*,,,,
40,2002,2002-12-08,13,28.353,CLE,@,JAX,W 21-20,*,,,,
41,2002,2002-12-15,14,28.360,CLE,,IND,L 23-28,*,,,,
42,2002,2002-12-22,15,29.002,CLE,@,BAL,W 14-13,*,,,,
43,2002,2002-12-29,16,29.009,CLE,,ATL,W 24-16,*,,,,
44,2003,2003-09-07,1,29.261,CLE,,IND,L 6-9,*,,,,
45,2003,2003-09-14,2,29.268,CLE,@,BAL,L 13-33,*,,,,
46,2003,2003-09-21,3,29.275,CLE,@,SFO,W 13-12,*,,,,
47,2003,2003-09-28,4,29.282,CLE,,CIN,L 14-21,*,,,,
48,2003,2003-10-05,5,29.289,CLE,@,PIT,W 33-13,*,,,,
49,2003,2003-10-12,6,29.296,CLE,,OAK,W 13-7,*,,,,
50,2003,2003-10-19,7,29.303,CLE,,SDG,L 20-26,*,,,,
51,2003,2003-11-16,10,29.331,CLE,,ARI,W 44-6,*,,,,
