ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.228,TEN,,NWE,L 13-34,,,,
2,2012,2012-09-16,2,22.235,TEN,@,SDG,L 10-38,,,,
3,2012,2012-09-23,3,22.242,TEN,,DET,W 44-41,,,,
4,2012,2012-09-30,4,22.249,TEN,@,HOU,L 14-38,,,,
5,2012,2012-10-07,5,22.256,TEN,@,MIN,L 7-30,,,,
6,2012,2012-10-11,6,22.260,TEN,,PIT,W 26-23,,0.0,0,0
7,2012,2012-10-21,7,22.270,TEN,@,BUF,W 35-34,,,,
8,2012,2012-10-28,8,22.277,TEN,,IND,L 13-19,,,,
9,2012,2012-11-04,9,22.284,TEN,,CHI,L 20-51,,,,
10,2012,2012-11-11,10,22.291,TEN,@,MIA,W 37-3,,,,
11,2012,2012-11-25,11,22.305,TEN,@,JAX,L 19-24,,,,
12,2012,2012-12-02,12,22.312,TEN,,HOU,L 10-24,,,,
13,2012,2012-12-09,13,22.319,TEN,@,IND,L 23-27,,0.0,0,0
14,2012,2012-12-17,14,22.327,TEN,,NYJ,W 14-10,,,,
15,2012,2012-12-23,15,22.333,TEN,@,GNB,L 7-55,,,,
16,2012,2012-12-30,16,22.340,TEN,,JAX,W 38-20,,0.0,0,0
17,2013,2013-09-08,1,23.226,TEN,@,PIT,W 16-9,,,,
18,2013,2013-09-15,2,23.233,TEN,@,HOU,L 24-30,,,,
19,2013,2013-09-22,3,23.240,TEN,,SDG,W 20-17,,,,
20,2013,2013-09-29,4,23.247,TEN,,NYJ,W 38-13,,0.0,0,1
21,2013,2013-10-06,5,23.254,TEN,,KAN,L 17-26,,0.0,0,1
22,2013,2013-10-13,6,23.261,TEN,@,SEA,L 13-20,,,,
23,2013,2013-10-20,7,23.268,TEN,,SFO,L 17-31,,,,
24,2013,2013-11-03,8,23.282,TEN,@,STL,W 28-21,,0.0,1,0
25,2013,2013-11-10,9,23.289,TEN,,JAX,L 27-29,,,,
26,2013,2013-11-14,10,23.293,TEN,,IND,L 27-30,,,,
27,2013,2013-11-24,11,23.303,TEN,@,OAK,W 23-19,,0.0,1,0
28,2013,2013-12-01,12,23.310,TEN,@,IND,L 14-22,,,,
29,2013,2013-12-08,13,23.317,TEN,@,DEN,L 28-51,,,,
30,2013,2013-12-15,14,23.324,TEN,,ARI,L 34-37,,,,
31,2013,2013-12-22,15,23.331,TEN,@,JAX,W 20-16,,,,
32,2013,2013-12-29,16,23.338,TEN,,HOU,W 16-10,,,,
33,2014,2014-09-07,1,24.225,TEN,@,KAN,W 26-10,,,,
34,2014,2014-09-14,2,24.232,TEN,,DAL,L 10-26,,,,
35,2014,2014-09-21,3,24.239,TEN,@,CIN,L 7-33,,,,
36,2014,2014-09-28,4,24.246,TEN,@,IND,L 17-41,,0.0,1,0
37,2014,2014-10-05,5,24.253,TEN,,CLE,L 28-29,,,,
38,2014,2014-10-12,6,24.260,TEN,,JAX,W 16-14,,,,
39,2014,2014-10-19,7,24.267,TEN,@,WAS,L 17-19,,,,
40,2014,2014-10-26,8,24.274,TEN,,HOU,L 16-30,,,,
41,2014,2014-11-09,9,24.288,TEN,@,BAL,L 7-21,,,,
42,2014,2014-11-17,10,24.296,TEN,,PIT,L 24-27,,,,
43,2014,2014-11-23,11,24.302,TEN,@,PHI,L 24-43,,0.0,1,1
44,2014,2014-11-30,12,24.309,TEN,@,HOU,L 21-45,,,,
45,2014,2014-12-07,13,24.316,TEN,,NYG,L 7-36,,,,
46,2014,2014-12-14,14,24.323,TEN,,NYJ,L 11-16,,0.0,1,0
47,2014,2014-12-18,15,24.327,TEN,@,JAX,L 13-21,,0.0,1,0
48,2014,2014-12-28,16,24.337,TEN,,IND,L 10-27,,0.0,1,0
49,2015,2015-09-13,1,25.231,TEN,@,TAM,W 42-14,,0.0,0,0
50,2015,2015-09-20,2,25.238,TEN,@,CLE,L 14-28,,0.0,0,0
51,2015,2015-09-27,3,25.245,TEN,,IND,L 33-35,,0.0,0,0
52,2015,2015-10-11,4,25.259,TEN,,BUF,L 13-14,,0.0,0,0
53,2015,2015-10-18,5,25.266,TEN,,MIA,L 10-38,,0.0,0,0
54,2015,2015-10-25,6,25.273,TEN,,ATL,L 7-10,,0.0,0,0
55,2015,2015-11-01,7,25.280,TEN,@,HOU,L 6-20,,0.0,0,0
56,2015,2015-11-08,8,25.287,TEN,@,NOR,W 34-28,,0.0,0,0
57,2015,2015-11-15,9,25.294,TEN,,CAR,L 10-27,,0.0,0,0
58,2015,2015-11-19,10,25.298,TEN,@,JAX,L 13-19,,0.0,0,0
59,2015,2015-11-29,11,25.308,TEN,,OAK,L 21-24,,0.0,0,0
60,2015,2015-12-06,12,25.315,TEN,,JAX,W 42-39,,0.0,0,0
61,2015,2015-12-13,13,25.322,TEN,@,NYJ,L 8-30,,0.0,0,0
62,2015,2015-12-20,14,25.329,TEN,@,NWE,L 16-33,,0.0,0,0
63,2015,2015-12-27,15,25.336,TEN,,HOU,L 6-34,,0.0,0,0
64,2015,2016-01-03,16,25.343,TEN,@,IND,L 24-30,,0.0,0,0
65,2016,2016-09-11,1,26.230,TEN,,MIN,L 16-25,,0.0,0,0
66,2016,2016-09-18,2,26.237,TEN,@,DET,W 16-15,,0.0,0,0
67,2016,2016-09-25,3,26.244,TEN,,OAK,L 10-17,,0.0,0,0
68,2016,2016-10-02,4,26.251,TEN,@,HOU,L 20-27,,0.0,0,0
69,2016,2016-10-09,5,26.258,TEN,@,MIA,W 30-17,,0.0,0,0
70,2016,2016-10-16,6,26.265,TEN,,CLE,W 28-26,,0.0,0,0
71,2016,2016-10-23,7,26.272,TEN,,IND,L 26-34,,0.0,0,0
72,2016,2016-10-27,8,26.276,TEN,,JAX,W 36-22,,0.0,0,0
73,2016,2016-11-06,9,26.286,TEN,@,SDG,L 35-43,,0.0,0,0
74,2016,2016-11-13,10,26.293,TEN,,GNB,W 47-25,,0.0,0,0
75,2016,2016-11-20,11,26.300,TEN,@,IND,L 17-24,,0.0,0,0
76,2016,2016-11-27,12,26.307,TEN,@,CHI,W 27-21,,0.0,0,0
77,2016,2016-12-11,13,26.321,TEN,,DEN,W 13-10,,0.0,0,0
78,2016,2016-12-18,14,26.328,TEN,@,KAN,W 19-17,,0.0,0,0
79,2016,2016-12-24,15,26.334,TEN,@,JAX,L 17-38,,0.0,0,0
80,2016,2017-01-01,16,26.342,TEN,,HOU,W 24-17,,0.0,0,0
81,2017,2017-09-10,1,27.228,TEN,,OAK,L 16-26,,0.0,0,0
82,2017,2017-09-17,2,27.235,TEN,@,JAX,W 37-16,,0.0,0,0
