ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1993,1993-09-05,1,22.110,PHO,@,PHI,L 17-23,
2,1993,1993-09-12,2,22.117,PHO,@,WAS,W 17-10,
3,1993,1993-09-19,3,22.124,PHO,,DAL,L 10-17,
4,1993,1993-09-26,4,22.131,PHO,@,DET,L 20-26,
5,1993,1993-10-10,5,22.145,PHO,,NWE,L 21-23,
6,1993,1993-10-17,6,22.152,PHO,,WAS,W 36-6,
7,1993,1993-10-24,7,22.159,PHO,@,SFO,L 14-28,
8,1993,1993-10-31,8,22.166,PHO,,NOR,L 17-20,
9,1993,1993-11-07,9,22.173,PHO,,PHI,W 16-3,
10,1993,1993-11-14,10,22.180,PHO,@,DAL,L 15-20,
11,1993,1993-12-26,15,22.222,PHO,,NYG,W 17-6,
12,1993,1994-01-02,16,22.229,PHO,@,ATL,W 27-10,
13,1994,1994-09-11,2,23.116,ARI,,NYG,L 17-20,
14,1994,1994-09-18,3,23.123,ARI,@,CLE,L 0-32,
15,1994,1994-10-02,4,23.137,ARI,,MIN,W 17-7,
16,1994,1994-10-09,5,23.144,ARI,@,DAL,L 3-38,
17,1994,1994-10-16,6,23.151,ARI,@,WAS,W 19-16,
18,1994,1994-10-23,7,23.158,ARI,,DAL,L 21-28,
19,1994,1994-10-30,8,23.165,ARI,,PIT,W 20-17,
20,1994,1994-11-06,9,23.172,ARI,@,PHI,L 7-17,
21,1994,1994-11-13,10,23.179,ARI,@,NYG,W 10-9,
22,1994,1994-11-20,11,23.186,ARI,,PHI,W 12-6,
23,1994,1994-11-27,12,23.193,ARI,,CHI,L 16-19,
24,1994,1994-12-04,13,23.200,ARI,@,HOU,W 30-12,
25,1994,1994-12-11,14,23.207,ARI,,WAS,W 17-15,
26,1994,1994-12-18,15,23.214,ARI,,CIN,W 28-7,
27,1994,1994-12-24,16,23.220,ARI,@,ATL,L 6-10,
28,1995,1995-09-10,2,24.115,ARI,,PHI,L 19-31,
29,1995,1995-09-17,3,24.122,ARI,@,DET,W 20-17,
30,1995,1995-09-24,4,24.129,ARI,@,DAL,L 20-34,
31,1995,1995-10-15,7,24.150,JAX,,CHI,L 27-30,
32,1995,1995-10-22,8,24.157,JAX,@,CLE,W 23-15,
33,1995,1995-10-29,9,24.164,JAX,@,PIT,L 7-24,
34,1995,1995-11-12,10,24.178,JAX,,SEA,L 30-47,
35,1995,1995-11-19,11,24.185,JAX,@,TAM,L 16-17,
36,1995,1995-11-26,12,24.192,JAX,,CIN,L 13-17,
37,1995,1995-12-03,13,24.199,JAX,@,DEN,L 23-31,
38,1995,1995-12-10,14,24.206,JAX,,IND,L 31-41,
39,1995,1995-12-17,15,24.213,JAX,@,DET,L 0-44,
40,1995,1995-12-24,16,24.220,JAX,,CLE,W 24-21,
41,1996,1996-09-01,1,25.106,JAX,,PIT,W 24-9,
42,1996,1996-09-08,2,25.113,JAX,,HOU,L 27-34,
43,1996,1996-09-15,3,25.120,JAX,@,OAK,L 3-17,
44,1996,1996-09-22,4,25.127,JAX,@,NWE,L 25-28,
45,1996,1996-09-29,5,25.134,JAX,,CAR,W 24-14,
46,1996,1996-10-06,6,25.141,JAX,@,NOR,L 13-17,
47,1996,1996-10-13,7,25.148,JAX,,NYJ,W 21-17,
48,1996,1996-10-20,8,25.155,JAX,@,STL,L 14-17,
49,1996,1996-10-27,9,25.162,JAX,@,CIN,L 21-28,
50,1996,1996-11-10,10,25.176,MIA,,IND,W 37-13,
51,1996,1996-11-17,11,25.183,JAX,@,PIT,L 3-28,
52,1996,1996-11-24,12,25.190,NWE,,IND,W 27-13,
53,1996,1996-12-01,13,25.197,JAX,,CIN,W 30-27,
54,1996,1996-12-08,14,25.204,JAX,@,HOU,W 23-17,
55,1996,1996-12-15,15,25.211,JAX,,SEA,W 20-13,
56,1996,1996-12-22,16,25.218,JAX,,ATL,W 19-17,
57,1997,1997-08-31,1,26.105,MIA,,IND,W 16-10,
58,1997,1997-09-07,2,26.112,JAX,,NYG,W 40-13,
59,1997,1997-09-22,3,26.127,JAX,,PIT,W 30-21,
60,1997,1997-09-28,4,26.133,JAX,@,WAS,L 12-24,
61,1997,1997-10-05,5,26.140,JAX,,CIN,W 21-13,
62,1997,1997-10-12,6,26.147,JAX,,PHI,W 38-21,
63,1997,1997-10-19,7,26.154,JAX,@,DAL,L 22-26,
64,1997,1997-10-26,8,26.161,JAX,@,PIT,L 17-23,
65,1997,1997-11-02,9,26.168,JAX,@,TEN,W 30-24,
66,1997,1997-11-09,10,26.175,JAX,,KAN,W 24-10,
