ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2006,2006-09-10,1,26.248,HOU,,PHI,L 10-24,
2,2006,2006-12-03,12,26.332,SEA,@,DEN,W 23-20,
3,2006,2006-12-10,13,26.339,SEA,@,ARI,L 21-27,
4,2006,2006-12-14,14,26.343,SEA,,SFO,L 14-24,
5,2006,2006-12-24,15,26.353,SEA,,SDG,L 17-20,
6,2006,2006-12-31,16,26.360,SEA,@,TAM,W 23-7,
7,2007,2007-09-09,1,27.247,SEA,,TAM,W 20-6,
8,2007,2007-09-16,2,27.254,SEA,@,ARI,L 20-23,
9,2007,2007-10-14,6,27.282,SEA,,NOR,L 17-28,
10,2007,2007-10-21,7,27.289,SEA,,STL,W 33-6,
11,2007,2007-11-04,8,27.303,SEA,@,CLE,L 30-33,
12,2007,2007-11-12,9,27.311,SEA,,SFO,W 24-0,
13,2007,2007-11-18,10,27.317,SEA,,CHI,W 30-23,
14,2007,2007-11-25,11,27.324,SEA,@,STL,W 24-19,
15,2007,2007-12-02,12,27.331,SEA,@,PHI,W 28-24,
16,2007,2007-12-09,13,27.338,SEA,,ARI,W 42-21,
17,2007,2007-12-16,14,27.345,SEA,@,CAR,L 10-13,
18,2007,2007-12-23,15,27.352,SEA,,BAL,W 27-6,
19,2007,2007-12-30,16,27.359,SEA,@,ATL,L 41-44,
