ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1976,1976-09-12,1,24.019,TAM,@,HOU,L 0-20,,,,
2,1976,1976-09-19,2,24.026,TAM,,SDG,L 0-23,1,22,22.00,0
3,1976,1976-09-26,3,24.033,TAM,,BUF,L 9-14,,,,
4,1976,1976-10-03,4,24.040,TAM,@,BAL,L 17-42,,,,
5,1976,1976-10-10,5,24.047,TAM,@,CIN,L 0-21,,,,
6,1976,1976-10-17,6,24.054,TAM,,SEA,L 10-13,,,,
7,1976,1976-10-24,7,24.061,TAM,,MIA,L 20-23,,,,
8,1976,1976-10-31,8,24.068,TAM,,KAN,L 19-28,,,,
9,1976,1976-11-07,9,24.075,TAM,@,DEN,L 13-48,,,,
10,1976,1976-11-14,10,24.082,TAM,@,NYJ,L 0-34,,,,
11,1976,1976-11-21,11,24.089,TAM,,CLE,L 7-24,,,,
12,1976,1976-11-28,12,24.096,TAM,@,OAK,L 16-49,,,,
