ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1954,1954-09-26,1,23.004,DET,,CHI,W 48-23,6,13,2.17,0,5,54,10.80,1
2,1954,1954-10-10,2,23.018,DET,,RAM,W 21-3,13,70,5.38,0,2,27,13.50,0
3,1954,1954-10-16,3,23.024,DET,,BAL,W 35-0,5,7,1.40,0,2,16,8.00,0
4,1954,1954-10-24,4,23.032,DET,@,SFO,L 31-37,5,16,3.20,0,4,44,11.00,0
5,1954,1954-10-31,5,23.039,DET,@,RAM,W 27-24,9,26,2.89,0,1,14,14.00,0
6,1954,1954-11-06,6,23.045,DET,@,BAL,W 27-3,7,19,2.71,1,2,17,8.50,0
7,1954,1954-11-14,7,23.053,DET,,SFO,W 48-7,8,73,9.13,1,1,66,66.00,1
8,1954,1954-11-21,8,23.060,DET,@,GNB,W 21-17,7,55,7.86,0,3,3,1.00,0
9,1954,1954-11-25,9,23.064,DET,,GNB,W 28-24,8,8,1.00,0,3,2,0.67,0
10,1954,1954-12-05,10,23.074,DET,,PHI,T 13-13,12,69,5.75,0,4,23,5.75,0
11,1954,1954-12-12,11,23.081,DET,@,CHI,L 24-28,7,18,2.57,0,4,7,1.75,0
12,1954,1954-12-19,12,23.088,DET,@,CLE,W 14-10,9,23,2.56,0,3,15,5.00,0
13,1956,1956-11-18,8,25.057,DET,,BAL,W 27-3,3,3,1.00,0,0,0,,0
14,1956,1956-11-22,9,25.061,DET,,GNB,L 20-24,3,15,5.00,0,1,4,4.00,0
15,1956,1956-12-02,10,25.071,DET,,CHI,W 42-10,3,9,3.00,1,0,0,,0
16,1956,1956-12-09,11,25.078,DET,,PIT,W 45-7,8,46,5.75,0,3,12,4.00,0
17,1956,1956-12-16,12,25.085,DET,@,CHI,L 21-38,3,11,3.67,0,1,18,18.00,1
18,1957,1957-09-29,1,26.007,PIT,,WAS,W 28-7,6,23,3.83,0,1,17,17.00,0
19,1957,1957-10-05,2,26.013,PIT,,CLE,L 12-23,9,31,3.44,0,6,61,10.17,0
20,1957,1957-10-20,4,26.028,PIT,@,NYG,L 0-35,3,10,3.33,0,2,12,6.00,0
21,1957,1957-10-27,5,26.035,PIT,,PHI,W 6-0,8,8,1.00,0,2,17,8.50,0
22,1957,1957-11-24,8,26.063,PIT,,GNB,L 10-27,2,4,2.00,0,0,0,,0
