ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1951,1951-09-30,1,22.150,CRD,,PHI,L 14-17,6,45,7.50,0,0,0,,0
2,1951,1951-10-07,2,22.157,CRD,,CHI,W 28-14,11,71,6.45,1,1,18,18.00,1
3,1951,1951-10-21,4,22.171,CRD,@,WAS,L 3-7,3,0,0.00,0,0,0,,0
4,1951,1951-10-28,5,22.178,CRD,,PIT,L 14-28,6,44,7.33,2,4,55,13.75,0
5,1951,1951-11-04,6,22.185,CRD,,CLE,L 17-34,7,41,5.86,0,2,38,19.00,0
6,1951,1951-11-11,7,22.192,CRD,@,RAM,L 21-45,11,43,3.91,0,2,90,45.00,1
7,1951,1951-12-02,10,22.213,CRD,@,CLE,L 28-49,4,43,10.75,0,2,33,16.50,0
8,1951,1951-12-09,11,22.220,CRD,,WAS,L 17-20,0,0,,0,1,16,16.00,0
9,1951,1951-12-16,12,22.227,CRD,@,CHI,W 24-14,0,0,,0,1,6,6.00,1
10,1952,1952-10-05,2,23.155,CRD,,CHI,W 21-10,2,56,28.00,0,0,0,,0
11,1952,1952-10-12,3,23.162,CRD,@,WAS,W 17-6,8,62,7.75,1,1,24,24.00,0
12,1952,1952-10-19,4,23.169,CRD,@,NYG,W 24-23,0,0,,0,1,56,56.00,1
13,1952,1952-10-26,5,23.176,CRD,,PIT,L 28-34,4,7,1.75,1,0,0,,0
14,1952,1952-11-09,7,23.190,CRD,@,CLE,L 13-28,7,28,4.00,0,1,11,11.00,0
15,1952,1952-11-16,8,23.197,CRD,@,PHI,L 7-10,2,15,7.50,0,0,0,,0
16,1952,1952-11-23,9,23.204,CRD,@,PIT,L 14-17,14,62,4.43,0,1,38,38.00,1
17,1952,1952-11-30,10,23.211,CRD,,PHI,W 28-22,2,4,2.00,0,0,0,,0
18,1952,1952-12-07,11,23.218,CRD,,CLE,L 0-10,3,15,5.00,0,4,14,3.50,0
19,1953,1953-09-27,1,24.147,CRD,,WAS,L 13-24,2,14,7.00,0,0,0,,0
20,1953,1953-10-11,3,24.161,CRD,@,PIT,L 28-31,5,5,1.00,0,0,0,,0
21,1953,1953-10-18,4,24.168,CRD,@,NYG,L 7-21,4,-8,-2.00,0,0,0,,0
22,1953,1953-10-25,5,24.175,CRD,,PHI,L 17-56,2,-4,-2.00,0,1,51,51.00,1
23,1953,1953-11-01,6,24.182,CRD,,NYG,L 20-23,5,9,1.80,0,3,57,19.00,0
24,1953,1953-11-08,7,24.189,CRD,@,WAS,L 17-28,6,41,6.83,0,0,0,,0
25,1953,1953-11-15,8,24.196,CRD,,RAM,T 24-24,6,32,5.33,0,3,25,8.33,0
26,1953,1953-11-21,9,24.202,CRD,@,PHI,L 0-38,4,1,0.25,0,0,0,,0
27,1953,1953-11-29,10,24.210,CRD,@,CLE,L 16-27,2,81,40.50,0,3,56,18.67,0
28,1953,1953-12-06,11,24.217,CRD,,PIT,L 17-21,6,-3,-0.50,0,2,34,17.00,0
29,1953,1953-12-13,12,24.224,CRD,@,CHI,W 24-17,9,30,3.33,1,2,19,9.50,0
