ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,24.327,BAL,,WAS,L 14-38,0,0,,0,2,18,9.00,0
2,1950,1950-09-24,2,24.334,BAL,,CLE,L 0-31,1,0,0.00,0,0,0,,0
3,1950,1950-10-15,4,24.355,BAL,,PHI,L 14-24,2,4,2.00,0,3,156,52.00,2
4,1950,1950-10-22,5,24.362,BAL,@,RAM,L 27-70,5,26,5.20,0,1,55,55.00,1
5,1950,1950-11-19,9,25.025,BAL,,NYG,L 20-55,0,0,,0,2,50,25.00,1
6,1950,1950-11-26,10,25.032,BAL,@,WAS,L 28-38,5,79,15.80,1,0,0,,0
7,1950,1950-12-03,11,25.039,BAL,,DET,L 21-45,1,4,4.00,0,1,4,4.00,0
8,1951,1951-09-30,1,25.340,CHI,@,GNB,W 31-20,2,7,3.50,0,3,89,29.67,0
9,1951,1951-10-07,2,25.347,CHI,@,CRD,L 14-28,2,-4,-2.00,0,3,86,28.67,1
10,1951,1951-10-14,3,25.354,CHI,,NYY,W 24-21,1,42,42.00,1,0,0,,0
11,1951,1951-10-21,4,25.361,CHI,,SFO,W 13-7,3,-8,-2.67,0,0,0,,0
12,1951,1951-10-28,5,26.003,CHI,@,DET,W 28-23,4,-14,-3.50,0,2,33,16.50,0
13,1951,1951-11-04,6,26.010,CHI,@,WAS,W 27-0,4,60,15.00,0,0,0,,0
14,1951,1951-11-11,7,26.017,CHI,,DET,L 28-41,3,1,0.33,0,3,24,8.00,0
15,1951,1951-11-18,8,26.024,CHI,,GNB,W 24-13,1,-3,-3.00,0,0,0,,0
16,1951,1951-11-25,9,26.031,CHI,@,CLE,L 21-42,2,0,0.00,0,1,7,7.00,0
17,1951,1951-12-02,10,26.038,CHI,,RAM,L 17-42,4,11,2.75,0,5,69,13.80,0
18,1952,1952-09-28,1,26.339,CHI,@,GNB,W 24-14,1,2,2.00,0,0,0,,0
19,1952,1952-11-02,6,27.008,CHI,@,SFO,W 20-17,1,2,2.00,0,0,0,,0
20,1952,1952-11-23,9,27.029,CHI,,DET,W 24-23,7,53,7.57,0,4,148,37.00,2
21,1952,1952-11-27,10,27.033,CHI,@,DTX,L 23-27,1,1,1.00,1,1,41,41.00,0
22,1952,1952-12-07,11,27.043,CHI,@,DET,L 21-45,9,33,3.67,1,2,51,25.50,0
23,1952,1952-12-14,12,27.050,CHI,,CRD,W 10-7,15,77,5.13,0,0,0,,0
24,1953,1953-09-27,1,27.337,CHI,@,BAL,L 9-13,14,32,2.29,1,2,29,14.50,0
25,1953,1953-10-04,2,27.344,CHI,@,GNB,W 17-13,11,10,0.91,0,1,9,9.00,0
26,1953,1953-10-11,3,27.351,CHI,,BAL,L 14-16,5,29,5.80,0,5,48,9.60,0
27,1953,1953-10-18,4,27.358,CHI,,SFO,L 28-35,7,42,6.00,0,4,68,17.00,1
28,1953,1953-10-25,5,28.000,CHI,@,RAM,L 24-38,3,9,3.00,0,1,10,10.00,1
29,1953,1953-11-01,6,28.007,CHI,@,SFO,L 14-24,8,23,2.88,1,6,31,5.17,0
30,1953,1953-11-08,7,28.014,CHI,,GNB,T 21-21,11,5,0.45,0,6,56,9.33,0
31,1953,1953-11-15,8,28.021,CHI,@,WAS,W 27-24,3,1,0.33,0,2,13,6.50,0
32,1953,1953-11-29,10,28.035,CHI,,RAM,W 24-21,6,13,2.17,0,5,99,19.80,1
33,1953,1953-12-06,11,28.042,CHI,@,DET,L 7-13,1,2,2.00,0,1,9,9.00,0
34,1953,1953-12-13,12,28.049,CHI,,CRD,L 17-24,3,3,1.00,0,1,4,4.00,1
35,1954,1954-09-26,1,28.336,CHI,@,DET,L 23-48,1,1,1.00,0,1,13,13.00,0
36,1954,1954-10-03,2,28.343,CHI,@,GNB,W 10-3,4,5,1.25,0,4,38,9.50,1
37,1954,1954-10-10,3,28.350,CHI,,BAL,W 28-9,5,11,2.20,0,1,11,11.00,0
38,1954,1954-10-17,4,28.357,CHI,,SFO,L 24-31,6,20,3.33,0,1,8,8.00,0
39,1954,1954-10-24,5,28.364,CHI,@,RAM,L 38-42,6,41,6.83,0,6,34,5.67,1
40,1954,1954-10-31,6,29.006,CHI,@,SFO,W 31-27,7,26,3.71,0,2,20,10.00,0
41,1954,1954-11-07,7,29.013,CHI,,GNB,W 28-23,4,24,6.00,1,2,22,11.00,0
42,1954,1954-11-14,8,29.020,CHI,,CLE,L 10-39,6,26,4.33,0,4,68,17.00,0
43,1954,1954-11-21,9,29.027,CHI,@,BAL,W 28-13,8,36,4.50,1,5,70,14.00,1
44,1954,1954-11-28,10,29.034,CHI,,RAM,W 24-13,14,46,3.29,0,3,21,7.00,0
45,1954,1954-12-05,11,29.041,CHI,@,CRD,W 29-7,8,6,0.75,1,2,23,11.50,0
46,1954,1954-12-12,12,29.048,CHI,,DET,W 28-24,10,64,6.40,0,4,67,16.75,0
