ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1977,1977-09-18,1,23.211,RAM,@,ATL,L 6-17,0,0,,0,0,0,,0,0,0,,0,5,58,11.60,0,0,0
2,1977,1977-09-25,2,23.218,RAM,,PHI,W 20-0,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0,0,0
3,1977,1977-10-02,3,23.225,RAM,,SFO,W 34-14,0,0,,0,0,0,,0,0,0,,0,1,12,12.00,0,0,0
4,1977,1977-10-10,4,23.233,RAM,@,CHI,L 23-24,5,97,19.40,0,1,30,30.00,0,0,0,,0,2,5,2.50,0,0,0
5,1977,1977-10-16,5,23.239,RAM,,NOR,W 14-7,2,51,25.50,0,0,0,,0,0,0,,0,5,43,8.60,0,0,0
6,1977,1977-10-24,6,23.247,RAM,,MIN,W 35-3,1,7,7.00,0,0,0,,0,0,0,,0,3,70,23.33,0,0,0
7,1977,1977-10-30,7,23.253,RAM,@,NOR,L 26-27,3,48,16.00,0,0,0,,0,0,0,,0,2,-3,-1.50,0,0,0
8,1977,1977-11-06,8,23.260,RAM,,TAM,W 31-0,0,0,,0,0,0,,0,0,0,,0,4,-5,-1.25,0,0,0
9,1977,1977-11-13,9,23.267,RAM,@,GNB,W 24-6,1,12,12.00,0,0,0,,0,0,0,,0,2,-4,-2.00,0,0,0
10,1977,1977-11-20,10,23.274,RAM,@,SFO,W 23-10,2,45,22.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
11,1977,1977-11-27,11,23.281,RAM,@,CLE,W 9-0,6,68,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
12,1977,1977-12-04,12,23.288,RAM,,OAK,W 20-14,0,0,,0,1,4,4.00,0,0,0,,0,1,0,0.00,0,0,0
13,1977,1977-12-11,13,23.295,RAM,,ATL,W 23-7,0,0,,0,0,0,,0,0,0,,0,4,33,8.25,0,0,0
14,1977,1977-12-17,14,23.301,RAM,@,WAS,L 14-17,3,27,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
15,1978,1978-09-03,1,24.196,RAM,@,PHI,W 16-14,1,5,5.00,0,2,16,8.00,0,0,0,,0,3,13,4.33,0,0,0
16,1978,1978-09-10,2,24.203,RAM,,ATL,W 10-0,3,45,15.00,0,0,0,,0,0,0,,0,4,8,2.00,0,0,0
17,1978,1978-10-22,8,24.245,RAM,,NOR,L 3-10,2,30,15.00,0,1,11,11.00,0,0,0,,0,0,0,,0,0,0
18,1978,1978-10-30,9,24.253,RAM,@,ATL,L 7-15,3,50,16.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
19,1978,1978-11-05,10,24.259,RAM,,TAM,W 26-23,1,68,68.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
20,1978,1978-11-12,11,24.266,RAM,,PIT,W 10-7,1,30,30.00,0,0,0,,0,0,0,,0,3,24,8.00,0,0,0
21,1978,1978-11-19,12,24.273,RAM,@,SFO,W 31-28,,,,,,,,,,,,,,,,,,
22,1978,1978-11-26,13,24.280,RAM,@,CLE,L 19-30,2,16,8.00,0,2,4,2.00,0,0,0,,0,0,0,,0,0,0
23,1978,1978-12-03,14,24.287,RAM,@,NYG,W 20-17,,,,,,,,,,,,,,,,,,
24,1978,1978-12-11,15,24.295,RAM,,CIN,L 19-20,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
25,1978,1978-12-17,16,24.301,RAM,,GNB,W 31-14,,,,,,,,,,,,,,,,,,
26,1979,1979-09-02,1,25.195,RAM,,OAK,L 17-24,,,,,,,,,,,,,,,,,,
27,1979,1979-09-06,2,25.199,RAM,@,DEN,W 13-9,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
28,1979,1979-09-16,3,25.209,RAM,,SFO,W 27-24,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
29,1979,1979-09-23,4,25.216,RAM,@,TAM,L 6-21,,,,,,,,,,,,,,,,,,
30,1979,1979-09-30,5,25.223,RAM,,STL,W 21-0,2,61,30.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
31,1979,1979-10-07,6,25.230,RAM,@,NOR,W 35-17,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
32,1979,1979-10-14,7,25.237,RAM,@,DAL,L 6-30,,,,,,,,,,,,,,,,,,
33,1979,1979-11-11,11,25.265,RAM,@,CHI,L 23-27,,,,,,,,,,,,,,,,,,
34,1979,1979-11-19,12,25.273,RAM,,ATL,W 20-14,1,40,40.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
35,1979,1979-11-25,13,25.279,RAM,@,SFO,W 26-20,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
36,1979,1979-12-02,14,25.286,RAM,,MIN,W 27-21,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
37,1979,1979-12-09,15,25.293,RAM,@,ATL,W 34-13,1,25,25.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
