ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1967,1967-11-12,9,25.228,NYG,@,CHI,L 7-34,1,7,7.00,0,0,0,0
2,1968,1968-09-15,1,26.170,NYG,@,PIT,W 34-20,0,0,,0,1,39,0
3,1968,1968-10-20,6,26.205,NYG,,SFO,L 10-26,1,11,11.00,0,0,0,0
4,1970,1970-09-19,1,28.174,NYG,,CHI,L 16-24,,,,,,,
5,1970,1970-09-27,2,28.182,NYG,@,DAL,L 10-28,,,,,,,
6,1970,1970-10-04,3,28.189,NYG,@,NOR,L 10-14,,,,,,,
7,1970,1970-10-11,4,28.196,NYG,,PHI,W 30-23,,,,,,,
8,1970,1970-10-18,5,28.203,NYG,@,BOS,W 16-0,,,,,,,
9,1970,1970-10-25,6,28.210,NYG,,STL,W 35-17,,,,,,,
10,1970,1970-11-01,7,28.217,NYG,@,NYJ,W 22-10,,,,,,,
11,1970,1970-11-08,8,28.224,NYG,,DAL,W 23-20,,,,,,,
12,1970,1970-11-15,9,28.231,NYG,,WAS,W 35-33,,,,,,,
13,1970,1970-11-23,10,28.239,NYG,@,PHI,L 20-23,,,,,,,
14,1970,1970-11-29,11,28.245,NYG,@,WAS,W 27-24,,,,,,,
15,1970,1970-12-06,12,28.252,NYG,,BUF,W 20-6,,,,,,,
16,1970,1970-12-13,13,28.259,NYG,@,STL,W 34-17,,,,,,,
17,1970,1970-12-20,14,28.266,NYG,,RAM,L 3-31,,,,,,,
18,1971,1971-09-19,1,29.174,NYG,@,GNB,W 42-40,,,,,,,
19,1971,1971-09-26,2,29.181,NYG,,WAS,L 3-30,,,,,,,
20,1971,1971-10-03,3,29.188,NYG,@,STL,W 21-20,,,,,,,
21,1971,1971-10-11,4,29.196,NYG,@,DAL,L 13-20,,,,,,,
22,1971,1971-10-17,5,29.202,NYG,,BAL,L 7-31,,,,,,,
23,1971,1971-10-24,6,29.209,NYG,@,PHI,L 7-23,,,,,,,
24,1971,1971-10-31,7,29.216,NYG,,MIN,L 10-17,,,,,,,
25,1972,1972-09-18,1,30.173,MIN,,WAS,L 21-24,,,,,,,
26,1972,1972-09-24,2,30.179,MIN,@,DET,W 34-10,,,,,,,
27,1972,1972-10-01,3,30.186,MIN,,MIA,L 14-16,,,,,,,
28,1972,1972-10-08,4,30.193,MIN,,STL,L 17-19,,,,,,,
29,1972,1972-10-15,5,30.200,MIN,@,DEN,W 23-20,,,,,,,
30,1972,1972-10-23,6,30.208,MIN,@,CHI,L 10-13,,,,,,,
31,1972,1972-10-29,7,30.214,MIN,@,GNB,W 27-13,,,,,,,
32,1972,1972-11-05,8,30.221,MIN,,NOR,W 37-6,,,,,,,
33,1972,1972-11-12,9,30.228,MIN,,DET,W 16-14,,,,,,,
34,1972,1972-11-19,10,30.235,MIN,@,RAM,W 45-41,,,,,,,
35,1972,1972-11-26,11,30.242,MIN,@,PIT,L 10-23,,,,,,,
36,1972,1972-12-03,12,30.249,MIN,,CHI,W 23-10,,,,,,,
37,1972,1972-12-10,13,30.256,MIN,,GNB,L 7-23,,,,,,,
38,1972,1972-12-16,14,30.262,MIN,@,SFO,L 17-20,,,,,,,
39,1973,1973-09-16,1,31.171,MIN,,OAK,W 24-16,,,,,,,
40,1973,1973-09-23,2,31.178,MIN,@,CHI,W 22-13,,,,,,,
41,1973,1973-09-30,3,31.185,MIN,,GNB,W 11-3,,,,,,,
42,1973,1973-10-07,4,31.192,MIN,@,DET,W 23-9,,,,,,,
43,1973,1973-10-14,5,31.199,MIN,@,SFO,W 17-13,,,,,,,
44,1973,1973-10-21,6,31.206,MIN,,PHI,W 28-21,,,,,,,
45,1973,1973-10-28,7,31.213,MIN,,RAM,W 10-9,,,,,,,
46,1973,1973-11-04,8,31.220,MIN,,CLE,W 26-3,,,,,,,
47,1973,1973-11-11,9,31.227,MIN,,DET,W 28-7,,,,,,,
48,1973,1973-11-19,10,31.235,MIN,@,ATL,L 14-20,,,,,,,
49,1973,1973-11-25,11,31.241,MIN,,CHI,W 31-13,,,,,,,
50,1973,1973-12-02,12,31.248,MIN,@,CIN,L 0-27,,,,,,,
51,1973,1973-12-08,13,31.254,MIN,@,GNB,W 31-7,,,,,,,
52,1973,1973-12-16,14,31.262,MIN,@,NYG,W 31-7,,,,,,,
53,1974,1974-09-15,1,32.170,MIN,@,GNB,W 32-17,,,,,,,
54,1974,1974-09-22,2,32.177,MIN,@,DET,W 7-6,,,,,,,
55,1974,1974-09-29,3,32.184,MIN,,CHI,W 11-7,,,,,,,
56,1974,1974-10-06,4,32.191,MIN,@,DAL,W 23-21,,,,,,,
57,1974,1974-10-13,5,32.198,MIN,,HOU,W 51-10,,,,,,,
58,1974,1974-10-20,6,32.205,MIN,,DET,L 16-20,,,,,,,
59,1974,1974-11-03,8,32.219,MIN,@,CHI,W 17-0,,,,,,,
60,1974,1974-11-11,9,32.227,MIN,@,STL,W 28-24,,,,,,,
61,1974,1974-11-24,11,32.240,MIN,@,RAM,L 17-20,,,,,,,
62,1974,1974-12-01,12,32.247,MIN,,NOR,W 29-9,,,,,,,
63,1974,1974-12-07,13,32.253,MIN,,ATL,W 23-10,,,,,,,
64,1974,1974-12-14,14,32.260,MIN,@,KAN,W 35-15,,,,,,,
65,1975,1975-09-21,1,33.176,MIN,,SFO,W 27-17,,,,,,,
66,1975,1975-09-28,2,33.183,MIN,@,CLE,W 42-10,,,,,,,
67,1975,1975-10-05,3,33.190,MIN,,CHI,W 28-3,,,,,,,
68,1975,1975-10-12,4,33.197,MIN,,NYJ,W 29-21,,,,,,,
69,1975,1975-10-19,5,33.204,MIN,,DET,W 25-19,,,,,,,
70,1975,1975-10-27,6,33.212,MIN,@,CHI,W 13-9,,,,,,,
