ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1996,1996-09-02,1,23.239,CHI,,DAL,W 22-6,,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0.0,,
2,1996,1996-09-08,2,23.245,CHI,@,WAS,L 3-10,,2,2,28,14.00,0,100.0%,14.00,0,0,,0,1,24,24.00,0,3,29,9.67,0,0,0,0.0,,
3,1996,1996-09-15,3,23.252,CHI,,MIN,L 14-20,,3,2,11,5.50,1,66.7%,3.67,0,0,,0,0,0,,0,2,27,13.50,0,1,6,0.0,,
4,1996,1996-09-22,4,23.259,CHI,@,DET,L 16-35,,10,3,39,13.00,0,30.0%,3.90,0,0,,0,0,0,,0,5,52,10.40,0,0,0,0.0,,
5,1996,1996-09-29,5,23.266,CHI,,OAK,W 19-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,4,43,10.75,0,0,0,0.0,,
6,1996,1996-10-06,6,23.273,CHI,,GNB,L 6-37,,4,2,30,15.00,0,50.0%,7.50,0,0,,0,4,125,31.25,0,1,0,0.00,0,0,0,0.0,,
7,1996,1996-10-13,7,23.280,CHI,@,NOR,L 24-27,,2,1,22,22.00,0,50.0%,11.00,0,0,,0,4,99,24.75,0,1,1,1.00,0,0,0,0.0,,
8,1996,1996-10-28,8,23.295,CHI,@,MIN,W 15-13,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,5,129,25.80,0,0,0,,0,0,0,0.0,,
9,1996,1996-11-03,9,23.301,CHI,,TAM,W 13-10,,2,2,28,14.00,0,100.0%,14.00,0,0,,0,1,6,6.00,0,4,16,4.00,0,0,0,0.0,,
10,1996,1996-11-10,10,23.308,CHI,@,DEN,L 12-17,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,3,54,18.00,0,2,26,13.00,0,0,0,0.0,,
11,1996,1996-11-17,11,23.315,CHI,@,KAN,L 10-14,,9,5,57,11.40,0,55.6%,6.33,0,0,,0,3,46,15.33,0,1,9,9.00,0,0,0,0.0,,
12,1996,1996-11-24,12,23.322,CHI,,DET,W 31-14,,2,1,5,5.00,1,50.0%,2.50,0,0,,0,3,78,26.00,0,1,11,11.00,0,1,6,0.0,,
13,1996,1996-12-01,13,23.329,CHI,@,GNB,L 17-28,,7,4,46,11.50,2,57.1%,6.57,0,0,,0,0,0,,0,1,8,8.00,0,2,12,0.0,,
14,1996,1996-12-08,14,23.336,CHI,,STL,W 35-9,,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0.0,,
15,1996,1996-12-14,15,23.342,CHI,,SDG,W 27-14,,6,5,61,12.20,1,83.3%,10.17,0,0,,0,0,0,,0,2,36,18.00,0,1,6,0.0,,
16,1996,1996-12-22,16,23.350,CHI,@,TAM,L 19-34,,2,2,23,11.50,1,100.0%,11.50,0,0,,0,1,19,19.00,0,0,0,,0,1,6,0.0,,
17,1997,1997-09-01,1,24.237,CHI,@,GNB,L 24-38,,9,3,24,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0.0,,
18,1997,1997-09-07,2,24.243,CHI,,MIN,L 24-27,,11,6,63,10.50,1,54.5%,5.73,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,
19,1997,1997-09-14,3,24.250,CHI,,DET,L 7-32,,10,5,60,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
20,1997,1997-09-21,4,24.257,CHI,@,NWE,L 3-31,,6,5,47,9.40,0,83.3%,7.83,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
21,1997,1997-09-28,5,24.264,CHI,@,DAL,L 3-27,,6,3,15,5.00,0,50.0%,2.50,0,0,,0,1,7,7.00,0,0,0,,0,0,0,0.0,,
22,1997,1997-10-05,6,24.271,CHI,,NOR,L 17-20,,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
23,1997,1997-10-12,7,24.278,CHI,,GNB,L 23-24,,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
