ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1952,1952-09-28,1,22.295,GNB,,CHI,L 14-24,7,45,6.43,0,1,33,33.00,0
2,1952,1952-10-05,2,22.302,GNB,,WAS,W 35-20,2,4,2.00,0,1,5,5.00,0
3,1952,1952-10-12,3,22.309,GNB,,RAM,L 28-30,10,41,4.10,1,0,0,,0
4,1952,1952-10-18,4,22.315,GNB,@,DTX,W 24-14,6,6,1.00,0,0,0,,0
5,1952,1952-10-26,5,22.323,GNB,,DET,L 17-52,3,17,5.67,0,1,44,44.00,0
6,1952,1952-11-02,6,22.330,GNB,,PHI,W 12-10,2,4,2.00,0,1,2,2.00,0
7,1952,1952-11-09,7,22.337,GNB,@,CHI,W 41-28,1,0,0.00,0,0,5,,0
8,1952,1952-11-16,8,22.344,GNB,@,NYG,W 17-3,7,32,4.57,0,0,0,,0
9,1952,1952-11-23,9,22.351,GNB,,DTX,W 42-14,4,23,5.75,0,1,4,4.00,0
10,1952,1952-11-27,10,22.355,GNB,@,DET,L 24-48,6,16,2.67,0,1,17,17.00,0
11,1952,1952-12-07,11,22.365,GNB,@,RAM,L 27-45,13,48,3.69,0,2,8,4.00,0
12,1952,1952-12-14,12,23.006,GNB,@,SFO,L 14-24,0,0,,0,3,11,3.67,0
13,1953,1953-10-25,5,23.321,CHI,@,RAM,L 24-38,4,28,7.00,0,3,24,8.00,0
14,1953,1953-11-01,6,23.328,CHI,@,SFO,L 14-24,2,6,3.00,0,0,0,,0
15,1953,1953-11-08,7,23.335,CHI,,GNB,T 21-21,1,3,3.00,0,0,0,,0
16,1953,1953-11-22,9,23.349,CHI,,DET,L 16-20,1,2,2.00,0,1,8,8.00,0
17,1953,1953-11-29,10,23.356,CHI,,RAM,W 24-21,3,9,3.00,0,1,6,6.00,0
18,1953,1953-12-06,11,23.363,CHI,@,DET,L 7-13,3,21,7.00,0,2,10,5.00,0
19,1953,1953-12-13,12,24.005,CHI,,CRD,L 17-24,2,1,0.50,0,0,0,,0
