ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1984,1984-09-02,1,23.225,CHI,,TAM,W 34-14,0,0,,0,,
2,1984,1984-09-09,2,23.232,CHI,,DEN,W 27-0,0,0,,0,,
3,1984,1984-09-16,3,23.239,CHI,@,GNB,W 9-7,0,0,,0,,
4,1984,1984-09-23,4,23.246,CHI,@,SEA,L 9-38,0,0,,0,,
5,1984,1984-09-30,5,23.253,CHI,,DAL,L 14-23,0,0,,0,,
6,1984,1984-10-07,6,23.260,CHI,,NOR,W 20-7,0,0,,0,,
7,1984,1984-10-14,7,23.267,CHI,@,STL,L 21-38,0,0,,0,,
8,1984,1984-10-21,8,23.274,CHI,@,TAM,W 44-9,1,49,49.00,1,1,6
9,1984,1984-11-11,11,23.295,CHI,@,RAM,L 13-29,0,0,,0,,
10,1984,1984-11-25,13,23.309,CHI,@,MIN,W 34-3,1,17,17.00,0,0,0
11,1984,1984-12-03,14,23.317,CHI,@,SDG,L 7-20,1,11,11.00,0,0,0
12,1984,1984-12-09,15,23.323,CHI,,GNB,L 14-20,0,0,,0,,
13,1984,1984-12-16,16,23.330,CHI,@,DET,W 30-13,0,0,,0,,
14,1985,1985-09-08,1,24.230,CHI,,TAM,W 38-28,0,0,,0,,
15,1985,1985-09-15,2,24.237,CHI,,NWE,W 20-7,0,0,,0,,
16,1985,1985-09-19,3,24.241,CHI,@,MIN,W 33-24,1,6,6.00,0,0,0
17,1985,1985-09-29,4,24.251,CHI,,WAS,W 45-10,0,0,,0,,
18,1985,1985-10-06,5,24.258,CHI,@,TAM,W 27-19,0,0,,0,,
19,1985,1985-10-13,6,24.265,CHI,@,SFO,W 26-10,0,0,,0,,
20,1985,1985-10-21,7,24.273,CHI,,GNB,W 23-7,0,0,,0,,
21,1985,1985-10-27,8,24.279,CHI,,MIN,W 27-9,0,0,,0,,
22,1985,1985-11-03,9,24.286,CHI,@,GNB,W 16-10,0,0,,0,,
23,1985,1985-11-10,10,24.293,CHI,,DET,W 24-3,0,0,,0,,
24,1985,1985-11-17,11,24.300,CHI,@,DAL,W 44-0,0,0,,0,,
25,1985,1985-11-24,12,24.307,CHI,,ATL,W 36-0,0,0,,0,,
26,1985,1985-12-02,13,24.315,CHI,@,MIA,L 24-38,0,0,,0,,
27,1985,1985-12-22,16,24.335,CHI,@,DET,W 37-17,0,0,,0,,
