ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2006,2006-11-12,9,23.080,SDG,@,CIN,W 49-41,,,,
2,2006,2006-11-19,10,23.087,SDG,@,DEN,W 35-27,,,,
3,2006,2006-11-26,11,23.094,SDG,,OAK,W 21-14,,,,
4,2006,2006-12-03,12,23.101,SDG,@,BUF,W 24-21,,,,
5,2006,2006-12-24,15,23.122,SDG,@,SEA,W 20-17,,,,
6,2006,2006-12-31,16,23.129,SDG,,ARI,W 27-20,,,,
7,2007,2007-09-23,3,24.030,SDG,@,GNB,L 24-31,,,,
8,2007,2007-09-30,4,24.037,SDG,,KAN,L 16-30,,,,
9,2007,2007-10-07,5,24.044,SDG,@,DEN,W 41-3,,,,
10,2007,2007-10-14,6,24.051,SDG,,OAK,W 28-14,,,,
11,2007,2007-10-28,7,24.065,SDG,,HOU,W 35-10,,,,
12,2007,2007-11-04,8,24.072,SDG,@,MIN,L 17-35,,,,
13,2007,2007-11-11,9,24.079,SDG,,IND,W 23-21,,,,
14,2007,2007-11-18,10,24.086,SDG,@,JAX,L 17-24,,,,
15,2007,2007-11-25,11,24.093,SDG,,BAL,W 32-14,,,,
16,2007,2007-12-02,12,24.100,SDG,@,KAN,W 24-10,,,,
17,2007,2007-12-09,13,24.107,SDG,@,TEN,W 23-17,,,,
18,2007,2007-12-16,14,24.114,SDG,,DET,W 51-14,,,,
19,2007,2007-12-24,15,24.122,SDG,,DEN,W 23-3,*,,,
20,2007,2007-12-30,16,24.128,SDG,@,OAK,W 30-17,*,,,
21,2008,2008-10-12,5,25.049,BAL,@,IND,L 3-31,,0.0,1,0
22,2008,2008-10-19,6,25.056,BAL,@,MIA,W 27-13,,0.0,1,1
23,2008,2008-10-26,7,25.063,BAL,,OAK,W 29-10,,0.0,1,0
24,2008,2008-11-02,8,25.070,BAL,@,CLE,W 37-27,,,,
25,2008,2008-11-09,9,25.077,BAL,@,HOU,W 41-13,,0.0,1,0
26,2008,2008-11-16,10,25.084,BAL,@,NYG,L 10-30,,,,
27,2008,2008-11-30,12,25.098,BAL,@,CIN,W 34-3,,0.0,1,1
28,2008,2008-12-07,13,25.105,BAL,,WAS,W 24-10,,0.0,1,0
29,2008,2008-12-14,14,25.112,BAL,,PIT,L 9-13,,0.0,0,0
30,2008,2008-12-20,15,25.118,BAL,@,DAL,W 33-24,,,,
31,2008,2008-12-28,16,25.126,BAL,,JAX,W 27-7,,0.0,3,0
32,2009,2009-09-27,3,26.034,BAL,,CLE,W 34-3,,,,
33,2009,2009-10-18,6,26.055,BAL,@,MIN,L 31-33,,0.0,1,0
34,2009,2009-11-01,7,26.069,BAL,,DEN,W 30-7,,,,
35,2009,2009-11-08,8,26.076,BAL,@,CIN,L 7-17,,,,
36,2009,2009-11-16,9,26.084,BAL,@,CLE,W 16-0,,,,
37,2009,2009-11-29,11,26.097,BAL,,PIT,W 20-17,,0.0,1,0
38,2009,2009-12-07,12,26.105,BAL,@,GNB,L 14-27,,,,
39,2010,2010-09-13,1,27.020,BAL,@,NYJ,W 10-9,,,,
40,2010,2010-09-19,2,27.026,BAL,@,CIN,L 10-15,,0.0,0,2
41,2010,2010-09-26,3,27.033,BAL,,CLE,W 24-17,,0.0,2,0
42,2010,2010-10-03,4,27.040,BAL,@,PIT,W 17-14,*,0.0,0,1
43,2010,2010-10-10,5,27.047,BAL,,DEN,W 31-17,*,0.0,0,1
44,2010,2010-10-17,6,27.054,BAL,@,NWE,L 20-23,*,,,
45,2010,2010-10-24,7,27.061,BAL,,BUF,W 37-34,*,0.0,1,0
46,2010,2010-12-05,12,27.103,BAL,,PIT,L 10-13,,0.0,0,2
47,2010,2010-12-13,13,27.111,BAL,@,HOU,W 34-28,,,,
48,2010,2010-12-26,15,27.124,BAL,@,CLE,W 20-10,,,,
49,2010,2011-01-02,16,27.131,BAL,,CIN,W 13-7,,0.0,1,0
50,2011,2011-09-25,3,28.032,BAL,@,STL,W 37-7,,,,
51,2011,2011-10-02,4,28.039,BAL,,NYJ,W 34-17,,,,
52,2011,2011-10-16,5,28.053,BAL,,HOU,W 29-14,,0.0,0,1
53,2011,2011-10-24,6,28.061,BAL,@,JAX,L 7-12,,0.0,3,1
54,2011,2011-10-30,7,28.067,BAL,,ARI,W 30-27,,0.0,1,1
55,2011,2011-11-06,8,28.074,BAL,@,PIT,W 23-20,,,,
56,2011,2011-11-13,9,28.081,BAL,@,SEA,L 17-22,,0.0,0,3
57,2011,2011-11-20,10,28.088,BAL,,CIN,W 31-24,,0.0,1,0
58,2011,2011-11-24,11,28.092,BAL,,SFO,W 16-6,,,,
59,2011,2011-12-04,12,28.102,BAL,@,CLE,W 24-10,,,,
60,2011,2011-12-24,15,28.122,BAL,,CLE,W 20-14,,0.0,2,0
61,2011,2012-01-01,16,28.130,BAL,@,CIN,W 24-16,,0.0,1,0
