ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1992,1992-09-06,1,23.290,SFO,@,NYG,W 31-14
2,1992,1992-09-13,2,23.297,SFO,,BUF,L 31-34
3,1992,1992-09-20,3,23.304,SFO,@,NYJ,W 31-14
4,1992,1992-09-27,4,23.311,SFO,@,NOR,W 16-10
5,1992,1992-10-04,5,23.318,SFO,,RAM,W 27-24
6,1992,1992-10-11,6,23.325,SFO,@,NWE,W 24-12
7,1992,1992-10-18,7,23.332,SFO,,ATL,W 56-17
8,1992,1992-11-01,8,23.346,SFO,@,PHO,L 14-24
9,1992,1992-11-09,9,23.354,SFO,@,ATL,W 41-3
10,1992,1992-11-15,10,23.360,SFO,,NOR,W 21-20
11,1992,1992-11-22,11,24.001,SFO,@,RAM,W 27-10
12,1992,1992-11-29,12,24.008,SFO,,PHI,W 20-14
13,1992,1992-12-06,13,24.015,SFO,,MIA,W 27-3
14,1992,1992-12-13,14,24.022,SFO,@,MIN,W 20-17
15,1992,1992-12-19,15,24.028,SFO,,TAM,W 21-14
16,1992,1992-12-28,16,24.037,SFO,,DET,W 24-6
17,1993,1993-09-05,1,24.288,SFO,@,PIT,W 24-13
18,1993,1993-09-13,2,24.296,SFO,@,CLE,L 13-23
19,1993,1993-09-19,3,24.302,SFO,,ATL,W 37-30
20,1993,1993-09-26,4,24.309,SFO,@,NOR,L 13-16
21,1993,1993-10-03,5,24.316,SFO,,MIN,W 38-19
22,1993,1993-10-17,6,24.330,SFO,@,DAL,L 17-26
23,1993,1993-10-24,7,24.337,SFO,,PHO,W 28-14
24,1993,1993-10-31,8,24.344,SFO,,RAM,W 40-17
25,1993,1993-11-14,9,24.358,SFO,@,TAM,W 45-21
26,1993,1993-11-22,10,25.001,SFO,,NOR,W 42-7
27,1993,1993-11-28,11,25.007,SFO,@,RAM,W 35-10
28,1993,1993-12-05,12,25.014,SFO,,CIN,W 21-8
29,1993,1993-12-11,13,25.020,SFO,@,ATL,L 24-27
30,1993,1993-12-19,14,25.028,SFO,@,DET,W 55-17
31,1993,1993-12-25,15,25.034,SFO,,HOU,L 7-10
32,1993,1994-01-03,16,25.043,SFO,,PHI,L 34-37
33,1994,1994-09-11,2,25.294,SFO,@,KAN,L 17-24
34,1994,1994-09-18,3,25.301,SFO,@,RAM,W 34-19
35,1994,1994-09-25,4,25.308,SFO,,NOR,W 24-13
36,1994,1994-10-02,5,25.315,SFO,,PHI,L 8-40
37,1994,1994-10-09,6,25.322,SFO,@,DET,W 27-21
38,1994,1994-10-16,7,25.329,SFO,@,ATL,W 42-3
39,1994,1994-10-23,8,25.336,SFO,,TAM,W 41-16
