ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,24.013,WAS,,PHI,W 34-24,,,,,,,,,
2,1987,1987-09-20,2,24.020,WAS,@,ATL,L 20-21,,,,,,,,,
3,1987,1987-10-25,6,24.055,WAS,,NYJ,W 17-16,,,,,,,,,
4,1987,1987-12-06,12,24.097,WAS,@,STL,W 34-17,,,,,,,,,
5,1987,1987-12-13,13,24.104,WAS,,DAL,W 24-20,,,,,,,,,
6,1987,1987-12-20,14,24.111,WAS,@,MIA,L 21-23,,,,,,,,,
7,1987,1987-12-26,15,24.117,WAS,@,MIN,W 27-24,,,,,,,,,
8,1988,1988-09-05,1,25.005,WAS,@,NYG,L 20-27,,,,,,,,,
9,1988,1988-09-11,2,25.011,WAS,,PIT,W 30-29,,,,,,,,,
10,1988,1988-09-18,3,25.018,WAS,,PHI,W 17-10,,,,,,,,,
11,1988,1988-09-25,4,25.025,WAS,@,PHO,L 21-30,,,,,,,,,
12,1988,1988-10-02,5,25.032,WAS,,NYG,L 23-24,,,,,,,,,
13,1988,1988-10-09,6,25.039,WAS,@,DAL,W 35-17,,,,,,,,,
14,1988,1988-10-16,7,25.046,WAS,,PHO,W 33-17,,,,,,,,,
15,1988,1988-10-23,8,25.053,WAS,@,GNB,W 20-17,,,,,,,,,
16,1988,1988-10-30,9,25.060,WAS,@,HOU,L 17-41,0,0,,0,0,0,1,11,0
17,1989,1989-09-11,1,26.011,WAS,,NYG,L 24-27,0,0,,0,,,,,
18,1989,1989-09-17,2,26.017,WAS,,PHI,L 37-42,0,0,,0,0,0,1,13,0
19,1989,1989-09-24,3,26.024,WAS,@,DAL,W 30-7,0,0,,0,,,,,
20,1989,1989-10-01,4,26.031,WAS,@,NOR,W 16-14,0,0,,0,,,,,
21,1989,1989-10-08,5,26.038,WAS,,PHO,W 30-28,0,0,,0,,,,,
22,1989,1989-10-15,6,26.045,WAS,@,NYG,L 17-20,0,0,,0,,,,,
23,1989,1989-10-22,7,26.052,WAS,,TAM,W 32-28,1,3,3.00,0,0,0,0,0,0
24,1989,1989-10-29,8,26.059,WAS,@,RAI,L 24-37,0,0,,0,0,0,1,15,0
25,1989,1989-11-05,9,26.066,WAS,,DAL,L 3-13,0,0,,0,,,,,
26,1989,1989-11-12,10,26.073,WAS,@,PHI,W 10-3,0,0,,0,,,,,
27,1989,1989-11-26,12,26.087,WAS,,CHI,W 38-14,0,0,,0,0,0,1,0,0
28,1989,1989-12-03,13,26.094,WAS,@,PHO,W 29-10,0,0,,0,,,,,
29,1989,1989-12-10,14,26.101,WAS,,SDG,W 26-21,0,0,,0,,,,,
30,1989,1989-12-17,15,26.108,WAS,@,ATL,W 31-30,0,0,,0,,,,,
31,1989,1989-12-23,16,26.114,WAS,@,SEA,W 29-0,0,0,,0,0,0,1,12,0
32,1990,1990-09-09,1,27.009,WAS,,PHO,W 31-0,,,,,,,,,
33,1990,1990-09-16,2,27.016,WAS,@,SFO,L 13-26,,,,,,,,,
34,1990,1990-09-23,3,27.023,WAS,,DAL,W 19-15,,,,,,,,,
35,1990,1990-09-30,4,27.030,WAS,@,PHO,W 38-10,,,,,,,,,
36,1990,1990-10-14,5,27.044,WAS,,NYG,L 20-24,,,,,,,,,
37,1990,1990-10-21,6,27.051,WAS,,PHI,W 13-7,,,,,,,,,
38,1990,1990-10-28,7,27.058,WAS,@,NYG,L 10-21,,,,,,,,,
39,1991,1991-09-01,1,28.001,SEA,@,NOR,L 24-27,0,0,,0,1,6,1,40,1
40,1991,1991-09-08,2,28.008,SEA,,NYJ,W 20-13,0,0,,0,,,,,
41,1991,1991-09-15,3,28.015,SEA,@,DEN,L 10-16,0,0,,0,,,,,
42,1991,1991-09-22,4,28.022,SEA,@,KAN,L 13-20,0,0,,0,,,,,
43,1991,1991-09-29,5,28.029,SEA,,IND,W 31-3,0,0,,0,,,,,
44,1991,1991-10-06,6,28.036,SEA,@,CIN,W 13-7,1,1,1.00,0,0,0,0,0,0
45,1991,1991-10-13,7,28.043,SEA,,RAI,L 20-23,0,0,,0,,,,,
46,1991,1991-10-20,8,28.050,SEA,@,PIT,W 27-7,0,0,,0,,,,,
47,1991,1991-10-27,9,28.057,SEA,,SDG,W 20-9,0,0,,0,,,,,
48,1991,1991-11-10,10,28.071,SEA,@,SDG,L 14-17,0,0,,0,,,,,
49,1991,1991-11-17,11,28.078,SEA,@,RAI,L 7-31,0,0,,0,,,,,
50,1991,1991-11-24,12,28.085,SEA,,DEN,W 13-10,0,0,,0,,,,,
51,1991,1991-12-01,13,28.092,SEA,,KAN,L 6-19,0,0,,0,,,,,
52,1991,1991-12-08,14,28.099,SEA,,SFO,L 22-24,0,0,,0,,,,,
53,1991,1991-12-15,15,28.106,SEA,@,ATL,L 13-26,0,0,,0,,,,,
54,1991,1991-12-22,16,28.113,SEA,,RAM,W 23-9,0,0,,0,,,,,
55,1992,1992-09-06,1,29.006,SEA,,CIN,L 3-21,0,0,,0,0,0,1,36,0
56,1992,1992-10-04,5,29.034,SEA,@,SDG,L 6-17,,,,,,,,,
57,1992,1992-10-11,6,29.041,SEA,@,DAL,L 0-27,,,,,,,,,
58,1992,1992-10-18,7,29.048,SEA,,RAI,L 0-19,,,,,,,,,
59,1992,1992-10-25,8,29.055,SEA,@,NYG,L 10-23,,,,,,,,,
60,1992,1992-11-08,9,29.069,SEA,,WAS,L 3-16,,,,,,,,,
61,1992,1992-11-15,10,29.076,SEA,@,RAI,L 3-20,,,,,,,,,
62,1992,1992-11-22,11,29.083,SEA,,KAN,L 14-24,,,,,,,,,
63,1992,1992-11-30,12,29.091,SEA,,DEN,W 16-13,,,,,,,,,
64,1992,1992-12-06,13,29.097,SEA,@,PIT,L 14-20,,,,,,,,,
65,1992,1992-12-13,14,29.104,SEA,,PHI,L 17-20,,,,,,,,,
66,1992,1992-12-20,15,29.111,SEA,@,DEN,L 6-10,0,0,,0,0,0,1,0,0
67,1992,1992-12-27,16,29.118,SEA,,SDG,L 14-31,,,,,,,,,
68,1993,1993-09-12,2,30.012,SDG,@,DEN,L 17-34,,,,,,,,,
69,1993,1993-09-19,3,30.019,SDG,,HOU,W 18-17,,,,,,,,,
70,1993,1993-10-03,4,30.033,SDG,@,SEA,L 14-31,,,,,,,,,
71,1993,1993-10-10,5,30.040,SDG,@,PIT,L 3-16,,,,,,,,,
72,1993,1993-10-17,6,30.047,SDG,,KAN,L 14-17,,,,,,,,,
73,1993,1993-10-31,7,30.061,SDG,@,RAI,W 30-23,,,,,,,,,
74,1993,1993-11-29,11,30.090,SDG,@,IND,W 31-0,,,,,,,,,
75,1993,1993-12-05,12,30.096,SDG,,DEN,W 13-10,,,,,,,,,
76,1993,1993-12-12,13,30.103,SDG,,GNB,L 13-20,,,,,,,,,
77,1993,1993-12-27,15,30.118,SDG,,MIA,W 45-20,,,,,,,,,
78,1993,1994-01-02,16,30.124,SDG,@,TAM,W 32-17,0,0,,0,0,0,1,0,0
79,1994,1994-09-04,1,31.004,MIN,@,GNB,L 10-16,,,,,,,,,
80,1994,1994-09-11,2,31.011,MIN,,DET,W 10-3,,,,,,,,,
81,1994,1994-09-25,4,31.025,MIN,,MIA,W 38-35,,,,,,,,,
82,1994,1994-10-20,7,31.050,MIN,,GNB,W 13-10,,,,,,,,,
83,1994,1994-10-30,8,31.060,MIN,@,TAM,W 36-13,,,,,,,,,
84,1994,1994-11-06,9,31.067,MIN,,NOR,W 21-20,,,,,,,,,
85,1994,1994-11-13,10,31.074,MIN,@,NWE,L 20-26,,,,,,,,,
86,1994,1994-11-20,11,31.081,MIN,,NYJ,L 21-31,,,,,,,,,
87,1994,1994-11-27,12,31.088,MIN,,TAM,L 17-20,,,,,,,,,
