ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,21.175,GNB,@,PHI,W 27-20,,,,
2,2010,2010-09-19,2,21.182,GNB,,BUF,W 34-7,,,,
3,2010,2010-09-27,3,21.190,GNB,@,CHI,L 17-20,,,,
4,2010,2010-10-03,4,21.196,GNB,,DET,W 28-26,,,,
5,2010,2010-10-10,5,21.203,GNB,@,WAS,L 13-16,*,0.0,1,0
6,2010,2010-10-17,6,21.210,GNB,,MIA,L 20-23,*,,,
7,2010,2010-10-24,7,21.217,GNB,,MIN,W 28-24,*,,,
8,2010,2010-10-31,8,21.224,GNB,@,NYJ,W 9-0,*,,,
9,2010,2010-11-07,9,21.231,GNB,,DAL,W 45-7,*,,,
10,2010,2010-11-21,10,21.245,GNB,@,MIN,W 31-3,*,,,
11,2010,2010-11-28,11,21.252,GNB,@,ATL,L 17-20,*,,,
12,2010,2010-12-05,12,21.259,GNB,,SFO,W 34-16,*,,,
13,2010,2010-12-12,13,21.266,GNB,@,DET,L 3-7,*,,,
14,2010,2010-12-19,14,21.273,GNB,@,NWE,L 27-31,*,,,
15,2010,2010-12-26,15,21.280,GNB,,NYG,W 45-17,*,,,
16,2010,2011-01-02,16,21.287,GNB,,CHI,W 10-3,*,0.0,1,0
17,2011,2011-09-08,1,22.171,GNB,,NOR,W 42-34,*,,,
18,2011,2011-09-18,2,22.181,GNB,@,CAR,W 30-23,*,,,
19,2011,2011-09-25,3,22.188,GNB,@,CHI,W 27-17,*,,,
20,2011,2011-10-16,6,22.209,GNB,,STL,W 24-3,*,,,
21,2011,2011-10-23,7,22.216,GNB,@,MIN,W 33-27,*,,,
22,2011,2011-11-06,8,22.230,GNB,@,SDG,W 45-38,*,,,
23,2011,2011-11-14,9,22.238,GNB,,MIN,W 45-7,*,,,
24,2011,2011-11-20,10,22.244,GNB,,TAM,W 35-26,*,,,
25,2011,2011-11-24,11,22.248,GNB,@,DET,W 27-15,*,0.0,0,0
26,2011,2011-12-04,12,22.258,GNB,@,NYG,W 38-35,*,,,
27,2011,2011-12-11,13,22.265,GNB,,OAK,W 46-16,*,,,
28,2011,2011-12-18,14,22.272,GNB,@,KAN,L 14-19,*,,,
29,2012,2012-09-09,1,23.172,GNB,,SFO,L 22-30,*,,,
30,2012,2012-09-13,2,23.176,GNB,,CHI,W 23-10,*,,,
31,2012,2012-09-24,3,23.187,GNB,@,SEA,L 12-14,*,,,
32,2012,2012-09-30,4,23.193,GNB,,NOR,W 28-27,*,,,
33,2012,2012-10-07,5,23.200,GNB,@,IND,L 27-30,*,,,
34,2012,2012-10-14,6,23.207,GNB,@,HOU,W 42-24,*,,,
35,2012,2012-10-21,7,23.214,GNB,@,STL,W 30-20,*,,,
36,2012,2012-10-28,8,23.221,GNB,,JAX,W 24-15,*,,,
37,2012,2012-11-04,9,23.228,GNB,,ARI,W 31-17,*,,,
38,2014,2014-09-04,1,25.167,GNB,@,SEA,L 16-36,*,,,
39,2014,2014-09-21,3,25.184,GNB,@,DET,L 7-19,*,,,
40,2014,2014-09-28,4,25.191,GNB,@,CHI,W 38-17,*,,,
41,2014,2014-10-02,5,25.195,GNB,,MIN,W 42-10,*,,,
42,2014,2014-10-12,6,25.205,GNB,@,MIA,W 27-24,*,,,
43,2014,2014-10-19,7,25.212,GNB,,CAR,W 38-17,*,0.0,0,0
44,2014,2014-10-26,8,25.219,GNB,@,NOR,L 23-44,*,,,
45,2014,2014-11-09,9,25.233,GNB,,CHI,W 55-14,*,,,
46,2014,2014-11-16,10,25.240,GNB,,PHI,W 53-20,*,,,
47,2014,2014-11-23,11,25.247,GNB,@,MIN,W 24-21,*,,,
48,2014,2014-11-30,12,25.254,GNB,,NWE,W 26-21,*,,,
49,2014,2014-12-08,13,25.262,GNB,,ATL,W 43-37,*,,,
50,2014,2014-12-14,14,25.268,GNB,@,BUF,L 13-21,*,,,
51,2014,2014-12-21,15,25.275,GNB,@,TAM,W 20-3,*,,,
52,2014,2014-12-28,16,25.282,GNB,,DET,W 30-20,*,,,
53,2015,2015-09-13,1,26.176,GNB,@,CHI,W 31-23,*,0.0,0,0
54,2015,2015-10-11,5,26.204,GNB,,STL,W 24-10,*,0.0,0,0
55,2015,2015-10-18,6,26.211,GNB,,SDG,W 27-20,*,0.0,0,0
56,2015,2015-11-01,7,26.225,GNB,@,DEN,L 10-29,*,0.0,0,0
57,2015,2015-11-08,8,26.232,GNB,@,CAR,L 29-37,*,0.0,0,0
58,2015,2015-11-15,9,26.239,GNB,,DET,L 16-18,*,0.0,0,0
59,2015,2015-11-22,10,26.246,GNB,@,MIN,W 30-13,*,0.0,0,0
60,2015,2015-11-26,11,26.250,GNB,,CHI,L 13-17,*,0.0,0,0
61,2015,2015-12-13,13,26.267,GNB,,DAL,W 28-7,*,0.0,0,0
62,2015,2015-12-20,14,26.274,GNB,@,OAK,W 30-20,*,0.0,0,0
63,2015,2015-12-27,15,26.281,GNB,@,ARI,L 8-38,*,0.0,0,0
64,2015,2016-01-03,16,26.288,GNB,,MIN,L 13-20,*,0.0,0,0
65,2016,2016-09-11,1,27.174,GNB,@,JAX,W 27-23,*,0.0,0,0
66,2016,2016-09-18,2,27.181,GNB,@,MIN,L 14-17,*,0.0,0,0
