ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1980,1980-09-07,1,24.019,GNB,,CHI,W 12-6
2,1980,1980-09-14,2,24.026,GNB,,DET,L 7-29
3,1980,1980-09-21,3,24.033,GNB,@,RAM,L 21-51
4,1980,1980-09-28,4,24.040,GNB,,DAL,L 7-28
5,1980,1980-10-05,5,24.047,GNB,,CIN,W 14-9
6,1980,1980-10-12,6,24.054,GNB,@,TAM,T 14-14
7,1980,1980-10-19,7,24.061,GNB,@,CLE,L 21-26
8,1980,1980-10-26,8,24.068,GNB,,MIN,W 16-3
9,1980,1980-11-02,9,24.075,GNB,@,PIT,L 20-22
10,1987,1987-09-13,1,31.025,PIT,,SFO,W 30-17
11,1987,1987-09-20,2,31.032,PIT,@,CLE,L 10-34
12,1987,1987-10-25,6,31.067,PIT,,CIN,W 23-20
13,1987,1987-11-01,7,31.074,PIT,@,MIA,L 24-35
14,1987,1987-11-08,8,31.081,PIT,@,KAN,W 17-16
15,1987,1987-11-15,9,31.088,PIT,,HOU,L 3-23
16,1987,1987-11-22,10,31.095,PIT,@,CIN,W 30-16
17,1987,1987-11-29,11,31.102,PIT,,NOR,L 16-20
18,1987,1987-12-06,12,31.109,PIT,,SEA,W 13-9
19,1987,1987-12-13,13,31.116,PIT,@,SDG,W 20-16
20,1987,1987-12-20,14,31.123,PIT,@,HOU,L 16-24
21,1987,1987-12-26,15,31.129,PIT,,CLE,L 13-19
