ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.320,HOU,,WAS,W 17-6,,1,0,0,,0,0.0%,0.00,0,0,0.0,1,0
2,2014,2014-09-21,3,22.334,HOU,@,NYG,L 17-30,*,0,,,,,0.0%,,,,,,
3,2014,2014-09-28,4,22.341,HOU,,BUF,W 23-17,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
4,2014,2014-10-05,5,22.348,HOU,@,DAL,L 17-20,*,0,,,,,0.0%,,,,,,
5,2014,2014-10-09,6,22.352,HOU,,IND,L 28-33,*,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0
6,2014,2014-10-20,7,22.363,HOU,@,PIT,L 23-30,,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0
7,2014,2014-10-26,8,23.004,HOU,@,TEN,W 30-16,,,,,,,0.0%,,,,,,
8,2014,2014-11-02,9,23.011,HOU,,PHI,L 21-31,,,,,,,0.0%,,,,,,
9,2014,2014-11-16,10,23.025,HOU,@,CLE,W 23-7,,,,,,,0.0%,,,,,,
10,2014,2014-11-23,11,23.032,HOU,,CIN,L 13-22,*,,,,,,0.0%,,,,,,
11,2014,2014-11-30,12,23.039,HOU,,TEN,W 45-21,*,,,,,,0.0%,,,,,,
12,2014,2014-12-07,13,23.046,HOU,@,JAX,W 27-13,*,0,,,,,0.0%,,,,,,
13,2014,2014-12-14,14,23.053,HOU,@,IND,L 10-17,,,,,,,0.0%,,,,,,
14,2014,2014-12-21,15,23.060,HOU,,BAL,W 25-13,*,3,2,12,6.00,1,66.7%,4.00,1,6,0.0,0,0
15,2014,2014-12-28,16,23.067,HOU,,JAX,W 23-17,,,,,,,0.0%,,,,,,
16,2015,2015-09-13,1,23.326,HOU,,KAN,L 20-27,*,1,1,15,15.00,0,100.0%,15.00,0,0,0.0,0,0
17,2015,2015-09-20,2,23.333,HOU,@,CAR,L 17-24,*,1,1,19,19.00,0,100.0%,19.00,0,0,0.0,0,0
18,2015,2015-09-27,3,23.340,HOU,,TAM,W 19-9,*,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2015,2015-10-04,4,23.347,HOU,@,ATL,L 21-48,*,3,3,28,9.33,1,100.0%,9.33,1,6,0.0,0,0
20,2015,2015-10-08,5,23.351,HOU,,IND,L 20-27,*,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0
21,2015,2015-10-18,6,23.361,HOU,@,JAX,W 31-20,*,2,1,8,8.00,0,50.0%,4.00,0,0,0.0,0,0
22,2015,2015-10-25,7,24.003,HOU,@,MIA,L 26-44,*,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
23,2015,2015-11-01,8,24.010,HOU,,TEN,W 20-6,*,2,2,15,7.50,0,100.0%,7.50,0,0,0.0,0,0
24,2015,2015-11-16,9,24.025,HOU,@,CIN,W 10-6,,2,2,30,15.00,0,100.0%,15.00,0,0,0.0,0,0
25,2015,2015-11-22,10,24.031,HOU,,NYJ,W 24-17,*,0,0,0,,0,0.0%,,0,0,0.0,0,0
26,2015,2015-11-29,11,24.038,HOU,,NOR,W 24-6,*,2,2,20,10.00,0,100.0%,10.00,0,0,0.0,0,0
27,2015,2015-12-06,12,24.045,HOU,@,BUF,L 21-30,*,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0
28,2015,2015-12-13,13,24.052,HOU,,NWE,L 6-27,*,0,0,0,,0,0.0%,,0,0,0.0,0,0
29,2015,2015-12-20,14,24.059,HOU,@,IND,W 16-10,*,3,0,0,,0,0.0%,0.00,0,0,0.0,0,0
30,2015,2015-12-27,15,24.066,HOU,@,TEN,W 34-6,*,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0
31,2015,2016-01-03,16,24.073,HOU,,JAX,W 30-6,,3,2,14,7.00,0,66.7%,4.67,0,0,0.0,0,0
32,2016,2016-09-11,1,24.325,HOU,,CHI,W 23-14,*,2,1,6,6.00,0,50.0%,3.00,0,0,0.0,0,0
33,2016,2016-09-18,2,24.332,HOU,,KAN,W 19-12,*,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,0,0
34,2016,2016-09-22,3,24.336,HOU,@,NWE,L 0-27,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
35,2016,2016-10-02,4,24.346,HOU,,TEN,W 27-20,*,5,4,48,12.00,1,80.0%,9.60,1,6,0.0,0,0
36,2016,2016-10-09,5,24.353,HOU,@,MIN,L 13-31,*,8,4,61,15.25,0,50.0%,7.63,0,0,0.0,0,0
37,2016,2016-10-16,6,24.360,HOU,,IND,W 26-23,*,7,6,85,14.17,1,85.7%,12.14,1,6,0.0,0,0
38,2016,2016-10-24,7,25.002,HOU,@,DEN,L 9-27,*,7,5,35,7.00,0,71.4%,5.00,0,0,0.0,0,0
39,2016,2016-10-30,8,25.008,HOU,,DET,W 20-13,*,7,5,43,8.60,1,71.4%,6.14,1,6,0.0,0,0
40,2016,2016-11-13,9,25.022,HOU,@,JAX,W 24-21,*,5,3,26,8.67,0,60.0%,5.20,0,0,0.0,0,0
