ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2009,2009-10-25,6,24.044,CHI,@,CIN,L 10-45,,1,2,50.00,3,0,0,56.2,0,0,1.50,1.50,0,0,,0
2,2009,2009-12-20,14,24.100,CHI,@,BAL,L 7-31,,2,5,40.00,8,0,1,8.3,0,0,1.60,-7.40,0,0,,0
3,2010,2010-10-03,4,25.022,CHI,@,NYG,L 3-17,,3,4,75.00,36,0,0,102.1,1,8,9.00,9.00,0,0,,0
4,2010,2010-10-10,5,25.029,CHI,@,CAR,W 23-6,,2,3,66.67,19,0,0,84.0,1,7,6.33,6.33,1,-1,-1.00,0
5,2011,2011-10-16,6,26.035,CHI,,MIN,W 39-10,,,,,,,,,,,,,,,,
6,2011,2011-11-13,9,26.063,CHI,,DET,W 37-13,,,,,,,,,,,,,,,,
7,2011,2011-11-27,11,26.077,CHI,@,OAK,L 20-25,*,18,36,50.00,254,2,3,56.9,4,25,7.06,4.42,5,50,10.00,0
8,2011,2011-12-04,12,26.084,CHI,,KAN,L 3-10,*,11,24,45.83,133,0,3,23.8,7,45,5.54,-0.08,1,3,3.00,0
9,2011,2011-12-11,13,26.091,CHI,@,DEN,L 10-13,*,12,19,63.16,115,0,0,79.9,4,29,6.05,6.05,2,11,5.50,0
10,2011,2011-12-18,14,26.098,CHI,,SEA,L 14-38,*,10,23,43.48,111,1,3,33.3,4,34,4.83,-0.17,5,34,6.80,0
