ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,22.149,CIN,,SEA,L 24-28,0,0,,0,,,,
2,1985,1985-09-15,2,22.156,CIN,@,STL,L 27-41,0,0,,0,,,,
3,1985,1985-09-22,3,22.163,CIN,,SDG,L 41-44,0,0,,0,,,,
4,1985,1985-09-30,4,22.171,CIN,@,PIT,W 37-24,0,0,,0,,,,
5,1985,1985-10-06,5,22.177,CIN,,NYJ,L 20-29,0,0,,0,,,,
6,1985,1985-10-13,6,22.184,CIN,,NYG,W 35-30,0,0,,0,,,,
7,1985,1985-10-20,7,22.191,CIN,@,HOU,L 27-44,0,0,,0,,,,
8,1985,1985-10-27,8,22.198,CIN,,PIT,W 26-21,0,0,,0,,,,
9,1985,1985-11-03,9,22.205,CIN,@,BUF,W 23-17,0,0,,0,1.0,0,0,0
10,1985,1985-11-10,10,22.212,CIN,,CLE,W 27-10,0,0,,0,,,,
11,1985,1985-11-17,11,22.219,CIN,@,RAI,L 6-13,1,19,19.00,0,0.0,0,0,0
12,1985,1985-11-24,12,22.226,CIN,@,CLE,L 6-24,0,0,,0,,,,
13,1985,1985-12-01,13,22.233,CIN,,HOU,W 45-27,0,0,,0,1.0,0,0,0
14,1985,1985-12-08,14,22.240,CIN,,DAL,W 50-24,0,0,,0,,,,
15,1985,1985-12-15,15,22.247,CIN,@,WAS,L 24-27,0,0,,0,,,,
16,1985,1985-12-22,16,22.254,CIN,@,NWE,L 23-34,0,0,,0,,,,
17,1986,1986-09-07,1,23.148,CIN,@,KAN,L 14-24,,,,,,,,
18,1986,1986-09-14,2,23.155,CIN,,BUF,W 36-33,0,0,,0,0.5,1,18,0
19,1986,1986-09-18,3,23.159,CIN,@,CLE,W 30-13,,,,,,,,
20,1986,1986-09-28,4,23.169,CIN,,CHI,L 7-44,,,,,,,,
21,1986,1986-10-05,5,23.176,CIN,@,GNB,W 34-28,,,,,,,,
22,1986,1986-10-13,6,23.184,CIN,,PIT,W 24-22,,,,,,,,
23,1986,1986-10-19,7,23.190,CIN,,HOU,W 31-28,,,,,,,,
24,1986,1986-10-26,8,23.197,CIN,@,PIT,L 9-30,,,,,,,,
25,1986,1986-11-02,9,23.204,CIN,@,DET,W 24-17,,,,,,,,
26,1986,1986-11-09,10,23.211,CIN,@,HOU,L 28-32,0,0,,0,1.0,0,0,0
27,1986,1986-11-16,11,23.218,CIN,,SEA,W 34-7,0,0,,0,1.0,0,0,0
28,1986,1986-11-23,12,23.225,CIN,,MIN,W 24-20,0,0,,0,1.0,0,0,0
29,1986,1986-11-30,13,23.232,CIN,@,DEN,L 28-34,,,,,,,,
30,1986,1986-12-07,14,23.239,CIN,@,NWE,W 31-7,,,,,,,,
31,1986,1986-12-14,15,23.246,CIN,,CLE,L 3-34,,,,,,,,
32,1986,1986-12-21,16,23.253,CIN,,NYJ,W 52-21,,,,,,,,
33,1987,1987-09-13,1,24.154,CIN,@,IND,W 23-21,,,,,,,,
34,1987,1987-09-20,2,24.161,CIN,,SFO,L 26-27,0,0,,0,1.0,0,0,0
35,1987,1987-10-25,6,24.196,CIN,@,PIT,L 20-23,,,,,,,,
36,1987,1987-11-01,7,24.203,CIN,,HOU,L 29-31,,,,,,,,
37,1987,1987-11-08,8,24.210,CIN,,MIA,L 14-20,,,,,,,,
38,1987,1987-11-15,9,24.217,CIN,@,ATL,W 16-10,,,,,,,,
39,1987,1987-11-22,10,24.224,CIN,,PIT,L 16-30,,,,,,,,
40,1987,1987-11-29,11,24.231,CIN,@,NYJ,L 20-27,,,,,,,,
41,1987,1987-12-06,12,24.238,CIN,,KAN,W 30-27,,,,,,,,
42,1987,1987-12-13,13,24.245,CIN,@,CLE,L 24-38,,,,,,,,
43,1987,1987-12-20,14,24.252,CIN,,NOR,L 24-41,,,,,,,,
44,1987,1987-12-27,15,24.259,CIN,@,HOU,L 17-21,,,,,,,,
45,1988,1988-09-04,1,25.145,CIN,,PHO,W 21-14,,,,,,,,
46,1988,1988-09-11,2,25.152,CIN,@,PHI,W 28-24,,,,,,,,
47,1988,1988-09-18,3,25.159,CIN,@,PIT,W 17-12,,,,,,,,
48,1988,1988-09-25,4,25.166,CIN,,CLE,W 24-17,,,,,,,,
49,1988,1988-10-02,5,25.173,CIN,@,RAI,W 45-21,,,,,,,,
50,1988,1988-10-09,6,25.180,CIN,,NYJ,W 36-19,,,,,,,,
51,1988,1988-10-16,7,25.187,CIN,@,NWE,L 21-27,,,,,,,,
52,1988,1988-10-23,8,25.194,CIN,,HOU,W 44-21,,,,,,,,
53,1988,1988-10-30,9,25.201,CIN,@,CLE,L 16-23,,,,,,,,
54,1988,1988-11-06,10,25.208,CIN,,PIT,W 42-7,,,,,,,,
55,1988,1988-11-13,11,25.215,CIN,@,KAN,L 28-31,,,,,,,,
56,1988,1988-11-20,12,25.222,CIN,@,DAL,W 38-24,,,,,,,,
57,1988,1988-11-27,13,25.229,CIN,,BUF,W 35-21,,,,,,,,
58,1988,1988-12-04,14,25.236,CIN,,SDG,W 27-10,,,,,,,,
59,1988,1988-12-11,15,25.243,CIN,@,HOU,L 6-41,0,0,,0,0.0,1,3,0
60,1988,1988-12-17,16,25.249,CIN,,WAS,W 20-17,,,,,,,,
61,1989,1989-09-10,1,26.151,CIN,@,CHI,L 14-17,,,,,,,,
62,1989,1989-09-17,2,26.158,CIN,,PIT,W 41-10,0,0,,0,1.0,0,0,0
63,1989,1989-09-25,3,26.166,CIN,,CLE,W 21-14,,,,,,,,
64,1989,1989-10-01,4,26.172,CIN,@,KAN,W 21-17,,,,,,,,
65,1989,1989-10-08,5,26.179,CIN,@,PIT,W 26-16,0,0,,0,0.5,0,0,0
66,1989,1989-10-15,6,26.186,CIN,,MIA,L 13-20,,,,,,,,
67,1989,1989-10-22,7,26.193,CIN,,IND,L 12-23,,,,,,,,
68,1989,1989-10-29,8,26.200,CIN,,TAM,W 56-23,,,,,,,,
69,1989,1989-11-05,9,26.207,CIN,@,RAI,L 7-28,,,,,,,,
70,1989,1989-11-13,10,26.215,CIN,@,HOU,L 24-26,,,,,,,,
71,1989,1989-11-19,11,26.221,CIN,,DET,W 42-7,,,,,,,,
72,1989,1989-11-26,12,26.228,CIN,@,BUF,L 7-24,,,,,,,,
73,1989,1989-12-03,13,26.235,CIN,@,CLE,W 21-0,,,,,,,,
74,1989,1989-12-10,14,26.242,CIN,,SEA,L 17-24,,,,,,,,
75,1989,1989-12-17,15,26.249,CIN,,HOU,W 61-7,,,,,,,,
76,1989,1989-12-25,16,26.257,CIN,@,MIN,L 21-29,,,,,,,,
77,1990,1990-09-09,1,27.150,CIN,,NYJ,W 25-20,,,,,,,,
78,1990,1990-09-16,2,27.157,CIN,@,SDG,W 21-16,,,,,,,,
79,1990,1990-09-23,3,27.164,CIN,,NWE,W 41-7,,,,,,,,
80,1990,1990-10-01,4,27.172,CIN,@,SEA,L 16-31,,,,,,,,
81,1990,1990-10-07,5,27.178,CIN,@,RAM,W 34-31,,,,,,,,
82,1990,1990-10-14,6,27.185,CIN,@,HOU,L 17-48,,,,,,,,
83,1990,1990-10-22,7,27.193,CIN,@,CLE,W 34-13,0,0,,0,0.0,1,12,0
84,1990,1990-10-28,8,27.199,CIN,@,ATL,L 17-38,,,,,,,,
85,1990,1990-11-04,9,27.206,CIN,,NOR,L 7-21,,,,,,,,
86,1990,1990-11-18,10,27.220,CIN,,PIT,W 27-3,,,,,,,,
87,1990,1990-11-25,11,27.227,CIN,,IND,L 20-34,,,,,,,,
88,1990,1990-12-02,12,27.234,CIN,@,PIT,W 16-12,,,,,,,,
89,1990,1990-12-09,13,27.241,CIN,,SFO,L 17-20,,,,,,,,
90,1990,1990-12-16,14,27.248,CIN,@,RAI,L 7-24,,,,,,,,
91,1990,1990-12-23,15,27.255,CIN,,HOU,W 40-20,,,,,,,,
92,1990,1990-12-30,16,27.262,CIN,,CLE,W 21-14,,,,,,,,
93,1991,1991-09-15,3,28.156,CIN,@,CLE,L 13-14,,,,,,,,
94,1991,1991-09-22,4,28.163,CIN,,WAS,L 27-34,,,,,,,,
95,1991,1991-10-06,5,28.177,CIN,,SEA,L 7-13,,,,,,,,
96,1991,1991-10-13,6,28.184,CIN,@,DAL,L 23-35,,,,,,,,
97,1991,1991-10-21,7,28.192,CIN,@,BUF,L 16-35,,,,,,,,
98,1991,1991-10-27,8,28.198,CIN,@,HOU,L 3-35,,,,,,,,
99,1991,1991-11-03,9,28.205,CIN,,CLE,W 23-21,,,,,,,,
100,1991,1991-11-10,10,28.212,CIN,,PIT,L 27-33,,,,,,,,
101,1991,1991-11-17,11,28.219,CIN,@,PHI,L 10-17,,,,,,,,
102,1991,1991-11-24,12,28.226,CIN,,RAI,L 14-38,,,,,,,,
103,1991,1991-12-01,13,28.233,CIN,,NYG,W 27-24,,,,,,,,
104,1991,1991-12-09,14,28.241,CIN,@,MIA,L 13-37,,,,,,,,
