ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2000,2000-09-17,3,22.278,SFO,@,STL,L 24-41,,
2,2000,2000-09-24,4,22.285,SFO,@,DAL,W 41-24,,1.0
3,2000,2000-10-01,5,22.292,SFO,,ARI,W 27-20,,
4,2000,2000-10-08,6,22.299,SFO,,OAK,L 28-34,,
5,2000,2000-10-15,7,22.306,SFO,@,GNB,L 28-31,,
6,2000,2000-10-22,8,22.313,SFO,@,CAR,L 16-34,*,1.0
7,2000,2000-10-29,9,22.320,SFO,,STL,L 24-34,,
8,2000,2000-11-05,10,22.327,SFO,@,NOR,L 15-31,,
9,2000,2000-11-12,11,22.334,SFO,,KAN,W 21-7,,
10,2000,2000-11-19,12,22.341,SFO,,ATL,W 16-6,,
11,2000,2000-12-03,13,22.355,SFO,@,SDG,W 45-17,,
12,2000,2000-12-10,14,22.362,SFO,,NOR,L 27-31,,1.0
13,2000,2000-12-17,15,23.003,SFO,,CHI,W 17-0,,
14,2000,2000-12-23,16,23.009,SFO,@,DEN,L 9-38,,
15,2001,2001-12-02,12,23.353,CAR,@,NOR,L 23-27,,
16,2001,2001-12-09,13,23.360,CAR,@,BUF,L 24-25,,
17,2001,2001-12-23,14,24.009,CAR,,STL,L 32-38,,
18,2001,2002-01-06,16,24.023,CAR,,NWE,L 6-38,,
19,2005,2005-09-11,1,27.271,WAS,,CHI,W 9-7,,
20,2005,2005-09-19,2,27.279,WAS,@,DAL,W 14-13,,
21,2005,2005-10-02,3,27.292,WAS,,SEA,W 20-17,,
22,2005,2005-10-09,4,27.299,WAS,@,DEN,L 19-21,,
23,2005,2005-10-16,5,27.306,WAS,@,KAN,L 21-28,,
24,2005,2005-11-20,10,27.341,WAS,,OAK,L 13-16,,
25,2005,2005-11-27,11,27.348,WAS,,SDG,L 17-23,*,
26,2005,2005-12-18,14,28.004,WAS,,DAL,W 35-7,,
27,2005,2005-12-24,15,28.010,WAS,,NYG,W 35-20,,
28,2005,2006-01-01,16,28.018,WAS,@,PHI,W 31-20,,
29,2006,2006-12-03,12,28.354,HOU,@,OAK,W 23-14,,
30,2006,2006-12-10,13,28.361,HOU,,TEN,L 20-26,,
31,2006,2006-12-24,15,29.010,HOU,,IND,W 27-24,,
32,2006,2006-12-31,16,29.017,HOU,,CLE,W 14-6,,
33,2007,2007-09-16,2,29.276,HOU,@,CAR,W 34-21,,
34,2007,2007-09-23,3,29.283,HOU,,IND,L 24-30,,
