ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2014,2014-10-05,5,24.091,NYG,,ATL,W 30-20,,,,
2,2014,2014-10-19,7,24.105,NYG,@,DAL,L 21-31,,,,
3,2014,2014-11-03,8,24.120,NYG,,IND,L 24-40,,,,
4,2014,2014-11-09,9,24.126,NYG,@,SEA,L 17-38,,,,
5,2014,2014-11-16,10,24.133,NYG,,SFO,L 10-16,,0.0,1,0
6,2014,2014-11-23,11,24.140,NYG,,DAL,L 28-31,,0.0,2,0
7,2014,2014-11-30,12,24.147,NYG,@,JAX,L 24-25,,0.0,0,1
8,2014,2014-12-07,13,24.154,NYG,@,TEN,W 36-7,,0.0,0,1
9,2014,2014-12-14,14,24.161,NYG,,WAS,W 24-13,,0.0,1,0
10,2014,2014-12-21,15,24.168,NYG,@,STL,W 37-27,,0.0,1,0
11,2014,2014-12-28,16,24.175,NYG,,PHI,L 26-34,,,,
