ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1978,1978-09-03,1,23.165,KAN,@,CIN,W 24-23,,,,
2,1978,1978-09-10,2,23.172,KAN,,HOU,L 17-20,,,,
3,1978,1978-09-17,3,23.179,KAN,@,NYG,L 10-26,,,,
4,1978,1978-09-24,4,23.186,KAN,,DEN,L 17-23,,,,
5,1978,1978-10-01,5,23.193,KAN,@,BUF,L 13-28,,,,
6,1978,1978-10-08,6,23.200,KAN,,TAM,L 13-30,,,,
7,1978,1978-10-15,7,23.207,KAN,@,OAK,L 6-28,,,,
8,1978,1978-10-22,8,23.214,KAN,,CLE,W 17-3,,,,
9,1978,1978-10-29,9,23.221,KAN,@,PIT,L 24-27,,,,
10,1978,1978-11-05,10,23.228,KAN,,OAK,L 10-20,,,,
11,1978,1978-11-12,11,23.235,KAN,@,SDG,L 23-29,,,,
12,1978,1978-11-19,12,23.242,KAN,,SEA,L 10-13,,,,
13,1978,1978-11-26,13,23.249,KAN,,SDG,W 23-0,,,,
14,1978,1978-12-03,14,23.256,KAN,,BUF,W 14-10,,,,
15,1978,1978-12-10,15,23.263,KAN,@,DEN,L 3-24,,,,
16,1978,1978-12-17,16,23.270,KAN,@,SEA,L 19-23,,,,
17,1979,1979-09-02,1,24.164,KAN,,BAL,W 14-0,,,,
18,1979,1979-09-09,2,24.171,KAN,,CLE,L 24-27,,,,
19,1979,1979-09-16,3,24.178,KAN,@,HOU,L 6-20,,,,
20,1979,1979-09-23,4,24.185,KAN,,OAK,W 35-7,,,,
21,1979,1979-09-30,5,24.192,KAN,@,SEA,W 24-6,,,,
22,1979,1979-10-07,6,24.199,KAN,@,CIN,W 10-7,,,,
23,1979,1979-10-14,7,24.206,KAN,,DEN,L 10-24,,,,
24,1979,1979-10-21,8,24.213,KAN,,NYG,L 17-21,,,,
25,1979,1979-10-28,9,24.220,KAN,@,DEN,L 3-20,,,,
26,1979,1979-12-02,14,24.255,KAN,,SEA,W 37-21,,,,
27,1979,1979-12-09,15,24.262,KAN,@,BAL,W 10-7,,,,
28,1979,1979-12-16,16,24.269,KAN,@,TAM,L 0-3,,,,
29,1980,1980-09-07,1,25.169,KAN,,OAK,L 14-27,,,,
30,1980,1980-09-14,2,25.176,KAN,,SEA,L 16-17,,,,
31,1980,1980-09-21,3,25.183,KAN,@,CLE,L 13-20,,,,
32,1980,1980-09-28,4,25.190,KAN,,SDG,L 7-24,,,,
33,1980,1980-10-05,5,25.197,KAN,@,OAK,W 31-17,,,,
34,1980,1980-10-12,6,25.204,KAN,,HOU,W 21-20,,,,
35,1980,1980-10-19,7,25.211,KAN,@,DEN,W 23-17,,,,
36,1980,1980-10-26,8,25.218,KAN,,DET,W 20-17,,,,
37,1980,1980-11-02,9,25.225,KAN,,BAL,L 24-31,,,,
38,1980,1980-11-09,10,25.232,KAN,@,SEA,W 31-30,,,,
39,1980,1980-11-16,11,25.239,KAN,@,SDG,L 7-20,,,,
40,1980,1980-11-23,12,25.246,KAN,@,STL,W 21-13,,,,
41,1980,1980-11-30,13,25.253,KAN,,CIN,L 6-20,,,,
42,1980,1980-12-07,14,25.260,KAN,,DEN,W 31-14,,,,
43,1980,1980-12-14,15,25.267,KAN,@,PIT,L 16-21,,,,
44,1980,1980-12-21,16,25.274,KAN,@,BAL,W 38-28,,,,
45,1981,1981-09-06,1,26.168,KAN,@,PIT,W 37-33,,,,
46,1981,1981-09-13,2,26.175,KAN,,TAM,W 19-10,,,,
47,1981,1981-09-20,3,26.182,KAN,,SDG,L 31-42,,,,
48,1981,1981-09-27,4,26.189,KAN,@,SEA,W 20-14,,,,
49,1981,1981-10-04,5,26.196,KAN,@,NWE,L 17-33,,,,
50,1981,1981-10-11,6,26.203,KAN,,OAK,W 27-0,,,,
51,1981,1981-10-18,7,26.210,KAN,,DEN,W 28-14,,,,
52,1981,1981-10-25,8,26.217,KAN,@,OAK,W 28-17,,,,
53,1981,1981-11-01,9,26.224,KAN,@,SDG,L 20-22,,,,
54,1981,1981-11-22,12,26.245,KAN,,SEA,W 40-13,,,,
55,1981,1981-11-26,13,26.249,KAN,@,DET,L 10-27,,,,
56,1981,1981-12-06,14,26.259,KAN,@,DEN,L 13-16,,,,
57,1981,1981-12-13,15,26.266,KAN,,MIA,L 7-17,,,,
58,1981,1981-12-20,16,26.273,KAN,@,MIN,W 10-6,,,,
59,1982,1982-09-12,1,27.174,KAN,@,BUF,L 9-14,,,,
60,1982,1982-09-19,2,27.181,KAN,,SDG,W 19-12,,,,
61,1982,1982-11-21,3,27.244,KAN,@,NOR,L 17-27,,,,
62,1982,1982-11-28,4,27.251,KAN,@,RAM,L 14-20,,,,
63,1982,1982-12-05,5,27.258,KAN,@,PIT,L 14-35,,,,
64,1982,1982-12-12,6,27.265,KAN,,RAI,L 16-21,,,,
65,1982,1982-12-19,7,27.272,KAN,@,DEN,W 37-16,,,,
66,1982,1982-12-26,8,27.279,KAN,,SFO,L 13-26,1.0,0,0,0
67,1982,1983-01-02,9,27.286,KAN,,NYJ,W 37-13,,,,
68,1983,1983-09-04,1,28.166,KAN,,SEA,W 17-13,,,,
69,1983,1983-09-12,2,28.174,KAN,,SDG,L 14-17,,,,
70,1983,1983-09-18,3,28.180,KAN,@,WAS,L 12-27,,,,
71,1983,1983-09-25,4,28.187,KAN,@,MIA,L 6-14,,,,
72,1983,1983-10-02,5,28.194,KAN,,STL,W 38-14,1.0,0,0,0
73,1983,1983-10-09,6,28.201,KAN,@,RAI,L 20-21,,,,
74,1983,1983-10-16,7,28.208,KAN,,NYG,W 38-17,1.0,0,0,0
75,1983,1983-10-23,8,28.215,KAN,@,HOU,W 13-10,1.0,0,0,0
76,1983,1983-10-30,9,28.222,KAN,@,DEN,L 24-27,1.0,0,0,0
77,1983,1983-11-06,10,28.229,KAN,,RAI,L 20-28,,,,
78,1983,1983-11-13,11,28.236,KAN,,CIN,W 20-15,,,,
79,1983,1983-11-20,12,28.243,KAN,@,DAL,L 21-41,,,,
80,1983,1983-11-27,13,28.250,KAN,@,SEA,L 48-51,,,,
81,1983,1983-12-04,14,28.257,KAN,,BUF,L 9-14,,,,
82,1983,1983-12-11,15,28.264,KAN,@,SDG,L 38-41,,,,
83,1984,1984-09-02,1,29.164,KAN,@,PIT,W 37-27,0.0,1,16,0
84,1984,1984-09-09,2,29.171,KAN,@,CIN,W 27-22,,,,
85,1984,1984-09-16,3,29.178,KAN,,RAI,L 20-22,,,,
86,1984,1984-09-23,4,29.185,KAN,@,DEN,L 0-21,,,,
87,1985,1985-09-08,1,30.170,NYJ,@,RAI,L 0-31,,,,
88,1985,1985-09-15,2,30.177,NYJ,,BUF,W 42-3,,,,
89,1985,1985-09-22,3,30.184,NYJ,@,GNB,W 24-3,,,,
90,1985,1985-09-29,4,30.191,NYJ,,IND,W 25-20,,,,
91,1985,1985-10-06,5,30.198,NYJ,@,CIN,W 29-20,,,,
92,1985,1985-10-14,6,30.206,NYJ,,MIA,W 23-7,,,,
93,1985,1985-10-20,7,30.212,NYJ,@,NWE,L 13-20,,,,
94,1985,1985-10-27,8,30.219,NYJ,,SEA,W 17-14,,,,
95,1985,1985-11-03,9,30.226,NYJ,@,IND,W 35-17,,,,
96,1985,1985-11-10,10,30.233,NYJ,@,MIA,L 17-21,,,,
97,1985,1985-11-17,11,30.240,NYJ,,TAM,W 62-28,,,,
98,1985,1985-11-24,12,30.247,NYJ,,NWE,W 16-13,,,,
99,1985,1985-11-28,13,30.251,NYJ,@,DET,L 20-31,,,,
100,1985,1985-12-08,14,30.261,NYJ,@,BUF,W 27-7,,,,
101,1985,1985-12-14,15,30.267,NYJ,,CHI,L 6-19,,,,
102,1985,1985-12-22,16,30.275,NYJ,,CLE,W 37-10,,,,
103,1986,1986-09-07,1,31.169,NYJ,@,BUF,W 28-24,,,,
104,1986,1986-09-11,2,31.173,NYJ,,NWE,L 6-20,,,,
105,1986,1986-09-21,3,31.183,NYJ,,MIA,W 51-45,,,,
106,1986,1986-09-28,4,31.190,NYJ,@,IND,W 26-7,,,,
107,1986,1986-10-05,5,31.197,NYJ,,BUF,W 14-13,,,,
108,1986,1986-10-12,6,31.204,NYJ,@,NWE,W 31-24,,,,
109,1986,1986-10-20,7,31.212,NYJ,,DEN,W 22-10,1.0,0,0,0
