ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-11-09,9,24.051,TAM,,ATL,L 17-27,,8,23,2.88,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,0.0,0,0
2,2014,2014-11-16,10,24.058,TAM,@,WAS,W 27-7,,13,36,2.77,0,4,3,8,2.67,0,75.0%,2.00,0,0,,0,0,0,0.0,0,0
3,2014,2014-11-23,11,24.065,TAM,@,CHI,L 13-21,,6,22,3.67,0,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,0.0,0,0
4,2014,2014-11-30,12,24.072,TAM,,CIN,L 13-14,,5,6,1.20,0,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,0.0,0,0
5,2014,2014-12-07,13,24.079,TAM,@,DET,L 17-34,,5,-4,-0.80,0,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,0.0,0,0
6,2014,2014-12-14,14,24.086,TAM,@,CAR,L 17-19,,7,34,4.86,0,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,0,0
7,2014,2014-12-21,15,24.093,TAM,,GNB,L 3-20,,4,-1,-0.25,0,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,1,0
8,2014,2014-12-28,16,24.100,TAM,,NOR,L 20-23,,18,69,3.83,1,2,1,6,6.00,0,50.0%,3.00,0,0,,0,1,6,0.0,0,0
9,2015,2015-09-13,1,24.359,TAM,,TEN,L 14-42,,5,12,2.40,0,5,2,23,11.50,0,40.0%,4.60,0,0,,0,0,0,0.0,0,0
10,2015,2015-09-20,2,25.001,TAM,@,NOR,W 26-19,,8,38,4.75,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,0.0,0,0
11,2015,2015-09-27,3,25.008,TAM,@,HOU,L 9-19,,6,11,1.83,0,2,2,41,20.50,1,100.0%,20.50,0,0,,0,1,6,0.0,0,0
12,2015,2015-10-04,4,25.015,TAM,,CAR,L 23-37,,6,23,3.83,0,5,3,30,10.00,1,60.0%,6.00,0,0,,0,1,6,0.0,0,0
13,2015,2015-10-11,5,25.022,TAM,,JAX,W 38-31,,12,51,4.25,0,4,4,85,21.25,0,100.0%,21.25,0,0,,0,0,0,0.0,0,0
14,2015,2015-10-25,6,25.036,TAM,@,WAS,L 30-31,,10,49,4.90,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,0.0,0,0
15,2015,2015-11-01,7,25.043,TAM,@,ATL,W 23-20,,6,22,3.67,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,0.0,0,0
16,2015,2015-11-08,8,25.050,TAM,,NYG,L 18-32,,8,78,9.75,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,0.0,0,0
17,2015,2015-11-15,9,25.057,TAM,,DAL,W 10-6,,5,18,3.60,0,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,0.0,0,0
18,2015,2015-11-22,10,25.064,TAM,@,PHI,W 45-17,,10,43,4.30,0,4,3,26,8.67,1,75.0%,6.50,0,0,,0,1,6,0.0,0,0
19,2015,2015-11-29,11,25.071,TAM,@,IND,L 12-25,,4,8,2.00,0,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,0.0,0,0
20,2015,2015-12-06,12,25.078,TAM,,ATL,W 23-19,,7,56,8.00,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,0.0,0,0
21,2015,2015-12-13,13,25.085,TAM,,NOR,L 17-24,,5,10,2.00,0,8,6,64,10.67,0,75.0%,8.00,0,0,,0,0,0,0.0,0,0
22,2015,2015-12-17,14,25.089,TAM,@,STL,L 23-31,,7,50,7.14,0,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,0.0,0,0
23,2015,2015-12-27,15,25.099,TAM,,CHI,L 21-26,,4,45,11.25,0,5,3,72,24.00,1,60.0%,14.40,0,0,,0,1,6,0.0,0,0
24,2015,2016-01-03,16,25.106,TAM,@,CAR,L 10-38,,4,15,3.75,0,11,9,74,8.22,0,81.8%,6.73,0,0,,0,0,0,0.0,0,0
25,2016,2016-09-11,1,25.358,TAM,@,ATL,W 31-24,,4,9,2.25,0,3,3,32,10.67,1,100.0%,10.67,0,0,,0,1,6,0.0,0,0
26,2016,2016-09-18,2,25.365,TAM,@,ARI,L 7-40,,9,24,2.67,0,5,3,4,1.33,0,60.0%,0.80,0,0,,0,0,0,0.0,0,0
27,2016,2016-09-25,3,26.006,TAM,,LAR,L 32-37,*,13,55,4.23,1,8,6,69,11.50,0,75.0%,8.63,0,0,,0,1,6,0.0,0,0
28,2016,2016-10-02,4,26.013,TAM,,DEN,L 7-27,*,15,28,1.87,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,0.0,0,0
29,2016,2016-12-11,13,26.083,TAM,,NOR,W 16-11,,4,17,4.25,0,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,0.0,0,0
30,2016,2016-12-18,14,26.090,TAM,@,DAL,L 20-26,,3,4,1.33,0,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,0.0,0,0
