ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1977,1977-09-18,1,22.054,TAM,@,PHI,L 3-13,,,,,,,,,,,,
2,1977,1977-09-24,2,22.060,TAM,,MIN,L 3-9,,,,,,,,,,,,
3,1977,1977-10-02,3,22.068,TAM,@,DAL,L 7-23,,,,,,,,,,,,
4,1977,1977-10-09,4,22.075,TAM,,WAS,L 0-10,,,,,,,,,,,,
5,1977,1977-10-16,5,22.082,TAM,@,SEA,L 23-30,,,,,,,,,,,,
6,1977,1977-10-23,6,22.089,TAM,,GNB,L 0-13,,,,,,,,,,,,
7,1977,1977-10-30,7,22.096,TAM,@,SFO,L 10-20,,,,,,,,,,,,
8,1977,1977-11-06,8,22.103,TAM,@,RAM,L 0-31,,,,,,,,,,,,
9,1977,1977-11-13,9,22.110,TAM,,NYG,L 0-10,,,,,,,,,,,,
10,1978,1978-09-02,1,23.038,TAM,,NYG,L 13-19,,,,,,,,,,,,
11,1978,1978-09-09,2,23.045,TAM,,DET,L 7-15,,,,,,,,,,,,
12,1978,1978-09-17,3,23.053,TAM,@,MIN,W 16-10,,,,,,,,,,,,
13,1978,1978-09-24,4,23.060,TAM,,ATL,W 14-9,,,,,,,,,,,,
14,1978,1978-10-01,5,23.067,TAM,,MIN,L 7-24,,,,,,,,,,,,
15,1978,1978-10-08,6,23.074,TAM,@,KAN,W 30-13,,,,,,,,,,,,
16,1978,1978-10-15,7,23.081,TAM,@,NYG,L 14-17,,,,,,,,,,,,
17,1978,1978-10-22,8,23.088,TAM,,CHI,W 33-19,,,,,,,,,,,,
18,1978,1978-10-29,9,23.095,TAM,@,GNB,L 7-9,,,,,,,,,,,,
19,1978,1978-11-05,10,23.102,TAM,@,RAM,L 23-26,,,,,,,,,,,,
20,1978,1978-11-12,11,23.109,TAM,@,DET,L 23-34,,,,,,,,,,,,
21,1978,1978-11-19,12,23.116,TAM,,BUF,W 31-10,,,,,,,,,,,,
22,1978,1978-11-26,13,23.123,TAM,@,CHI,L 3-14,,,,,,,,,,,,
23,1978,1978-12-03,14,23.130,TAM,,GNB,L 7-17,,,,,,,,,,,,
24,1978,1978-12-10,15,23.137,TAM,@,SFO,L 3-6,,,,,,,,,,,,
25,1978,1978-12-17,16,23.144,TAM,,NOR,L 10-17,,,,,,,,,,,,
26,1979,1979-09-01,1,24.037,TAM,,DET,W 31-16,,,,,,,,,,,,
27,1979,1979-09-09,2,24.045,TAM,@,BAL,W 29-26,,,,,,,,,,,,
28,1979,1979-09-16,3,24.052,TAM,@,GNB,W 21-10,,,,,,,,,,,,
29,1979,1979-09-23,4,24.059,TAM,,RAM,W 21-6,,,,,,,,,,,,
30,1979,1979-09-30,5,24.066,TAM,@,CHI,W 17-13,,,,,,,,,,,,
31,1979,1979-10-07,6,24.073,TAM,@,NYG,L 14-17,,,,,,,,,,,,
32,1979,1979-10-14,7,24.080,TAM,,NOR,L 14-42,,,,,,,,,,,,
33,1979,1979-10-21,8,24.087,TAM,,GNB,W 21-3,,,,,,,,,,,,
34,1979,1979-10-28,9,24.094,TAM,@,MIN,W 12-10,,,,,,,,,,,,
35,1979,1979-11-04,10,24.101,TAM,@,ATL,L 14-17,,,,,,,,,,,,
36,1979,1979-11-11,11,24.108,TAM,@,DET,W 16-14,,,,,,,,,,,,
37,1979,1979-11-18,12,24.115,TAM,,NYG,W 31-3,,,,,,,,,,,,
38,1979,1979-11-25,13,24.122,TAM,,MIN,L 22-23,,,,,,,,,,,,
39,1979,1979-12-02,14,24.129,TAM,,CHI,L 0-14,,,,,,,,,,,,
40,1980,1980-09-07,1,25.043,TAM,@,CIN,W 17-12,,,,,,,,,,,,
41,1980,1980-09-11,2,25.047,TAM,,RAM,W 10-9,,,,,,,,,,,,
42,1980,1980-09-21,3,25.057,TAM,@,DAL,L 17-28,,,,,,,,,,,,
43,1980,1980-09-28,4,25.064,TAM,,CLE,L 27-34,,,,,,,,,,,,
44,1980,1980-10-06,5,25.072,TAM,@,CHI,L 0-23,,,,,,,,,,,,
45,1980,1980-10-12,6,25.078,TAM,,GNB,T 14-14,,,,,,,,,,,,
46,1980,1980-10-19,7,25.085,TAM,@,HOU,L 14-20,,,,,,,,,,,,
47,1980,1980-10-26,8,25.092,TAM,@,SFO,W 24-23,,,,,,,,,,,,
48,1980,1980-11-02,9,25.099,TAM,,NYG,W 30-13,,,,,,,,,,,,
49,1980,1980-11-09,10,25.106,TAM,,PIT,L 21-24,,,,,,,,,,,,
50,1980,1980-11-16,11,25.113,TAM,@,MIN,L 30-38,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
51,1980,1980-11-23,12,25.120,TAM,,DET,L 10-24,,,,,,,,,,,,
52,1980,1980-11-30,13,25.127,TAM,@,GNB,W 20-17,,,,,,,,,,,,
53,1980,1980-12-07,14,25.134,TAM,,MIN,L 10-21,,,,,,,,,,,,
54,1980,1980-12-14,15,25.141,TAM,@,DET,L 14-27,,,,,,,,,,,,
55,1980,1980-12-20,16,25.147,TAM,,CHI,L 13-14,,,,,,,,,,,,
56,1981,1981-09-13,2,26.049,TAM,@,KAN,L 10-19,,,,,,,,,,,,
57,1981,1981-09-20,3,26.056,TAM,@,CHI,L 17-28,,,,,,,,,,,,
58,1981,1981-09-27,4,26.063,TAM,,STL,W 20-10,,,,,,,,,,,,
59,1981,1981-10-04,5,26.070,TAM,,DET,W 28-10,,,,,,,,,,,,
60,1981,1981-10-11,6,26.077,TAM,@,GNB,W 21-10,,,,,,,,,,,,
61,1981,1981-10-18,7,26.084,TAM,@,OAK,L 16-18,,,,,,,,,,,,
62,1981,1981-10-25,8,26.091,TAM,@,PHI,L 10-20,,,,,,,,,,,,
63,1981,1981-11-01,9,26.098,TAM,,CHI,W 20-10,,,,,,,,,,,,
64,1981,1981-11-08,10,26.105,TAM,@,MIN,L 10-25,,,,,,,,,,,,
65,1981,1981-11-15,11,26.112,TAM,,DEN,L 7-24,,,,,,,,,,,,
66,1981,1981-11-22,12,26.119,TAM,,GNB,W 37-3,,,,,,,,,,,,
67,1981,1981-11-29,13,26.126,TAM,@,NOR,W 31-14,,,,,,,,,,,,
68,1981,1981-12-06,14,26.133,TAM,,ATL,W 24-23,,,,,,,,,,,,
69,1981,1981-12-13,15,26.140,TAM,,SDG,L 23-24,,,,,,,,,,,,
70,1981,1981-12-20,16,26.147,TAM,@,DET,W 20-17,,,,,,,,,,,,
71,1982,1982-09-12,1,27.048,TAM,@,MIN,L 10-17,,,,,,,,,,,,
72,1982,1982-09-19,2,27.055,TAM,,WAS,L 13-21,,,,,,,,,,,,
73,1982,1982-11-21,3,27.118,TAM,@,DAL,L 9-14,,,,,,,,,,,,
74,1982,1982-11-29,4,27.126,TAM,,MIA,W 23-17,,,,,,,,,,,,
75,1982,1982-12-05,5,27.132,TAM,@,NOR,W 13-10,,,,,,,,,,,,
76,1982,1982-12-26,8,27.153,TAM,,DET,W 23-21,,,,,,,,,,,,
77,1982,1983-01-02,9,27.160,TAM,,CHI,W 26-23,,,,,,,,,,,,
78,1983,1983-09-04,1,28.040,RAI,@,CIN,W 20-10,,,,,,,,,,,,
79,1983,1983-09-11,2,28.047,RAI,,HOU,W 20-6,,,,,,,,,,,,
80,1983,1983-09-19,3,28.055,RAI,,MIA,W 27-14,,,,,,,,,,,,
81,1983,1983-09-25,4,28.061,RAI,@,DEN,W 22-7,,,,,,,,,,,,
82,1983,1983-10-02,5,28.068,RAI,@,WAS,L 35-37,,,,,,,,,,,,
83,1983,1983-10-09,6,28.075,RAI,,KAN,W 21-20,,,,,,,,,,,,
84,1983,1983-10-16,7,28.082,RAI,@,SEA,L 36-38,,,,,,,,,,,,
85,1983,1983-10-23,8,28.089,RAI,@,DAL,W 40-38,,,,,,,,,,,,
86,1983,1983-10-30,9,28.096,RAI,,SEA,L 21-34,,,,,,,,,,,,
87,1983,1983-11-06,10,28.103,RAI,@,KAN,W 28-20,,,,,,,,,,,,
88,1983,1983-11-13,11,28.110,RAI,,DEN,W 22-20,,,,,,,,,,,,
89,1983,1983-11-20,12,28.117,RAI,@,BUF,W 27-24,,,,,,,,,,,,
90,1983,1983-11-27,13,28.124,RAI,,NYG,W 27-12,,,,,,,,,,,,
91,1983,1983-12-01,14,28.128,RAI,@,SDG,W 42-10,,,,,,,,,,,,
92,1983,1983-12-11,15,28.138,RAI,,STL,L 24-34,,,,,,,,,,,,
93,1983,1983-12-18,16,28.145,RAI,,SDG,W 30-14,,,,,,,,,,,,
94,1984,1984-09-02,1,29.038,RAI,@,HOU,W 24-14,,,,,,,,,,,,
95,1984,1984-09-09,2,29.045,RAI,,GNB,W 28-7,,,,,,,,,,,,
96,1984,1984-09-16,3,29.052,RAI,@,KAN,W 22-20,,,,,,,,,,,,
97,1984,1984-09-24,4,29.060,RAI,,SDG,W 33-30,,,,,,,,,,,,
98,1984,1984-09-30,5,29.066,RAI,@,DEN,L 13-16,,,,,,,,,,,,
99,1984,1984-10-07,6,29.073,RAI,,SEA,W 28-14,,,,,,,,,,,,
100,1984,1984-10-14,7,29.080,RAI,,MIN,W 23-20,,,,,,,,,,,,
101,1984,1984-10-21,8,29.087,RAI,@,SDG,W 44-37,,,,,,,,,,,,
102,1984,1984-10-28,9,29.094,RAI,,DEN,L 19-22,,,,,,,,,,,,
103,1984,1984-11-12,11,29.109,RAI,@,SEA,L 14-17,,,,,,,,,,,,
104,1984,1984-11-18,12,29.115,RAI,,KAN,W 17-7,,,,,,,,,,,,
105,1984,1984-11-25,13,29.122,RAI,,IND,W 21-7,,,,,,,,,,,,
106,1984,1984-12-02,14,29.129,RAI,@,MIA,W 45-34,,,,,,,,,,,,
107,1984,1984-12-10,15,29.137,RAI,@,DET,W 24-3,,,,,,,,,,,,
108,1984,1984-12-16,16,29.143,RAI,,PIT,L 7-13,,,,,,,,,,,,
109,1985,1985-09-08,1,30.044,RAI,,NYJ,W 31-0,,,,,,,,,,,,
110,1985,1985-09-12,2,30.048,RAI,@,KAN,L 20-36,,,,,,,,,,,,
111,1985,1985-09-22,3,30.058,RAI,,SFO,L 10-34,,,,,,,,,,,,
112,1985,1985-10-06,5,30.072,RAI,,KAN,W 19-10,,,,,,,,,,,,
113,1985,1985-10-13,6,30.079,RAI,,NOR,W 23-13,,,,,,,,,,,,
114,1985,1985-10-20,7,30.086,RAI,@,CLE,W 21-20,,,,,,,,,,,,
115,1985,1985-10-28,8,30.094,RAI,,SDG,W 34-21,,,,,,,,,,,,
116,1985,1985-11-03,9,30.100,RAI,@,SEA,L 3-33,,,,,,,,,,,,
117,1985,1985-11-10,10,30.107,RAI,@,SDG,L 34-40,,,,,,,,,,,,
118,1985,1985-11-17,11,30.114,RAI,,CIN,W 13-6,,,,,,,,,,,,
119,1985,1985-11-24,12,30.121,RAI,,DEN,W 31-28,,,,,,,,,,,,
120,1985,1985-12-01,13,30.128,RAI,@,ATL,W 34-24,,,,,,,,,,,,
121,1985,1985-12-08,14,30.135,RAI,@,DEN,W 17-14,,,,,,,,,,,,
122,1985,1985-12-15,15,30.142,RAI,,SEA,W 13-3,,,,,,,,,,,,
123,1985,1985-12-23,16,30.150,RAI,@,RAM,W 16-6,,,,,,,,,,,,
124,1986,1986-09-21,3,31.057,RAI,,NYG,L 9-14,,,,,,,,,,,,
125,1986,1986-09-28,4,31.064,RAI,,SDG,W 17-13,,,,,,,,,,,,
126,1986,1986-10-05,5,31.071,RAI,@,KAN,W 24-17,,,,,,,,,,,,
127,1986,1986-10-12,6,31.078,RAI,,SEA,W 14-10,,,,,,,,,,,,
128,1986,1986-10-19,7,31.085,RAI,@,MIA,W 30-28,,,,,,,,,,,,
129,1986,1986-10-26,8,31.092,RAI,@,HOU,W 28-17,,,,,,,,,,,,
130,1986,1986-11-02,9,31.099,RAI,,DEN,L 10-21,,,,,,,,,,,,
131,1986,1986-11-09,10,31.106,RAI,@,DAL,W 17-13,,,,,,,,,,,,
132,1986,1986-11-16,11,31.113,RAI,,CLE,W 27-14,,,,,,,,,,,,
133,1986,1986-11-20,12,31.117,RAI,@,SDG,W 37-31,,,,,,,,,,,,
134,1986,1986-11-30,13,31.127,RAI,,PHI,L 27-33,,,,,,,,,,,,
135,1986,1986-12-08,14,31.135,RAI,@,SEA,L 0-37,,,,,,,,,,,,
136,1987,1987-09-13,1,32.049,RAI,@,GNB,W 20-0,,,,,,,,,,,,
137,1987,1987-09-20,2,32.056,RAI,,DET,W 27-7,,,,,,,,,,,,
138,1987,1987-10-25,6,32.091,RAI,,SEA,L 13-35,,,,,,,,,,,,
139,1987,1987-11-01,7,32.098,RAI,@,NWE,L 23-26,,,,,,,,,,,,
140,1987,1987-11-30,11,32.127,RAI,@,SEA,W 37-14,,,,,,,,,,,,
141,1988,1988-09-04,1,33.040,RAI,,SDG,W 24-13,,,,,,,,,,,,
142,1988,1988-09-11,2,33.047,RAI,@,HOU,L 35-38,,,,,,,,,,,,
143,1988,1988-09-18,3,33.054,RAI,,RAM,L 17-22,,,,,,,,,,,,
144,1988,1988-09-26,4,33.062,RAI,@,DEN,W 30-27,,,,,,,,,,,,
145,1988,1988-10-02,5,33.068,RAI,,CIN,L 21-45,,,,,,,,,,,,
146,1988,1988-10-09,6,33.075,RAI,,MIA,L 14-24,,,,,,,,,,,,
147,1988,1988-10-16,7,33.082,RAI,@,KAN,W 27-17,,,,,,,,,,,,
148,1988,1988-10-23,8,33.089,RAI,@,NOR,L 6-20,,,,,,,,,,,,
