ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-08,1,22.131,OAK,@,NWE,L 20-30,,6,151,25.17,0,3,15,5.00,0,0,0,0.0,,,0,0,0
2,2005,2005-09-18,2,22.141,OAK,,KAN,L 17-23,,6,130,21.67,0,2,34,17.00,0,0,0,0.0,,,0,0,0
3,2005,2005-09-25,3,22.148,OAK,@,PHI,L 20-23,,3,35,11.67,0,4,17,4.25,0,0,0,0.0,,,0,0,0
4,2005,2005-10-02,4,22.155,OAK,,DAL,W 19-13,,2,59,29.50,0,4,30,7.50,0,0,0,0.0,,,0,0,0
5,2005,2005-10-16,5,22.169,OAK,,SDG,L 14-27,,6,137,22.83,0,2,0,0.00,0,0,0,0.0,,,0,0,0
6,2005,2005-10-23,6,22.176,OAK,,BUF,W 38-17,,4,80,20.00,0,4,31,7.75,0,0,0,0.0,,,0,0,0
7,2005,2005-10-30,7,22.183,OAK,@,TEN,W 34-25,,4,119,29.75,0,0,0,,0,0,0,0.0,,,0,0,0
8,2005,2005-11-06,8,22.190,OAK,@,KAN,L 23-27,,5,191,38.20,0,2,-6,-3.00,0,0,0,0.0,,,0,0,0
9,2005,2005-11-13,9,22.197,OAK,,DEN,L 17-31,,6,139,23.17,0,2,9,4.50,0,0,0,0.0,,,0,0,0
10,2005,2005-11-20,10,22.204,OAK,@,WAS,W 16-13,,4,67,16.75,0,2,13,6.50,0,0,0,0.0,,,0,0,0
11,2005,2005-11-27,11,22.211,OAK,,MIA,L 21-33,,4,135,33.75,0,2,17,8.50,0,0,0,0.0,,,0,0,0
12,2005,2005-12-04,12,22.218,OAK,@,SDG,L 10-34,,5,103,20.60,0,1,0,0.00,0,0,0,0.0,,,0,0,0
13,2005,2005-12-11,13,22.225,OAK,@,NYJ,L 10-26,,6,136,22.67,0,1,4,4.00,0,0,0,0.0,,,0,0,0
14,2005,2005-12-18,14,22.232,OAK,,CLE,L 7-9,,1,9,9.00,0,1,1,1.00,0,0,0,0.0,,,0,0,0
15,2005,2005-12-24,15,22.238,OAK,@,DEN,L 3-22,,4,107,26.75,0,1,12,12.00,0,0,0,0.0,,,0,0,0
16,2005,2005-12-31,16,22.245,OAK,,NYG,L 21-30,,7,154,22.00,0,3,9,3.00,0,0,0,0.0,,,0,0,0
