ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,2001,2001-09-23,2,24.208,OAK,@,MIA,L 15-18,,,,,
2,2001,2001-09-30,3,24.215,OAK,,SEA,W 38-14,,0.0,1,0,0
3,2001,2001-10-07,4,24.222,OAK,,DAL,W 28-21,,,,,
4,2001,2001-11-18,9,24.264,OAK,,SDG,W 34-24,*,,,,
5,2001,2001-11-25,10,24.271,OAK,@,NYG,W 28-10,,,,,
6,2001,2001-12-02,11,24.278,OAK,,ARI,L 31-34,,,,,
7,2001,2001-12-09,12,24.285,OAK,,KAN,W 28-26,,1.0,0,0,0
8,2001,2001-12-15,13,24.291,OAK,@,SDG,W 13-6,,,,,
9,2001,2001-12-22,14,24.298,OAK,,TEN,L 10-13,,1.0,0,0,0
10,2001,2001-12-30,15,24.306,OAK,@,DEN,L 17-23,,,,,
11,2001,2002-01-06,16,24.313,OAK,,NYJ,L 22-24,,,,,
12,2002,2002-09-08,1,25.193,OAK,,SEA,W 31-17,,,,,
13,2002,2002-09-15,2,25.200,OAK,@,PIT,W 30-17,,,,,
14,2002,2002-09-29,3,25.214,OAK,,TEN,W 52-25,,,,,
15,2002,2002-10-06,4,25.221,OAK,@,BUF,W 49-31,,,,,
16,2002,2002-10-13,5,25.228,OAK,@,STL,L 13-28,*,,,,
17,2002,2002-10-20,6,25.235,OAK,,SDG,L 21-27,,,,,
18,2002,2002-10-27,7,25.242,OAK,@,KAN,L 10-20,,,,,
19,2002,2002-11-03,8,25.249,OAK,,SFO,L 20-23,,,,,
20,2002,2002-11-11,9,25.257,OAK,@,DEN,W 34-10,,,,,
21,2002,2002-11-17,10,25.263,OAK,,NWE,W 27-20,,1.0,0,0,0
22,2002,2002-11-24,11,25.270,OAK,@,ARI,W 41-20,,,,,
23,2002,2002-12-02,12,25.278,OAK,,NYJ,W 26-20,,,,,
24,2002,2002-12-08,13,25.284,OAK,@,SDG,W 27-7,,,,,
25,2002,2002-12-15,14,25.291,OAK,@,MIA,L 17-23,,,,,
26,2002,2002-12-22,15,25.298,OAK,,DEN,W 28-16,,,,,
27,2002,2002-12-28,16,25.304,OAK,,KAN,W 24-0,,,,,
28,2003,2003-09-07,1,26.192,OAK,@,TEN,L 20-25,,,,,
29,2003,2003-09-14,2,26.199,OAK,,CIN,W 23-20,,,,,
30,2003,2003-09-22,3,26.207,OAK,@,DEN,L 10-31,,,,,
31,2003,2003-09-28,4,26.213,OAK,,SDG,W 34-31,,,,,
32,2003,2003-10-05,5,26.220,OAK,@,CHI,L 21-24,,,,,
33,2003,2003-10-12,6,26.227,OAK,@,CLE,L 7-13,,,,,
34,2003,2003-10-20,7,26.235,OAK,,KAN,L 10-17,,,,,
35,2003,2003-11-02,8,26.248,OAK,@,DET,L 13-23,*,,,,
36,2003,2003-11-09,9,26.255,OAK,,NYJ,L 24-27,*,,,,
37,2003,2003-11-16,10,26.262,OAK,,MIN,W 28-18,*,1.0,0,0,0
38,2003,2003-11-23,11,26.269,OAK,@,KAN,L 24-27,*,1.0,0,0,0
39,2003,2003-11-30,12,26.276,OAK,,DEN,L 8-22,*,,,,
40,2003,2003-12-07,13,26.283,OAK,@,PIT,L 7-27,*,,,,
41,2003,2003-12-14,14,26.290,OAK,,BAL,W 20-12,*,,,,
42,2003,2003-12-22,15,26.298,OAK,,GNB,L 7-41,*,,,,
43,2003,2003-12-28,16,26.304,OAK,@,SDG,L 14-21,*,0.5,0,0,0
44,2004,2004-10-10,4,27.226,DAL,,NYG,L 10-26,,,,,
45,2004,2004-10-31,7,27.247,DAL,,DET,W 31-21,,,,,
46,2004,2004-11-14,9,27.261,SFO,,CAR,L 27-37,,,,,
47,2004,2004-11-21,10,27.268,SFO,@,TAM,L 3-35,,1.0,0,0,0
48,2004,2004-11-28,11,27.275,SFO,,MIA,L 17-24,,,,,
49,2004,2004-12-05,12,27.282,SFO,@,STL,L 6-16,,,,,
50,2004,2004-12-12,13,27.289,SFO,@,ARI,W 31-28,,,,,
51,2004,2004-12-18,14,27.295,SFO,,WAS,L 16-26,,,,,
52,2004,2004-12-26,15,27.303,SFO,,BUF,L 7-41,*,,,,
53,2004,2005-01-02,16,27.310,SFO,@,NWE,L 7-21,*,,,,
54,2006,2006-10-01,4,29.216,ARI,@,ATL,L 10-32,,,,,
55,2006,2006-10-08,5,29.223,ARI,,KAN,L 20-23,,,,,
56,2006,2006-10-16,6,29.231,ARI,,CHI,L 23-24,,,,,
57,2006,2006-10-22,7,29.237,ARI,@,OAK,L 9-22,,,,,
58,2006,2006-10-29,8,29.244,ARI,@,GNB,L 14-31,,,,,
59,2006,2006-11-12,9,29.258,ARI,,DAL,L 10-27,,,,,
60,2006,2006-11-19,10,29.265,ARI,,DET,W 17-10,,1.0,0,0,0
61,2006,2006-11-26,11,29.272,ARI,@,MIN,L 26-31,,,,,
62,2006,2006-12-03,12,29.279,ARI,@,STL,W 34-20,,1.0,0,0,0
63,2006,2006-12-10,13,29.286,ARI,,SEA,W 27-21,,,,,
64,2006,2006-12-17,14,29.293,ARI,,DEN,L 20-37,,,,,
65,2006,2006-12-24,15,29.300,ARI,@,SFO,W 26-20,,,,,
66,2006,2006-12-31,16,29.307,ARI,@,SDG,L 20-27,,,,,
67,2007,2007-09-10,1,30.195,ARI,@,SFO,L 17-20,,,,,
68,2007,2007-09-16,2,30.201,ARI,,SEA,W 23-20,,,,,
69,2007,2007-09-23,3,30.208,ARI,@,BAL,L 23-26,,,,,
70,2007,2007-09-30,4,30.215,ARI,,PIT,W 21-14,,,,,
71,2007,2007-10-07,5,30.222,ARI,@,STL,W 34-31,,,,,
72,2007,2007-10-14,6,30.229,ARI,,CAR,L 10-25,,,,,
73,2007,2007-10-21,7,30.236,ARI,@,WAS,L 19-21,,,,,
74,2007,2007-11-04,8,30.250,ARI,@,TAM,L 10-17,,,,,
75,2007,2007-11-25,11,30.271,ARI,,SFO,L 31-37,,,,,
76,2007,2007-12-02,12,30.278,ARI,,CLE,W 27-21,,,,,
77,2007,2007-12-09,13,30.285,ARI,@,SEA,L 21-42,,,,,
78,2007,2007-12-23,15,30.299,ARI,,ATL,W 30-27,,,,,
