ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-11,1,23.025,SFO,,SEA,W 33-17,,,,,,,,,
2,2011,2011-09-18,2,23.032,SFO,,DAL,L 24-27,,,,,,,,,
3,2011,2011-09-25,3,23.039,SFO,@,CIN,W 13-8,,,,,,,,,
4,2011,2011-10-02,4,23.046,SFO,@,PHI,W 24-23,,0,0,0.0,4,0,0,0,0
5,2011,2011-10-09,5,23.053,SFO,,TAM,W 48-3,,0,0,0.0,1,0,1,23,0
6,2011,2011-10-16,6,23.060,SFO,@,DET,W 25-19,,0,0,0.0,3,0,0,0,0
7,2011,2011-10-30,7,23.074,SFO,,CLE,W 20-10,,0,0,0.0,5,0,0,0,0
8,2011,2011-11-06,8,23.081,SFO,@,WAS,W 19-11,,0,0,0.0,2,0,0,0,0
9,2011,2011-11-13,9,23.088,SFO,,NYG,W 27-20,,0,0,0.0,1,1,0,0,0
10,2011,2011-11-20,10,23.095,SFO,,ARI,W 23-7,,0,0,0.0,2,0,0,0,0
11,2011,2011-11-24,11,23.099,SFO,@,BAL,L 6-16,,0,0,0.0,5,0,0,0,0
12,2011,2011-12-04,12,23.109,SFO,,STL,W 26-0,,0,0,0.0,1,0,0,0,0
13,2011,2011-12-11,13,23.116,SFO,@,ARI,L 19-21,,0,0,0.0,0,1,0,0,0
14,2011,2011-12-19,14,23.124,SFO,,PIT,W 20-3,,0,0,0.0,5,0,0,0,0
15,2011,2011-12-24,15,23.129,SFO,@,SEA,W 19-17,,0,0,0.0,2,0,0,0,0
16,2011,2012-01-01,16,23.137,SFO,@,STL,W 34-27,,0,0,0.0,1,0,0,0,0
17,2012,2012-09-09,1,24.023,SFO,@,GNB,W 30-22,*,0,0,0.0,4,0,0,0,0
18,2012,2012-09-16,2,24.030,SFO,,DET,W 27-19,*,0,0,0.0,2,0,0,0,0
19,2012,2012-09-23,3,24.037,SFO,@,MIN,L 13-24,,0,0,0.0,1,1,0,0,0
20,2012,2012-09-30,4,24.044,SFO,@,NYJ,W 34-0,,0,0,0.0,1,0,0,0,0
21,2012,2012-10-07,5,24.051,SFO,,BUF,W 45-3,*,0,0,0.0,1,1,1,4,0
22,2012,2012-10-14,6,24.058,SFO,,NYG,L 3-26,,0,0,0.0,4,0,0,0,0
23,2012,2012-10-18,7,24.062,SFO,,SEA,W 13-6,,0,0,0.0,2,0,0,0,0
24,2012,2012-10-29,8,24.073,SFO,@,ARI,W 24-3,,0,0,0.0,3,0,1,0,0
25,2012,2012-11-11,9,24.086,SFO,,STL,T 24-24,,0,0,0.0,1,1,0,0,0
26,2012,2012-11-19,10,24.094,SFO,,CHI,W 32-7,,0,0,0.0,1,0,0,0,0
27,2012,2012-11-25,11,24.100,SFO,@,NOR,W 31-21,,0,0,0.0,2,1,0,0,0
28,2012,2012-12-02,12,24.107,SFO,@,STL,L 13-16,,0,0,0.0,5,1,0,0,0
29,2012,2012-12-09,13,24.114,SFO,,MIA,W 27-13,*,0,0,0.0,0,1,0,0,0
30,2012,2012-12-16,14,24.121,SFO,@,NWE,W 41-34,*,0,0,0.0,6,0,0,0,0
31,2012,2012-12-23,15,24.128,SFO,@,SEA,L 13-42,,0,0,0.0,1,1,0,0,0
32,2012,2012-12-30,16,24.135,SFO,,ARI,W 27-13,*,0,0,0.0,2,0,0,0,0
33,2014,2014-09-07,1,26.021,SFO,@,DAL,W 28-17,*,0,6,0.0,1,1,0,0,0
34,2014,2014-09-14,2,26.028,SFO,,CHI,L 20-28,*,0,0,0.0,5,0,0,0,0
35,2014,2014-09-21,3,26.035,SFO,@,ARI,L 14-23,*,0,0,0.0,3,0,0,0,0
36,2014,2014-09-28,4,26.042,SFO,,PHI,W 26-21,*,0,0,0.0,4,0,0,0,0
37,2014,2014-10-05,5,26.049,SFO,,KAN,W 22-17,*,0,0,0.0,3,0,0,0,0
38,2014,2014-10-13,6,26.057,SFO,@,STL,W 31-17,*,0,0,0.0,1,0,0,0,0
39,2014,2014-11-02,8,26.077,SFO,,STL,L 10-13,*,0,0,0.0,1,1,0,0,0
40,2014,2014-11-09,9,26.084,SFO,@,NOR,W 27-24,*,0,0,0.0,5,1,1,29,0
41,2014,2014-11-16,10,26.091,SFO,@,NYG,W 16-10,*,0,0,0.0,3,2,1,1,0
42,2014,2014-11-23,11,26.098,SFO,,WAS,W 17-13,*,0,0,0.0,2,0,0,0,0
43,2014,2014-11-27,12,26.102,SFO,,SEA,L 3-19,*,0,0,0.0,3,2,0,0,0
44,2014,2014-12-07,13,26.112,SFO,@,OAK,L 13-24,*,0,0,0.0,1,0,0,0,0
45,2014,2014-12-20,15,26.125,SFO,,SDG,L 35-38,*,0,0,0.0,3,0,1,24,0
46,2014,2014-12-28,16,26.133,SFO,,ARI,W 20-17,*,0,0,0.0,3,0,1,7,0
47,2015,2015-09-13,1,27.027,WAS,,MIA,L 10-17,*,0,0,0.0,0,1,0,0,0
48,2015,2015-09-24,3,27.038,WAS,@,NYG,L 21-32,*,0,0,0.0,4,0,0,0,0
49,2015,2015-10-04,4,27.048,WAS,,PHI,W 23-20,*,0,0,0.0,1,0,0,0,0
50,2015,2015-11-08,8,27.083,WAS,@,NWE,L 10-27,*,0,0,0.0,2,0,0,0,0
51,2015,2015-11-15,9,27.090,WAS,,NOR,W 47-14,*,0,0,0.0,1,2,0,0,0
52,2015,2015-11-22,10,27.097,WAS,@,CAR,L 16-44,*,0,0,0.0,5,0,0,0,0
