ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2013,2013-10-13,6,23.105,BUF,,CIN,L 24-27,,,,,,,0.0%,,,
2,2013,2013-10-20,7,23.112,BUF,@,MIA,W 23-21,,,,,,,0.0%,,,
3,2013,2013-10-27,8,23.119,BUF,@,NOR,L 17-35,,,,,,,0.0%,,,
4,2013,2013-11-03,9,23.126,BUF,,KAN,L 13-23,,,,,,,0.0%,,,
5,2013,2013-11-10,10,23.133,BUF,@,PIT,L 10-23,,6,4,25,6.25,1,66.7%,4.17,1,6
6,2013,2013-11-17,11,23.140,BUF,,NYJ,W 37-14,,,,,,,0.0%,,,
7,2013,2013-12-08,13,23.161,BUF,@,TAM,L 6-27,*,,,,,,0.0%,,,
8,2013,2013-12-15,14,23.168,BUF,@,JAX,W 27-20,,1,1,28,28.00,0,100.0%,28.00,0,0
9,2013,2013-12-22,15,23.175,BUF,,MIA,W 19-0,,,,,,,0.0%,,,
10,2014,2014-09-07,1,24.069,BUF,@,CHI,W 23-20,*,,,,,,0.0%,,,
11,2014,2014-09-14,2,24.076,BUF,,MIA,W 29-10,*,2,1,14,14.00,0,50.0%,7.00,0,0
12,2014,2014-09-28,4,24.090,BUF,@,HOU,L 17-23,,,,,,,0.0%,,,
13,2014,2014-10-05,5,24.097,BUF,@,DET,W 17-14,,1,1,2,2.00,1,100.0%,2.00,1,6
14,2014,2014-10-12,6,24.104,BUF,,NWE,L 22-37,*,,,,,,0.0%,,,
15,2014,2014-10-19,7,24.111,BUF,,MIN,W 17-16,,2,2,19,9.50,0,100.0%,9.50,0,0
16,2014,2014-10-26,8,24.118,BUF,@,NYJ,W 43-23,*,,,,,,0.0%,,,
17,2014,2014-11-09,9,24.132,BUF,,KAN,L 13-17,,1,0,0,,0,0.0%,0.00,0,0
18,2014,2014-11-13,10,24.136,BUF,@,MIA,L 9-22,,1,1,2,2.00,0,100.0%,2.00,0,0
19,2014,2014-11-24,11,24.147,BUF,,NYJ,W 38-3,*,3,2,11,5.50,0,66.7%,3.67,0,0
20,2015,2015-10-04,4,25.096,BUF,,NYG,L 10-24,,1,1,15,15.00,0,100.0%,15.00,0,0
21,2015,2015-10-11,5,25.103,BUF,@,TEN,W 14-13,,0,0,0,,0,0.0%,,0,0
22,2015,2015-10-18,6,25.110,BUF,,CIN,L 21-34,,5,5,54,10.80,0,100.0%,10.80,0,0
23,2015,2015-10-25,7,25.117,BUF,@,JAX,L 31-34,,7,2,35,17.50,0,28.6%,5.00,0,0
24,2015,2015-11-08,8,25.131,BUF,,MIA,W 33-17,,0,0,0,,0,0.0%,,0,0
25,2015,2015-11-12,9,25.135,BUF,@,NYJ,W 22-17,,0,0,0,,0,0.0%,,0,0
26,2015,2015-11-23,10,25.146,BUF,@,NWE,L 13-20,,1,0,0,,0,0.0%,0.00,0,0
27,2015,2015-11-29,11,25.152,BUF,@,KAN,L 22-30,,0,0,0,,0,0.0%,,0,0
28,2015,2015-12-06,12,25.159,BUF,,HOU,W 30-21,*,0,0,0,,0,0.0%,,0,0
29,2015,2015-12-13,13,25.166,BUF,@,PHI,L 20-23,*,2,1,11,11.00,0,50.0%,5.50,0,0
30,2015,2015-12-20,14,25.173,BUF,@,WAS,L 25-35,*,1,1,16,16.00,0,100.0%,16.00,0,0
31,2015,2015-12-27,15,25.180,BUF,,DAL,W 16-6,,3,2,19,9.50,0,66.7%,6.33,0,0
32,2015,2016-01-03,16,25.187,BUF,,NYJ,W 22-17,*,0,0,0,,0,0.0%,,0,0
