ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2006,2006-10-15,5,23.284,PIT,,KAN,W 45-7,*,,,
2,2006,2006-10-22,6,23.291,PIT,@,ATL,L 38-41,,,,
3,2006,2006-10-29,7,23.298,PIT,@,OAK,L 13-20,*,,,
4,2007,2007-09-09,1,24.248,PIT,@,CLE,W 34-7,,,,
5,2007,2007-09-16,2,24.255,PIT,,BUF,W 26-3,,,,
6,2007,2007-09-23,3,24.262,PIT,,SFO,W 37-16,,,,
7,2007,2007-09-30,4,24.269,PIT,@,ARI,L 14-21,,,,
8,2007,2007-10-07,5,24.276,PIT,,SEA,W 21-0,,,,
9,2007,2007-10-21,6,24.290,PIT,@,DEN,L 28-31,,,,
10,2007,2007-10-28,7,24.297,PIT,@,CIN,W 24-13,,,,
11,2007,2007-11-05,8,24.305,PIT,,BAL,W 38-7,,,,
12,2007,2007-11-11,9,24.311,PIT,,CLE,W 31-28,,,,
13,2007,2007-11-18,10,24.318,PIT,@,NYJ,L 16-19,,,,
14,2007,2007-11-26,11,24.326,PIT,,MIA,W 3-0,,,,
15,2007,2007-12-02,12,24.332,PIT,,CIN,W 24-10,,,,
16,2007,2007-12-09,13,24.339,PIT,@,NWE,L 13-34,,,,
17,2007,2007-12-16,14,24.346,PIT,,JAX,L 22-29,,,,
18,2007,2007-12-20,15,24.350,PIT,@,STL,W 41-24,,,,
19,2007,2007-12-30,16,24.360,PIT,@,BAL,L 21-27,,,,
20,2008,2008-09-07,1,25.247,PIT,,HOU,W 38-17,*,,,
21,2008,2008-09-14,2,25.254,PIT,@,CLE,W 10-6,*,,,
22,2008,2008-09-21,3,25.261,PIT,@,PHI,L 6-15,*,,,
23,2008,2008-09-29,4,25.269,PIT,,BAL,W 23-20,*,,,
24,2008,2008-10-05,5,25.275,PIT,@,JAX,W 26-21,*,,,
25,2008,2008-10-19,6,25.289,PIT,@,CIN,W 38-10,*,,,
26,2008,2008-10-26,7,25.296,PIT,,NYG,L 14-21,*,,,
27,2008,2008-11-03,8,25.304,PIT,@,WAS,W 23-6,*,0.0,1,0
28,2008,2008-11-09,9,25.310,PIT,,IND,L 20-24,*,,,
29,2008,2008-11-16,10,25.317,PIT,,SDG,W 11-10,*,,,
30,2008,2008-11-20,11,25.321,PIT,,CIN,W 27-10,*,,,
31,2008,2008-11-30,12,25.331,PIT,@,NWE,W 33-10,*,,,
32,2008,2008-12-07,13,25.338,PIT,,DAL,W 20-13,*,,,
33,2008,2008-12-14,14,25.345,PIT,@,BAL,W 13-9,*,,,
34,2008,2008-12-21,15,25.352,PIT,@,TEN,L 14-31,*,0.0,0,0
35,2008,2008-12-28,16,25.359,PIT,,CLE,W 31-0,*,,,
36,2009,2009-09-10,1,26.249,PIT,,TEN,W 13-10,*,,,
37,2009,2009-09-20,2,26.259,PIT,@,CHI,L 14-17,*,,,
38,2009,2009-09-27,3,26.266,PIT,@,CIN,L 20-23,*,,,
39,2009,2009-10-04,4,26.273,PIT,,SDG,W 38-28,*,,,
40,2009,2009-10-11,5,26.280,PIT,@,DET,W 28-20,*,,,
41,2009,2009-10-18,6,26.287,PIT,,CLE,W 27-14,*,,,
42,2009,2009-10-25,7,26.294,PIT,,MIN,W 27-17,*,,,
43,2009,2009-11-09,8,26.309,PIT,@,DEN,W 28-10,*,,,
44,2009,2009-11-15,9,26.315,PIT,,CIN,L 12-18,*,,,
45,2009,2009-11-22,10,26.322,PIT,@,KAN,L 24-27,*,,,
46,2009,2009-12-06,12,26.336,PIT,,OAK,L 24-27,*,,,
47,2009,2009-12-10,13,26.340,PIT,@,CLE,L 6-13,*,,,
48,2010,2010-09-12,1,27.251,PIT,,ATL,W 15-9,*,,,
49,2010,2010-09-19,2,27.258,PIT,@,TEN,W 19-11,*,,,
50,2010,2010-09-26,3,27.265,PIT,@,TAM,W 38-13,*,,,
51,2010,2010-10-03,4,27.272,PIT,,BAL,L 14-17,*,,,
52,2010,2010-10-17,5,27.286,PIT,,CLE,W 28-10,*,,,
53,2010,2010-10-24,6,27.293,PIT,@,MIA,W 23-22,*,,,
54,2010,2010-10-31,7,27.300,PIT,@,NOR,L 10-20,*,0.0,1,0
55,2010,2010-11-08,8,27.308,PIT,@,CIN,W 27-21,*,,,
56,2010,2010-11-21,10,27.321,PIT,,OAK,W 35-3,*,,,
57,2010,2010-11-28,11,27.328,PIT,@,BUF,W 19-16,*,,,
58,2010,2010-12-05,12,27.335,PIT,@,BAL,W 13-10,*,,,
59,2010,2010-12-12,13,27.342,PIT,,CIN,W 23-7,*,,,
60,2010,2010-12-19,14,27.349,PIT,,NYJ,L 17-22,*,,,
61,2010,2010-12-23,15,27.353,PIT,,CAR,W 27-3,*,,,
62,2010,2011-01-02,16,27.363,PIT,@,CLE,W 41-9,*,,,
63,2011,2011-09-11,1,28.250,PIT,@,BAL,L 7-35,*,,,
64,2011,2011-09-25,3,28.264,PIT,@,IND,W 23-20,*,,,
65,2011,2011-10-02,4,28.271,PIT,@,HOU,L 10-17,*,,,
66,2011,2011-10-23,7,28.292,PIT,@,ARI,W 32-20,*,,,
67,2011,2011-10-30,8,28.299,PIT,,NWE,W 25-17,*,,,
68,2011,2011-11-06,9,28.306,PIT,,BAL,L 20-23,*,,,
69,2011,2011-11-13,10,28.313,PIT,@,CIN,W 24-17,*,,,
70,2011,2011-11-27,11,28.327,PIT,@,KAN,W 13-9,,,,
71,2011,2011-12-04,12,28.334,PIT,,CIN,W 35-7,,,,
72,2011,2011-12-08,13,28.338,PIT,,CLE,W 14-3,,,,
73,2011,2011-12-19,14,28.349,PIT,@,SFO,L 3-20,,,,
74,2011,2011-12-24,15,28.354,PIT,,STL,W 27-0,,,,
75,2011,2012-01-01,16,28.362,PIT,@,CLE,W 13-9,*,,,
