ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-15,2,22.144,PIT,,DEN,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,
2,1986,1986-09-21,3,22.150,PIT,@,MIN,L 7-31,3,16,5.33,0,1,9,9.00,0,0,0,,0,0,0
3,1986,1986-09-28,4,22.157,PIT,@,HOU,W 22-16,0,0,,0,0,0,,0,0,0,,0,0,
4,1986,1986-10-05,5,22.164,PIT,,CLE,L 24-27,0,0,,0,0,0,,0,2,27,13.50,0,0,0
5,1986,1986-10-19,7,22.178,PIT,,NWE,L 0-34,0,0,,0,0,0,,0,6,121,20.17,0,0,0
6,1986,1986-10-26,8,22.185,PIT,,CIN,W 30-9,0,0,,0,0,0,,0,0,0,,0,0,
7,1986,1986-11-02,9,22.192,PIT,,GNB,W 27-3,1,-4,-4.00,0,1,10,10.00,0,0,0,,0,0,0
8,1986,1986-11-09,10,22.199,PIT,@,BUF,L 12-16,0,0,,0,0,0,,0,0,0,,0,0,
9,1986,1986-11-16,11,22.206,PIT,,HOU,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,
10,1986,1986-11-23,12,22.213,PIT,@,CLE,L 31-37,0,0,,0,0,0,,0,0,0,,0,0,
11,1986,1986-11-30,13,22.220,PIT,@,CHI,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,
12,1986,1986-12-07,14,22.227,PIT,,DET,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,
13,1986,1986-12-13,15,22.233,PIT,@,NYJ,W 45-24,0,0,,0,0,0,,0,0,0,,0,0,
14,1986,1986-12-21,16,22.241,PIT,,KAN,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,
15,1987,1987-10-04,3,23.163,PIT,@,ATL,W 28-12,3,12,4.00,0,1,11,11.00,0,0,0,,0,0,0
16,1987,1987-10-11,4,23.170,PIT,@,RAM,L 21-31,0,0,,0,0,0,,0,,,,,0,
17,1987,1987-10-18,5,23.177,PIT,,IND,W 21-7,8,53,6.63,1,0,0,,0,0,0,,0,1,6
18,1987,1987-10-25,6,23.184,PIT,,CIN,W 23-20,0,0,,0,0,0,,0,,,,,0,
19,1987,1987-11-01,7,23.191,PIT,@,MIA,L 24-35,0,0,,0,0,0,,0,,,,,0,
