ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1957,1957-09-29,1,22.006,PHI,@,RAM,L 13-17,4,10,2.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
2,1957,1957-10-05,2,22.012,PHI,,NYG,L 20-24,6,8,1.33,1,1,4,4.00,0,0,0,,0,0,,,,,,,,,,,1,
3,1957,1957-10-13,3,22.020,PHI,@,CLE,L 7-24,10,22,2.20,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
4,1957,1957-10-20,4,22.027,PHI,,CLE,W 17-7,18,72,4.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
5,1957,1957-10-27,5,22.034,PHI,@,PIT,L 0-6,7,9,1.29,0,3,19,6.33,0,0,0,,0,0,,,,,,,,,,,0,
6,1957,1957-11-03,6,22.041,PHI,@,CRD,W 38-21,9,78,8.67,0,3,32,10.67,0,0,0,,0,0,,,,,,,,,,,0,
7,1957,1957-11-10,7,22.048,PHI,,DET,L 16-27,5,27,5.40,0,3,-9,-3.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,0,
8,1957,1957-11-17,8,22.055,PHI,@,NYG,L 0-13,15,57,3.80,0,0,0,,0,1,1,100.00,37,0,0,118.7,0,0,37.00,37.00,,,,,0,
9,1957,1957-11-24,9,22.062,PHI,,WAS,W 21-12,7,38,5.43,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
10,1957,1957-12-01,10,22.069,PHI,,PIT,W 7-6,20,93,4.65,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
11,1957,1957-12-08,11,22.076,PHI,@,WAS,L 7-42,12,33,2.75,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
12,1957,1957-12-14,12,22.082,PHI,,CRD,L 27-31,12,48,4.00,0,1,53,53.00,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,,,,,0,
13,1958,1958-09-28,1,23.005,PHI,,WAS,L 14-24,11,21,1.91,0,1,5,5.00,0,0,0,,0,0,,,,,,,,,,,0,
14,1958,1958-10-05,2,23.012,PHI,,NYG,W 27-24,7,16,2.29,0,3,25,8.33,1,0,0,,0,0,,,,,,,,,,,1,
15,1958,1958-10-12,3,23.019,PHI,@,PIT,L 3-24,9,31,3.44,0,3,25,8.33,0,0,0,,0,0,,,,,,,,,,,0,
16,1958,1958-10-19,4,23.026,PHI,,SFO,L 24-30,12,46,3.83,0,3,18,6.00,0,0,0,,0,0,,,,,,,,,,,0,
17,1958,1958-10-26,5,23.033,PHI,@,GNB,L 35-38,4,12,3.00,0,3,4,1.33,0,0,0,,0,0,,,,,,,,,,,0,
18,1958,1958-11-09,7,23.047,PHI,,PIT,L 24-31,14,65,4.64,0,2,7,3.50,0,0,0,,0,0,,,,,,,,,,,0,
19,1958,1958-11-16,8,23.054,PHI,,CRD,W 49-21,15,42,2.80,3,5,71,14.20,1,0,0,,0,0,,,,,,,,,,,4,
20,1958,1958-11-23,9,23.061,PHI,@,CLE,L 14-28,12,44,3.67,0,3,46,15.33,0,0,0,,0,0,,,,,,,,,,,0,
21,1958,1958-11-30,10,23.068,PHI,@,NYG,L 10-24,12,48,4.00,0,2,30,15.00,0,0,0,,0,0,,,,,,,,,,,0,
22,1958,1958-12-07,11,23.075,PHI,,CLE,L 14-21,13,50,3.85,0,4,17,4.25,0,0,0,,0,0,,,,,,,,,,,0,
23,1958,1958-12-14,12,23.082,PHI,@,WAS,L 0-20,6,11,1.83,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
24,1959,1959-09-27,1,24.004,PHI,@,SFO,L 14-24,4,18,4.50,0,2,17,8.50,0,0,0,,0,0,,,,,,,,,,,0,
25,1959,1959-10-04,2,24.011,PHI,,NYG,W 49-21,8,13,1.63,0,1,10,10.00,0,0,0,,0,0,,,,,,,,,,,0,
26,1959,1959-10-11,3,24.018,PHI,,PIT,W 28-24,14,42,3.00,0,3,21,7.00,0,0,0,,0,0,,,,,,,,,,,0,
27,1959,1959-10-18,4,24.025,PHI,@,NYG,L 7-24,11,33,3.00,0,2,6,3.00,0,0,0,,0,0,,,,,,,,,,,0,
28,1959,1959-10-25,5,24.032,PHI,@,CRD,W 28-24,10,40,4.00,0,2,14,7.00,0,0,0,,0,0,,,,,,,,,,,0,
29,1959,1959-11-01,6,24.039,PHI,,WAS,W 30-23,12,57,4.75,1,6,40,6.67,0,0,0,,0,0,,,,,,,,,,,1,
30,1959,1959-11-08,7,24.046,PHI,@,CLE,L 7-28,9,32,3.56,0,4,38,9.50,0,0,0,,0,0,,,,,,,,,,,0,
31,1959,1959-11-15,8,24.053,PHI,,CRD,W 27-17,18,84,4.67,1,1,19,19.00,0,0,0,,0,0,,,,,,,,,,,1,
32,1959,1959-11-22,9,24.060,PHI,,RAM,W 23-20,12,63,5.25,1,5,38,7.60,0,0,0,,0,0,,,,,,,,,,,1,
33,1959,1959-11-29,10,24.067,PHI,@,PIT,L 0-31,6,11,1.83,0,2,6,3.00,0,0,0,,0,0,,,,,,,,,,,0,
34,1959,1959-12-06,11,24.074,PHI,@,WAS,W 34-14,15,60,4.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
35,1959,1959-12-13,12,24.081,PHI,,CLE,L 21-28,5,-2,-0.40,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
36,1960,1960-09-25,1,25.002,PHI,,CLE,L 24-41,11,20,1.82,0,4,35,8.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
37,1960,1960-09-30,2,25.007,PHI,@,DAL,W 27-25,15,68,4.53,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
38,1960,1960-10-09,3,25.016,PHI,,STL,W 31-27,11,73,6.64,1,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
39,1960,1960-10-16,4,25.023,PHI,,DET,W 28-10,14,88,6.29,2,3,10,3.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
40,1960,1960-10-23,5,25.030,PHI,@,CLE,W 31-29,13,102,7.85,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
