ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1961,1961-10-08,4,22.309,HOU,,BUF,L 12-22,0,0,,0,0,0,,0,1,16,16.00,0,1,4,4.00,0,0,0
2,1961,1961-10-13,5,22.314,HOU,@,BOS,T 31-31,0,0,,0,0,0,,0,3,105,35.00,0,0,0,,0,0,0
3,1961,1961-10-22,6,22.323,HOU,,DTX,W 38-7,4,19,4.75,1,1,9,9.00,0,0,0,,0,1,10,10.00,0,1,6
4,1961,1961-10-29,7,22.330,HOU,@,BUF,W 28-16,1,4,4.00,0,0,0,,0,1,17,17.00,0,2,14,7.00,0,0,0
5,1961,1961-11-05,8,22.337,HOU,@,DEN,W 55-14,3,19,6.33,1,0,0,,0,0,0,,0,1,2,2.00,0,1,6
6,1961,1961-11-12,9,22.344,HOU,,BOS,W 27-15,3,9,3.00,0,0,0,,0,1,31,31.00,0,0,0,,0,0,0
7,1961,1961-11-19,10,22.351,HOU,,NYT,W 49-13,0,0,,0,1,30,30.00,0,0,0,,0,0,0,,0,0,0
8,1961,1961-11-26,11,22.358,HOU,,DEN,W 45-14,1,-1,-1.00,0,1,44,44.00,1,0,0,,0,1,2,2.00,0,1,6
9,1961,1961-12-03,12,23.000,HOU,,SDG,W 33-13,0,0,,0,0,0,,0,1,14,14.00,0,1,0,0.00,0,0,0
10,1961,1961-12-17,14,23.014,HOU,@,OAK,W 47-16,0,0,,0,0,0,,0,1,7,7.00,0,0,0,,0,0,0
11,1962,1962-09-08,1,23.279,BOS,@,DTX,L 28-42,0,0,,0,0,0,,0,2,35,17.50,0,0,0,,0,0,0
12,1962,1962-09-16,2,23.287,BOS,,HOU,W 34-21,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
13,1962,1962-09-21,3,23.292,BOS,,DEN,W 41-16,2,70,35.00,1,2,40,20.00,0,0,0,,0,0,0,,0,1,6
14,1962,1962-10-06,4,23.307,BOS,@,NYT,W 43-14,8,47,5.88,0,1,2,2.00,0,1,18,18.00,0,0,0,,0,0,0
15,1962,1962-10-12,5,23.313,BOS,,DTX,L 7-27,3,11,3.67,0,2,0,0.00,0,0,0,,0,0,0,,0,0,0
16,1962,1962-10-19,6,23.320,BOS,,SDG,W 24-20,6,6,1.00,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0
17,1962,1962-10-26,7,23.327,BOS,,OAK,W 26-16,1,1,1.00,0,0,0,,0,1,28,28.00,0,0,0,,0,0,0
18,1962,1962-11-03,8,23.335,BOS,@,BUF,T 28-28,0,0,,0,0,0,,0,1,15,15.00,0,0,0,,0,0,0
19,1962,1962-11-11,9,23.343,BOS,@,DEN,W 33-29,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
20,1962,1962-12-09,13,24.006,BOS,@,SDG,W 20-14,0,0,,0,0,0,,0,2,35,17.50,0,0,0,,0,0,0
