ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1977,1977-09-18,1,22.266,HOU,,NYJ,W 20-0,,0,0,,0,0,0,,0,0,,,5,192,38.40,0
2,1977,1977-09-25,2,22.273,HOU,@,GNB,W 16-10,,0,0,,0,0,0,,0,0,,,7,245,35.00,0
3,1977,1977-10-02,3,22.280,HOU,@,MIA,L 7-27,,0,0,,0,0,0,,0,0,,,5,223,44.60,1
4,1977,1977-10-09,4,22.287,HOU,,PIT,W 27-10,,0,0,,0,0,0,,0,0,,,7,266,38.00,0
5,1977,1977-10-16,5,22.294,HOU,,CLE,L 23-24,,0,0,,0,0,0,,0,0,,,6,219,36.50,0
6,1977,1977-10-23,6,22.301,HOU,@,PIT,L 10-27,,0,0,,0,0,0,,0,0,,,6,261,43.50,0
7,1977,1977-10-30,7,22.308,HOU,@,CIN,L 10-13,,0,0,,0,0,0,,0,0,,,6,249,41.50,1
8,1977,1977-11-06,8,22.315,HOU,,CHI,W 47-0,,0,0,,0,0,0,,0,0,,,4,181,45.25,0
9,1977,1977-11-13,9,22.322,HOU,@,OAK,L 29-34,,0,0,,0,0,0,,0,0,,,2,91,45.50,0
10,1977,1977-11-20,10,22.329,HOU,@,SEA,W 22-10,,0,0,,0,0,0,,0,0,,,4,123,30.75,0
11,1977,1977-11-27,11,22.336,HOU,,KAN,W 34-20,,0,0,,0,0,0,,0,0,,,5,229,45.80,0
12,1977,1977-12-04,12,22.343,HOU,,DEN,L 14-24,,0,0,,0,0,0,,0,0,,,8,318,39.75,0
13,1977,1977-12-11,13,22.350,HOU,@,CLE,W 19-15,,0,0,,0,0,0,,0,0,,,8,275,34.38,0
14,1977,1977-12-18,14,22.357,HOU,,CIN,W 21-16,,0,0,,0,0,0,,0,0,,,4,158,39.50,0
15,1978,1978-09-03,1,23.251,HOU,@,ATL,L 14-20,,0,0,,0,0,0,,0,0,,,9,334,37.11,1
16,1978,1978-09-10,2,23.258,HOU,@,KAN,W 20-17,,0,0,,0,0,0,,0,0,,,5,213,42.60,0
17,1978,1978-09-17,3,23.265,HOU,,SFO,W 20-19,,0,0,,0,0,0,,0,0,,,4,157,39.25,0
18,1978,1978-09-24,4,23.272,HOU,,RAM,L 6-10,,0,0,,0,0,0,,0,0,,,5,153,30.60,0
19,1978,1978-10-01,5,23.279,HOU,@,CLE,W 16-13,,0,0,,0,0,0,,0,0,,,4,143,35.75,0
20,1978,1978-10-08,6,23.286,HOU,@,OAK,L 17-21,,0,0,,0,0,0,,0,0,,,6,232,38.67,0
21,1978,1978-10-15,7,23.293,HOU,,BUF,W 17-10,,0,0,,0,0,0,,0,0,,,6,210,35.00,0
22,1978,1978-10-23,8,23.301,HOU,@,PIT,W 24-17,,0,0,,0,0,0,,0,0,,,4,162,40.50,0
23,1978,1978-10-29,9,23.307,HOU,@,CIN,L 13-28,,0,0,,0,0,0,,0,0,,,9,320,35.56,0
24,1978,1978-11-05,10,23.314,HOU,,CLE,W 14-10,,0,0,,0,0,0,,0,0,,,7,291,41.57,0
25,1978,1978-11-12,11,23.321,HOU,@,NWE,W 26-23,,0,0,,0,0,0,,0,0,,,3,104,34.67,0
26,1978,1978-11-20,12,23.329,HOU,,MIA,W 35-30,,0,0,,0,0,0,,0,0,,,4,171,42.75,0
27,1978,1978-11-26,13,23.335,HOU,,CIN,W 17-10,,0,0,,0,0,0,,0,0,,,5,215,43.00,0
28,1978,1978-12-03,14,23.342,HOU,,PIT,L 3-13,,0,0,,0,0,0,,0,0,,,5,239,47.80,0
29,1978,1978-12-10,15,23.349,HOU,@,NOR,W 17-12,,0,0,,0,0,0,,0,0,,,7,288,41.14,0
30,1978,1978-12-17,16,23.356,HOU,,SDG,L 24-45,,0,0,,0,0,0,,0,0,,,8,307,38.38,0
31,1979,1979-09-02,1,24.250,HOU,@,WAS,W 29-27,,0,0,,0,0,0,,0,0,,,3,137,45.67,0
32,1979,1979-09-09,2,24.257,HOU,@,PIT,L 7-38,,0,0,,0,0,0,,0,0,,,9,415,46.11,0
33,1979,1979-09-16,3,24.264,HOU,,KAN,W 20-6,,0,0,,0,0,0,,0,0,,,8,336,42.00,0
34,1979,1979-09-23,4,24.271,HOU,@,CIN,W 30-27,,0,0,,0,0,0,,0,0,,,8,338,42.25,0
35,1979,1979-09-30,5,24.278,HOU,,CLE,W 31-10,,0,0,,0,0,0,,0,0,,,6,270,45.00,0
36,1979,1979-10-07,6,24.285,HOU,,STL,L 17-24,,0,0,,0,0,0,,0,0,,,4,172,43.00,0
37,1979,1979-10-14,7,24.292,HOU,@,BAL,W 28-16,,0,0,,0,0,0,,0,0,,,7,271,38.71,0
38,1979,1979-10-21,8,24.299,HOU,@,SEA,L 14-34,,0,0,,0,0,0,,0,0,,,7,256,36.57,0
39,1979,1979-10-28,9,24.306,HOU,,NYJ,W 27-24,,0,0,,0,0,0,,0,0,,,8,356,44.50,0
40,1979,1979-11-05,10,24.314,HOU,@,MIA,W 9-6,,0,0,,0,0,0,,0,0,,,7,255,36.43,0
41,1979,1979-11-11,11,24.320,HOU,,OAK,W 31-17,,0,0,,0,0,0,,0,0,,,2,60,30.00,0
42,1979,1979-11-18,12,24.327,HOU,,CIN,W 42-21,,0,0,,0,0,0,,0,0,,,5,164,32.80,0
43,1979,1979-11-22,13,24.331,HOU,@,DAL,W 30-24,,0,0,,0,0,0,,0,0,,,4,178,44.50,0
44,1979,1979-12-02,14,24.341,HOU,@,CLE,L 7-14,,0,0,,0,0,0,,0,0,,,5,185,37.00,0
45,1979,1979-12-10,15,24.349,HOU,,PIT,W 20-17,,0,0,,0,0,0,,0,0,,,5,174,34.80,0
46,1979,1979-12-16,16,24.355,HOU,,PHI,L 20-26,,0,0,,0,0,0,,0,0,,,5,210,42.00,0
47,1980,1980-09-07,1,25.256,HOU,@,PIT,L 17-31,,0,0,,0,0,0,,0,0,,,7,311,44.43,0
48,1980,1980-09-15,2,25.264,HOU,@,CLE,W 16-7,,0,0,,0,0,0,,0,0,,,3,84,28.00,0
49,1980,1980-09-21,3,25.270,HOU,,BAL,W 21-16,,0,0,,0,0,0,,0,0,,,4,153,38.25,0
50,1980,1980-09-28,4,25.277,HOU,@,CIN,W 13-10,,0,0,,0,0,0,,0,0,,,4,187,46.75,0
51,1980,1980-10-05,5,25.284,HOU,,SEA,L 7-26,,0,0,,0,0,0,,0,0,,,5,213,42.60,0
52,1980,1980-10-12,6,25.291,HOU,@,KAN,L 20-21,,0,0,,0,0,0,,0,0,,,1,39,39.00,0
