ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2009,2009-11-08,8,23.033,IND,,HOU,W 20-17,,0.0,0,0
2,2009,2009-11-15,9,23.040,IND,,NWE,W 35-34,,0.0,0,0
3,2009,2009-11-22,10,23.047,IND,@,BAL,W 17-15,,,,
4,2009,2009-11-29,11,23.054,IND,@,HOU,W 35-27,,0.0,0,0
5,2009,2009-12-06,12,23.061,IND,,TEN,W 27-17,,0.0,0,0
6,2009,2009-12-13,13,23.068,IND,,DEN,W 28-16,,0.0,0,0
7,2009,2009-12-17,14,23.072,IND,@,JAX,W 35-31,,,,
8,2009,2009-12-27,15,23.082,IND,,NYJ,L 15-29,,,,
9,2009,2010-01-03,16,23.089,IND,@,BUF,L 7-30,,0.0,2,2
10,2010,2010-09-19,2,23.348,IND,,NYG,W 38-14,,0.0,0,0
11,2010,2010-09-26,3,23.355,IND,@,DEN,W 27-13,,0.0,1,0
12,2010,2010-10-03,4,23.362,IND,@,JAX,L 28-31,,0.0,0,0
13,2010,2010-10-10,5,24.004,IND,,KAN,W 19-9,,0.0,0,1
14,2010,2010-10-17,6,24.011,IND,@,WAS,W 27-24,,0.0,0,1
15,2010,2010-11-01,7,24.026,IND,,HOU,W 30-17,,0.0,0,1
16,2010,2010-11-07,8,24.032,IND,@,PHI,L 24-26,,,,
17,2010,2010-11-14,9,24.039,IND,,CIN,W 23-17,,0.0,0,0
18,2010,2010-11-21,10,24.046,IND,@,NWE,L 28-31,,0.0,0,0
19,2010,2010-11-28,11,24.053,IND,,SDG,L 14-36,,0.0,0,0
