ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,23.189,CAR,,JAX,W 24-23,,,,
2,2003,2003-09-14,2,23.196,CAR,@,TAM,W 12-9,,,,
3,2003,2003-09-28,3,23.210,CAR,,ATL,W 23-3,,,,
4,2003,2003-10-05,4,23.217,CAR,,NOR,W 19-13,,,,
5,2003,2003-10-12,5,23.224,CAR,@,IND,W 23-20,,,,
6,2003,2003-10-19,6,23.231,CAR,,TEN,L 17-37,,,,
7,2003,2003-10-26,7,23.238,CAR,@,NOR,W 23-20,,,,
8,2003,2003-11-02,8,23.245,CAR,@,HOU,L 10-14,,,,
9,2003,2003-11-09,9,23.252,CAR,,TAM,W 27-24,,,,
10,2003,2003-11-16,10,23.259,CAR,,WAS,W 20-17,,,,
11,2003,2003-11-23,11,23.266,CAR,@,DAL,L 20-24,,,,
12,2003,2003-11-30,12,23.273,CAR,,PHI,L 16-25,,,,
13,2003,2003-12-07,13,23.280,CAR,@,ATL,L 14-20,,,,
14,2003,2003-12-14,14,23.287,CAR,@,ARI,W 20-17,,,,
15,2003,2003-12-21,15,23.294,CAR,,DET,W 20-14,,,,
16,2003,2003-12-28,16,23.301,CAR,@,NYG,W 37-24,,,,
17,2004,2004-09-13,1,24.195,CAR,,GNB,L 14-24,*,,,
18,2004,2004-09-19,2,24.201,CAR,@,KAN,W 28-17,*,,,
19,2004,2004-10-03,3,24.215,CAR,,ATL,L 10-27,*,,,
20,2004,2004-10-10,4,24.222,CAR,@,DEN,L 17-20,*,,,
21,2004,2004-10-17,5,24.229,CAR,@,PHI,L 8-30,*,,,
22,2004,2004-10-24,6,24.236,CAR,,SDG,L 6-17,,,,
23,2004,2004-10-31,7,24.243,CAR,@,SEA,L 17-23,*,,,
24,2004,2004-11-07,8,24.250,CAR,,OAK,L 24-27,*,,,
25,2004,2004-11-14,9,24.257,CAR,@,SFO,W 37-27,*,,,
26,2004,2004-11-21,10,24.264,CAR,,ARI,W 35-10,*,2,79,0
27,2004,2004-11-28,11,24.271,CAR,,TAM,W 21-14,*,,,
28,2004,2004-12-05,12,24.278,CAR,@,NOR,W 32-21,*,,,
29,2004,2004-12-12,13,24.285,CAR,,STL,W 20-7,*,,,
30,2004,2004-12-18,14,24.291,CAR,@,ATL,L 31-34,*,,,
31,2004,2004-12-26,15,24.299,CAR,@,TAM,W 37-20,*,1,0,0
32,2004,2005-01-02,16,24.306,CAR,,NOR,L 18-21,*,,,
33,2006,2006-09-10,1,26.192,CAR,,ATL,L 6-20,,,,
34,2006,2006-09-17,2,26.199,CAR,@,MIN,L 13-16,,,,
35,2006,2006-09-24,3,26.206,CAR,@,TAM,W 26-24,*,,,
36,2006,2006-10-01,4,26.213,CAR,,NOR,W 21-18,*,,,
37,2006,2006-10-08,5,26.220,CAR,,CLE,W 20-12,*,,,
38,2006,2006-10-15,6,26.227,CAR,@,BAL,W 23-21,*,1,0,0
39,2006,2006-10-22,7,26.234,CAR,@,CIN,L 14-17,,,,
40,2006,2006-10-29,8,26.241,CAR,,DAL,L 14-35,,,,
41,2006,2006-11-13,9,26.256,CAR,,TAM,W 24-10,,,,
42,2006,2006-11-19,10,26.262,CAR,,STL,W 15-0,,,,
43,2006,2006-11-26,11,26.269,CAR,@,WAS,L 13-17,,,,
44,2006,2006-12-04,12,26.277,CAR,@,PHI,L 24-27,,,,
45,2006,2006-12-10,13,26.283,CAR,,NYG,L 13-27,,,,
46,2006,2006-12-17,14,26.290,CAR,,PIT,L 3-37,,,,
47,2006,2006-12-24,15,26.297,CAR,@,ATL,W 10-3,,,,
48,2006,2006-12-31,16,26.304,CAR,@,NOR,W 31-21,,,,
