ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-13,1,24.027,GNB,@,CAR,W 24-14,,,,,,,,,,,
2,2004,2004-09-19,2,24.033,GNB,,CHI,L 10-21,,,,,,,,,,,
3,2004,2004-09-26,3,24.040,GNB,@,IND,L 31-45,,,,,,,,,,,
4,2004,2004-10-03,4,24.047,GNB,,NYG,L 7-14,,,,,,,,,,,
5,2004,2004-10-11,5,24.055,GNB,,TEN,L 27-48,,,,,,,,,,,
6,2004,2004-10-17,6,24.061,GNB,@,DET,W 38-10,,,,,,,,,,,
7,2004,2004-10-24,7,24.068,GNB,,DAL,W 41-20,,,,,,,,,,,
8,2004,2004-10-31,8,24.075,GNB,@,WAS,W 28-14,,,,,,,,,,,
9,2004,2004-11-14,9,24.089,GNB,,MIN,W 34-31,,,,,,,,,,,
10,2004,2004-12-19,14,24.124,GNB,,JAX,L 25-28,,,,,,,,,,,
11,2004,2004-12-24,15,24.129,GNB,@,MIN,W 34-31,,,,,,,,,,,
12,2004,2005-01-02,16,24.138,GNB,@,CHI,W 31-14,,0,0,,0,1.0,,,0,0,0
13,2005,2005-09-11,1,25.025,GNB,@,DET,L 3-17,,,,,,,,,,,
14,2005,2005-09-18,2,25.032,GNB,,CLE,L 24-26,,,,,,,,,,,
15,2005,2005-09-25,3,25.039,GNB,,TAM,L 16-17,,,,,,,,,,,
16,2005,2005-10-03,4,25.047,GNB,@,CAR,L 29-32,,,,,,,,,,,
17,2005,2005-10-09,5,25.053,GNB,,NOR,W 52-3,,0,0,,0,2.0,,,0,0,0
18,2005,2005-10-23,6,25.067,GNB,@,MIN,L 20-23,,,,,,,,,,,
19,2005,2005-10-30,7,25.074,GNB,@,CIN,L 14-21,,,,,,,,,,,
20,2005,2005-11-06,8,25.081,GNB,,PIT,L 10-20,,1,14,14.00,0,0.0,,,0,0,0
