ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,21.342,SDG,,CHI,W 14-3,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0,0.0,,
2,2007,2007-09-16,2,21.349,SDG,@,NWE,L 14-38,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
3,2007,2007-09-23,3,21.356,SDG,@,GNB,L 24-31,,6,4,31,7.75,1,66.7%,5.17,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,
4,2007,2007-09-30,4,21.363,SDG,,KAN,L 16-30,,4,1,8,8.00,0,25.0%,2.00,1,4,4.00,0,0,0,,0,0,0,,0,0,0,0.0,,
5,2007,2007-10-07,5,22.005,SDG,@,DEN,W 41-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
6,2007,2007-10-14,6,22.012,SDG,,OAK,W 28-14,,2,2,30,15.00,0,100.0%,15.00,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,0.0,,
7,2007,2007-11-11,9,22.040,SDG,,IND,W 23-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
8,2007,2007-11-18,10,22.047,SDG,@,JAX,L 17-24,,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
9,2007,2007-11-25,11,22.054,SDG,,BAL,W 32-14,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
10,2007,2007-12-02,12,22.061,SDG,@,KAN,W 24-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
11,2007,2007-12-09,13,22.068,SDG,@,TEN,W 23-17,,4,2,2,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,3,44,14.67,0,0,0,0.0,,
12,2007,2007-12-16,14,22.075,SDG,,DET,W 51-14,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0.0,,
13,2007,2007-12-24,15,22.083,SDG,,DEN,W 23-3,,2,2,27,13.50,0,100.0%,13.50,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0.0,,
14,2007,2007-12-30,16,22.089,SDG,@,OAK,W 30-17,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,,
15,2008,2008-09-14,2,22.348,SDG,@,DEN,L 38-39,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
16,2008,2008-09-22,3,22.356,SDG,,NYJ,W 48-29,,3,3,43,14.33,0,100.0%,14.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2008,2008-09-28,4,22.362,SDG,@,OAK,W 28-18,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
18,2008,2008-10-05,5,23.003,SDG,@,MIA,L 10-17,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2009,2010-01-03,16,24.093,SDG,,WAS,W 23-20,,7,6,52,8.67,0,85.7%,7.43,1,4,4.00,0,4,79,19.75,0,0,0,,0,0,0,0.0,1,0
20,2010,2010-09-13,1,24.346,SDG,@,KAN,L 14-21,,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2010,2010-09-19,2,24.352,SDG,,JAX,W 38-13,,6,5,48,9.60,0,83.3%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2010,2010-09-26,3,24.359,SDG,@,SEA,L 20-27,,3,3,82,27.33,0,100.0%,27.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2010,2010-10-03,4,25.001,SDG,,ARI,W 41-10,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
24,2010,2010-10-10,5,25.008,SDG,@,OAK,L 27-35,,7,2,11,5.50,0,28.6%,1.57,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
25,2010,2010-10-17,6,25.015,SDG,@,STL,L 17-20,,8,3,39,13.00,1,37.5%,4.88,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
26,2010,2010-10-24,7,25.022,SDG,,NWE,L 20-23,*,10,6,53,8.83,0,60.0%,5.30,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
