ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1975,1975-09-21,1,23.249,DET,@,GNB,W 30-16
2,1975,1975-10-06,3,23.264,DET,,DAL,L 10-36
3,1975,1975-10-12,4,23.270,DET,,CHI,W 27-7
4,1975,1975-10-19,5,23.277,DET,@,MIN,L 19-25
5,1975,1975-10-26,6,23.284,DET,@,HOU,L 8-24
6,1975,1975-11-09,8,23.298,DET,,CLE,W 21-10
7,1975,1975-11-16,9,23.305,DET,,GNB,W 13-10
8,1975,1975-12-07,12,23.326,DET,@,CHI,L 21-25
9,1975,1975-12-14,13,23.333,DET,,MIN,W 17-10
10,1976,1976-09-12,1,24.241,DET,@,CHI,L 3-10
11,1976,1976-09-19,2,24.248,DET,,ATL,W 24-10
12,1976,1976-09-26,3,24.255,DET,,MIN,L 9-10
13,1976,1976-10-03,4,24.262,DET,@,GNB,L 14-24
14,1976,1976-10-10,5,24.269,DET,,NWE,W 30-10
15,1976,1976-10-17,6,24.276,DET,@,WAS,L 7-20
16,1976,1976-10-24,7,24.283,DET,@,SEA,W 41-14
17,1976,1976-10-31,8,24.290,DET,,GNB,W 27-6
18,1976,1976-11-07,9,24.297,DET,@,MIN,L 23-31
19,1976,1976-11-14,10,24.304,DET,@,NOR,L 16-17
20,1976,1976-11-21,11,24.311,DET,,CHI,W 14-10
21,1976,1976-11-25,12,24.315,DET,,BUF,W 27-14
22,1976,1976-12-05,13,24.325,DET,@,NYG,L 10-24
23,1976,1976-12-11,14,24.331,DET,,RAM,L 17-20
24,1977,1977-09-18,1,25.246,DET,@,CHI,L 20-30
25,1977,1977-09-25,2,25.253,DET,,NOR,W 23-19
26,1977,1977-10-02,3,25.260,DET,,PHI,W 17-13
27,1977,1977-10-09,4,25.267,DET,@,MIN,L 7-14
28,1977,1977-10-16,5,25.274,DET,,GNB,W 10-6
29,1977,1977-10-23,6,25.281,DET,@,SFO,L 7-28
30,1977,1977-10-30,7,25.288,DET,@,DAL,L 0-37
31,1977,1977-11-06,8,25.295,DET,,SDG,W 20-0
32,1977,1977-11-13,9,25.302,DET,@,ATL,L 6-17
33,1977,1977-11-20,10,25.309,DET,,TAM,W 16-7
34,1977,1977-11-24,11,25.313,DET,,CHI,L 14-31
35,1977,1977-12-04,12,25.323,DET,@,GNB,L 9-10
36,1977,1977-12-11,13,25.330,DET,@,BAL,W 13-10
37,1977,1977-12-17,14,25.336,DET,,MIN,L 21-30
