ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-10-17,6,23.317,CHI,,PHI,L 16-20,,1,,,,,0.0%,,,,,,,,,,,,,,,
2,1999,1999-10-24,7,23.324,CHI,@,TAM,L 3-6,,,,,,,0.0%,,,,,,,,,,,,,,,
3,1999,1999-10-31,8,23.331,CHI,@,WAS,L 22-48,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,0
4,1999,1999-11-07,9,23.338,CHI,@,GNB,W 14-13,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0
5,1999,1999-11-14,10,23.345,CHI,,MIN,L 24-27,*,,,,,,0.0%,,,,,,,,,,,,,,,
6,1999,1999-12-26,15,24.022,CHI,@,STL,L 12-34,,3,,,,,0.0%,,,,,,,,,,,,,,,
7,1999,2000-01-02,16,24.029,CHI,,TAM,L 6-20,,,,,,,0.0%,,,,,,,,,,,,,,,
8,2000,2000-10-08,6,24.309,CHI,,NOR,L 10-31,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0
9,2000,2000-12-03,13,24.365,CHI,,GNB,L 6-28,,0,0,0,,0,0.0%,,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0
10,2000,2000-12-10,14,25.006,CHI,,NWE,W 24-17,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,0
11,2000,2000-12-17,15,25.013,CHI,@,SFO,L 0-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0
12,2000,2000-12-24,16,25.020,CHI,@,DET,W 23-20,,1,,,,,0.0%,,,,,,,,,,,,,,,
13,2001,2001-10-28,6,25.328,CHI,,SFO,W 37-31,,,,,,,0.0%,,,,,,,,,,,,,,,
14,2001,2001-11-04,7,25.335,CHI,,CLE,W 27-21,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,0
15,2001,2001-11-11,8,25.342,CHI,,GNB,L 12-20,,1,,,,,0.0%,,,,,,,,,,,,,,,
16,2001,2001-11-18,9,25.349,CHI,@,TAM,W 27-24,,0,,,,,0.0%,,,,,,,,,,,,,,,
17,2001,2001-11-25,10,25.356,CHI,@,MIN,W 13-6,,,,,,,0.0%,,,,,,,,,,,,,,,
18,2001,2001-12-02,11,25.363,CHI,,DET,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,,,
19,2001,2001-12-09,12,26.005,CHI,@,GNB,L 7-17,,,,,,,0.0%,,,,,,,,,,,,,,,
20,2001,2001-12-16,13,26.012,CHI,,TAM,W 27-3,,,,,,,0.0%,,,,,,,,,,,,,,,
21,2001,2001-12-23,14,26.019,CHI,@,WAS,W 20-15,,,,,,,0.0%,,,,,,,,,,,,,,,
22,2001,2001-12-30,15,26.026,CHI,@,DET,W 24-0,,6,4,107,26.75,1,66.7%,17.83,0,0,,0,0,0,,0,0,0,,0,1,6
23,2001,2002-01-06,16,26.033,CHI,,JAX,W 33-13,*,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,0,0
24,2002,2002-09-08,1,26.278,MIN,@,CHI,L 23-27,*,5,2,50,25.00,0,40.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0
25,2002,2002-09-15,2,26.285,MIN,,BUF,L 39-45,*,3,3,68,22.67,1,100.0%,22.67,0,0,,0,0,0,,0,2,74,37.00,0,1,6
26,2002,2002-09-22,3,26.292,MIN,,CAR,L 14-21,*,7,4,50,12.50,0,57.1%,7.14,0,0,,0,0,0,,0,0,0,,0,0,0
27,2002,2002-09-29,4,26.299,MIN,@,SEA,L 23-48,,5,3,27,9.00,0,60.0%,5.40,0,0,,0,1,15,15.00,0,2,19,9.50,0,0,0
28,2002,2002-10-13,5,26.313,MIN,,DET,W 31-24,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,0
29,2002,2002-10-20,6,26.320,MIN,@,NYJ,L 7-20,,8,6,86,14.33,0,75.0%,10.75,0,0,,0,0,0,,0,0,0,,0,0,0
30,2002,2002-11-10,9,26.341,MIN,,NYG,L 20-27,*,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,0,,0,0,0
31,2002,2002-11-17,10,26.348,MIN,,GNB,W 31-21,,6,2,40,20.00,1,33.3%,6.67,0,0,,0,0,0,,0,0,0,,0,1,6
32,2002,2002-11-24,11,26.355,MIN,@,NWE,L 17-24,*,6,3,29,9.67,1,50.0%,4.83,0,0,,0,0,0,,0,0,0,,0,1,6
33,2002,2002-12-01,12,26.362,MIN,,ATL,L 24-30,*,9,5,70,14.00,0,55.6%,7.78,0,0,,0,0,0,,0,0,0,,0,0,0
34,2002,2002-12-08,13,27.004,MIN,@,GNB,L 22-26,*,9,5,71,14.20,0,55.6%,7.89,0,0,,0,0,0,,0,0,0,,0,0,0
35,2002,2002-12-15,14,27.011,MIN,@,NOR,W 32-31,*,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0
36,2002,2002-12-21,15,27.017,MIN,,MIA,W 20-17,*,7,7,79,11.29,1,100.0%,11.29,0,0,,0,0,0,,0,0,0,,0,1,6
37,2002,2002-12-29,16,27.025,MIN,@,DET,W 38-36,*,6,5,75,15.00,0,83.3%,12.50,0,0,,0,0,0,,0,0,0,,0,0,0
38,2003,2003-09-07,1,27.277,MIN,@,GNB,W 30-25,*,5,2,15,7.50,1,40.0%,3.00,0,0,,0,0,0,,0,0,0,,0,1,6
39,2003,2003-09-14,2,27.284,MIN,,CHI,W 24-13,*,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0
40,2003,2003-10-26,7,27.326,MIN,,NYG,L 17-29,,,,,,,0.0%,,,,,,,,,,,,,,,
41,2003,2003-11-02,8,27.333,MIN,,GNB,L 27-30,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0
42,2003,2003-11-09,9,27.340,MIN,@,SDG,L 28-42,*,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0
43,2003,2003-11-16,10,27.347,MIN,@,OAK,L 18-28,*,4,1,18,18.00,0,25.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,0
44,2003,2003-12-07,13,28.003,MIN,,SEA,W 34-7,*,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,0
45,2003,2003-12-14,14,28.010,MIN,@,CHI,L 10-13,*,1,,,,,0.0%,,,,,,,,,,,,,,,
46,2003,2003-12-20,15,28.016,MIN,,KAN,W 45-20,*,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,0
47,2003,2003-12-28,16,28.024,MIN,@,ARI,L 17-18,*,7,4,44,11.00,0,57.1%,6.29,0,0,,0,0,0,,0,0,0,,0,0,0
