ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2013,2013-09-08,1,23.073,OAK,@,IND,L 17-21,,0,0,,0,0,0,0.0,3,0,0,0,0
2,2013,2013-09-15,2,23.080,OAK,,JAX,W 19-9,,0,0,,0,0,0,0.0,5,0,0,0,0
3,2013,2013-09-23,3,23.088,OAK,@,DEN,L 21-37,*,0,0,,0,0,0,0.0,2,0,0,0,0
4,2013,2013-09-29,4,23.094,OAK,,WAS,L 14-24,,,,,,,,,,,,,
5,2013,2013-10-06,5,23.101,OAK,,SDG,W 27-17,,0,0,,0,0,0,0.0,5,3,1,0,0
6,2013,2013-10-13,6,23.108,OAK,@,KAN,L 7-24,,0,22,,0,0,0,0.0,2,0,0,0,0
7,2013,2013-10-27,7,23.122,OAK,,PIT,W 21-18,,0,0,,0,0,0,0.0,5,0,0,0,0
8,2013,2013-11-03,8,23.129,OAK,,PHI,L 20-49,*,0,0,,0,0,0,0.0,1,0,0,0,0
9,2014,2014-10-26,7,24.121,OAK,@,CLE,L 13-23,,,,,,,,,,,,,
10,2014,2014-11-02,8,24.128,OAK,@,SEA,L 24-30,,0,0,,0,0,0,0.0,5,2,0,0,0
11,2014,2014-11-09,9,24.135,OAK,,DEN,L 17-41,*,0,0,,0,0,0,0.0,3,0,1,-1,0
12,2014,2014-11-16,10,24.142,OAK,@,SDG,L 6-13,*,0,0,,0,0,0,0.0,6,0,0,0,0
13,2014,2014-11-20,11,24.146,OAK,,KAN,W 24-20,*,0,0,,0,0,0,0.0,3,0,0,0,0
14,2014,2014-11-30,12,24.156,OAK,@,STL,L 0-52,*,0,0,,0,0,0,0.0,6,0,0,0,0
15,2014,2014-12-07,13,24.163,OAK,,SFO,W 24-13,*,0,0,,0,0,0,0.0,5,0,0,0,0
16,2014,2014-12-14,14,24.170,OAK,@,KAN,L 13-31,*,0,0,,0,0,0,0.0,4,0,0,0,0
17,2014,2014-12-21,15,24.177,OAK,,BUF,W 26-24,*,0,0,,0,0,0,0.0,6,0,0,0,0
18,2014,2014-12-28,16,24.184,OAK,@,DEN,L 14-47,*,0,0,,0,0,0,0.0,4,3,0,0,0
19,2015,2015-09-13,1,25.078,OAK,,CIN,L 13-33,*,0,0,,0,0,0,0.0,3,1,0,0,0
20,2015,2015-09-20,2,25.085,OAK,,BAL,W 37-33,*,0,0,,0,0,0,0.0,4,2,0,0,0
21,2015,2015-09-27,3,25.092,OAK,@,CLE,W 27-20,*,0,0,,0,0,0,0.0,3,1,0,0,0
22,2015,2015-10-04,4,25.099,OAK,@,CHI,L 20-22,*,0,0,,0,0,0,0.0,4,0,0,0,0
23,2015,2015-10-11,5,25.106,OAK,,DEN,L 10-16,*,0,0,,0,0,0,0.0,5,0,0,0,0
24,2015,2015-10-25,6,25.120,OAK,@,SDG,W 37-29,*,0,0,,0,0,0,0.0,10,0,1,1,0
25,2015,2015-11-01,7,25.127,OAK,,NYJ,W 34-20,*,0,0,,0,0,0,1.0,3,0,0,0,0
26,2015,2015-11-08,8,25.134,OAK,@,PIT,L 35-38,*,0,0,,0,0,0,0.0,11,2,0,0,0
27,2015,2015-11-15,9,25.141,OAK,,MIN,L 14-30,*,0,0,,0,0,0,0.0,3,0,0,0,0
28,2015,2015-11-22,10,25.148,OAK,@,DET,L 13-18,*,0,0,,0,0,0,0.0,4,0,0,0,0
29,2015,2015-11-29,11,25.155,OAK,@,TEN,W 24-21,,0,0,,0,0,0,0.0,0,0,0,0,0
30,2015,2015-12-06,12,25.162,OAK,,KAN,L 20-34,*,0,0,,0,0,0,0.0,2,0,0,0,0
31,2015,2015-12-13,13,25.169,OAK,@,DEN,W 15-12,,0,0,,0,0,0,0.0,3,0,0,0,0
32,2015,2015-12-20,14,25.176,OAK,,GNB,L 20-30,*,0,0,,0,0,0,0.0,3,0,0,0,0
33,2015,2015-12-24,15,25.180,OAK,,SDG,W 23-20,*,0,0,,0,0,0,0.0,5,0,0,0,0
