ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,23.099,TEN,@,CIN,W 23-14,,,,,,,,
2,1998,1998-09-13,2,23.106,TEN,,SDG,L 7-13,,,,,,,,
3,1998,1998-09-20,3,23.113,TEN,@,NWE,L 16-27,,,,,,,,
4,1998,1998-09-27,4,23.120,TEN,,JAX,L 22-27,,,,,,,,
5,1998,1998-10-18,6,23.141,TEN,,CIN,W 44-14,,,,,,,,
6,1998,1998-10-25,7,23.148,TEN,,CHI,L 20-23,,,,,,,,
7,1998,1998-11-01,8,23.155,TEN,@,PIT,W 41-31,,,,,,,,
8,1998,1998-11-08,9,23.162,TEN,@,TAM,W 31-22,,,,,,,,
9,1998,1998-11-15,10,23.169,TEN,,PIT,W 23-14,,,,,,,,
10,1998,1998-11-22,11,23.176,TEN,,NYJ,L 3-24,,,,,,,,
11,1998,1998-11-29,12,23.183,TEN,@,SEA,L 18-20,,,,,,,,
12,1998,1998-12-13,14,23.197,TEN,@,JAX,W 16-13,,,,,,,,
13,1998,1998-12-20,15,23.204,TEN,@,GNB,L 22-30,,,,,,,,
14,1998,1998-12-26,16,23.210,TEN,,MIN,L 16-26,,,,,,,,
15,1999,1999-09-12,1,24.105,TEN,,CIN,W 36-35,,0,0,,0,1,7,0
16,1999,1999-09-19,2,24.112,TEN,,CLE,W 26-9,*,,,,,,,
17,1999,1999-09-26,3,24.119,TEN,@,JAX,W 20-19,,,,,,,,
18,1999,1999-10-03,4,24.126,TEN,@,SFO,L 22-24,,,,,,,,
19,1999,1999-10-10,5,24.133,TEN,,BAL,W 14-11,,,,,,,,
20,1999,1999-10-17,6,24.140,TEN,@,NOR,W 24-21,,,,,,,,
21,1999,1999-10-31,7,24.154,TEN,,STL,W 24-21,,,,,,,,
22,1999,1999-11-07,8,24.161,TEN,@,MIA,L 0-17,,,,,,,,
23,1999,1999-11-14,9,24.168,TEN,@,CIN,W 24-14,,,,,,,,
24,1999,1999-11-21,10,24.175,TEN,,PIT,W 16-10,,,,,,,,
25,1999,1999-11-28,11,24.182,TEN,@,CLE,W 33-21,,,,,,,,
26,1999,1999-12-05,12,24.189,TEN,@,BAL,L 14-41,*,1,4,4.00,0,0,0,0
27,1999,1999-12-09,13,24.193,TEN,,OAK,W 21-14,,,,,,,,
28,1999,1999-12-19,14,24.203,TEN,,ATL,W 30-17,,0,0,,0,2,5,0
29,1999,1999-12-26,15,24.210,TEN,,JAX,W 41-14,,,,,,,,
30,1999,2000-01-02,16,24.217,TEN,@,PIT,W 47-36,,,,,,,,
31,2000,2000-09-03,1,25.096,TEN,@,BUF,L 13-16,*,,,,,,,
32,2000,2000-09-10,2,25.103,TEN,,KAN,W 17-14,,,,,,,,
33,2000,2000-09-24,3,25.117,TEN,@,PIT,W 23-20,,,,,,,,
34,2000,2000-10-01,4,25.124,TEN,,NYG,W 28-14,,0,0,,0,1,19,0
35,2000,2000-10-08,5,25.131,TEN,@,CIN,W 23-14,,,,,,,,
36,2000,2000-10-22,7,25.145,TEN,@,BAL,W 14-6,*,0,0,,0,1,0,0
37,2000,2000-10-30,8,25.153,TEN,@,WAS,W 27-21,,0,0,,0,1,0,0
38,2000,2000-11-05,9,25.159,TEN,,PIT,W 9-7,,,,,,,,
39,2000,2000-11-12,10,25.166,TEN,,BAL,L 23-24,,,,,,,,
40,2000,2000-11-19,11,25.173,TEN,,CLE,W 24-10,,,,,,,,
41,2000,2000-11-26,12,25.180,TEN,@,JAX,L 13-16,,,,,,,,
42,2001,2001-09-09,1,26.102,TEN,,MIA,L 23-31,*,,,,,,,
43,2002,2002-10-06,5,27.129,TEN,,WAS,L 14-31,,,,,,,,
44,2002,2002-10-13,6,27.136,TEN,,JAX,W 23-14,,,,,,,,
45,2002,2002-10-27,7,27.150,TEN,@,CIN,W 30-24,,,,,,,,
46,2002,2002-12-01,12,27.185,TEN,@,NYG,W 32-29,,,,,,,,
47,2003,2003-09-07,1,28.100,BUF,,NWE,W 31-0,,,,,,,,
48,2003,2003-10-12,6,28.135,BUF,@,NYJ,L 3-30,,,,,,,,
