ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-06,1,23.178,CIN,@,SDG,L 13-29,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,7,310,44.29,0
2,1968,1968-09-15,2,23.187,CIN,,DEN,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,6,264,44.00,0
3,1968,1968-09-22,3,23.194,CIN,,BUF,W 34-23,1,11,11.00,0,0,0,,0,0,0,,0,0,,,4,4,100.0,2,4,50.0,0,10,4,150,37.50,0
4,1968,1968-09-29,4,23.201,CIN,,SDG,L 10-31,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,3,33.3,0,4,5,200,40.00,0
5,1968,1968-10-06,5,23.208,CIN,@,DEN,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,2,0.0,0,1,10,431,43.10,0
6,1968,1968-10-13,6,23.215,CIN,@,KAN,L 3-13,0,0,,0,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,8,353,44.13,0
7,1968,1968-10-20,7,23.222,CIN,,MIA,L 22-24,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,5,225,45.00,0
8,1968,1968-10-27,8,23.229,CIN,@,OAK,L 10-31,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,7,310,44.29,0
9,1968,1968-11-03,9,23.236,CIN,,HOU,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,2,84,42.00,0
10,1968,1968-11-10,10,23.243,CIN,,KAN,L 9-16,0,0,,0,0,0,,0,0,0,,0,0,,,,,,3,5,60.0,0,9,3,147,49.00,0
11,1968,1968-11-17,11,23.250,CIN,@,MIA,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,5,224,44.80,0
12,1968,1968-11-24,12,23.257,CIN,,OAK,L 0-34,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,336,42.00,0
13,1968,1968-12-01,13,23.264,CIN,@,BOS,L 14-33,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1968,1968-12-08,14,23.271,CIN,@,NYJ,L 14-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1969,1969-09-14,1,24.186,CIN,,MIA,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,378,42.00,0
16,1969,1969-09-21,2,24.193,CIN,,SDG,W 34-20,1,18,18.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,135,45.00,0
17,1969,1969-09-28,3,24.200,CIN,,KAN,W 24-19,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,292,41.71,0
18,1969,1969-10-04,4,24.206,CIN,@,SDG,L 14-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,347,38.56,0
19,1969,1969-10-12,5,24.214,CIN,,NYJ,L 7-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,180,36.00,1
20,1969,1969-10-19,6,24.221,CIN,,DEN,L 23-30,0,0,,0,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,,,,,,,0,0,5,195,39.00,0
21,1969,1969-10-26,7,24.228,CIN,@,KAN,L 22-42,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,318,39.75,0
22,1969,1969-11-02,8,24.235,CIN,,OAK,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,235,47.00,0
23,1969,1969-11-09,9,24.242,CIN,@,HOU,T 31-31,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,312,44.57,0
24,1969,1969-11-16,10,24.249,CIN,,BOS,L 14-25,0,0,,0,1,1,100.00,-2,0,0,79.2,0,0,-2.00,-2.00,,,,,,,0,0,1,42,42.00,0
25,1969,1969-11-23,11,24.256,CIN,@,NYJ,L 7-40,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,243,34.71,0
26,1969,1969-11-30,12,24.263,CIN,@,BUF,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,90,22.50,0
27,1970,1970-09-20,1,25.192,GNB,,DET,L 0-40,1,1,1.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,119,29.75,0
28,1970,1970-09-27,2,25.199,GNB,,ATL,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,4,75.0,,1,0.0,0,3,0,0,,0
29,1970,1970-10-04,3,25.206,GNB,,MIN,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,1,47,47.00,0
30,1970,1970-10-12,4,25.214,GNB,@,SDG,W 22-20,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,50.0,3,5,60.0,0,10,0,0,,0
31,1970,1970-10-18,5,25.220,GNB,,RAM,L 21-31,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,0,0,,0
32,1970,1970-10-25,6,25.227,GNB,,PHI,W 30-17,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0,0,,0
33,1970,1970-11-01,7,25.234,GNB,@,SFO,L 10-26,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
34,1970,1970-11-09,8,25.242,GNB,,BAL,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,3,33.3,0,4,0,0,,0
35,1970,1970-11-15,9,25.248,GNB,,CHI,W 20-19,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,1,33,33.00,0
36,1970,1970-11-22,10,25.255,GNB,@,MIN,L 3-10,0,0,,0,0,0,,0,0,0,,0,0,,,,,,1,4,25.0,0,3,0,0,,0
37,1970,1970-11-26,11,25.259,GNB,@,DAL,L 3-16,0,0,,0,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0,0,,0
38,1970,1970-12-06,12,25.269,GNB,@,PIT,W 20-12,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0,0,,0
39,1970,1970-12-13,13,25.276,GNB,@,CHI,L 17-35,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
40,1970,1970-12-20,14,25.283,GNB,@,DET,L 0-20,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0,0,0,,0
